cash,AMD,date
1.0,0.0,2022-12-07
0.017912712,0.9820873,2022-12-08
0.019670337,0.98032963,2022-12-09
0.013021486,0.98697853,2022-12-12
0.917174,0.08282604,2022-12-13
0.36857346,0.6314265,2022-12-14
0.05518507,0.9448149,2022-12-15
0.023118755,0.97688127,2022-12-16
0.026801974,0.97319806,2022-12-19
0.04415341,0.9558466,2022-12-20
0.5153303,0.4846697,2022-12-21
0.9872861,0.012713925,2022-12-22
0.034311105,0.9656889,2022-12-23
0.92582166,0.07417831,2022-12-27
0.2952499,0.70475006,2022-12-28
0.4547202,0.5452798,2022-12-29
0.9697876,0.030212432,2022-12-30
0.9823507,0.017649313,2023-01-03
0.6225181,0.37748185,2023-01-04
0.9429432,0.057056785,2023-01-05
0.105267055,0.89473295,2023-01-06
0.91966194,0.08033808,2023-01-09
0.99243766,0.0075623193,2023-01-10
0.99315166,0.0068483115,2023-01-11
0.99311835,0.00688167,2023-01-12
0.993385,0.006614965,2023-01-13
0.9926922,0.007307818,2023-01-17
0.9920337,0.007966256,2023-01-18
0.9833632,0.01663676,2023-01-19
0.25946507,0.7405349,2023-01-20
0.98977745,0.010222557,2023-01-23
0.9939932,0.0060067535,2023-01-24
0.99145293,0.008547072,2023-01-25
0.99313897,0.0068610543,2023-01-26
0.9855501,0.014449873,2023-01-27
0.99136114,0.008638839,2023-01-30
0.20473047,0.79526955,2023-01-31
0.9907733,0.009226697,2023-02-01
0.99413705,0.005862942,2023-02-02
0.99418706,0.005812956,2023-02-03
0.9934702,0.0065298374,2023-02-06
0.99134594,0.008654046,2023-02-07
0.9930298,0.0069702333,2023-02-08
0.960325,0.039675005,2023-02-09
0.24477506,0.75522494,2023-02-10
0.056963764,0.94303626,2023-02-13
0.9482004,0.051799566,2023-02-14
0.9828174,0.017182581,2023-02-15
0.5374397,0.46256027,2023-02-16
0.011807839,0.98819214,2023-02-17
0.011304128,0.98869586,2023-02-21
0.009768089,0.99023193,2023-02-22
0.012097422,0.9879026,2023-02-23
0.051204238,0.94879574,2023-02-24
0.06923695,0.93076307,2023-02-27
0.14569926,0.85430074,2023-02-28
0.19852835,0.80147165,2023-03-01
0.091100544,0.9088994,2023-03-02
0.80914694,0.19085306,2023-03-03
0.9368859,0.06311411,2023-03-06
0.5151165,0.48488346,2023-03-07
0.81961584,0.18038416,2023-03-08
0.9879077,0.012092266,2023-03-09
0.59399575,0.40600425,2023-03-10
0.24110743,0.75889254,2023-03-13
0.32443684,0.67556316,2023-03-14
0.992164,0.007835956,2023-03-15
0.98644084,0.013559151,2023-03-16
0.99272263,0.007277342,2023-03-17
0.9911668,0.0088332435,2023-03-20
0.99180627,0.008193757,2023-03-21
0.9757882,0.024211837,2023-03-22
0.99055314,0.009446874,2023-03-23
0.99127376,0.008726237,2023-03-24
0.95997626,0.040023733,2023-03-27
0.93741703,0.06258299,2023-03-28
0.18642285,0.8135771,2023-03-29
0.91306746,0.08693253,2023-03-30
0.92356616,0.07643381,2023-03-31
0.98195046,0.018049521,2023-04-03
0.92757034,0.07242965,2023-04-04
0.83891517,0.16108483,2023-04-05
0.011554347,0.98844564,2023-04-06
0.07091394,0.9290861,2023-04-10
0.94027424,0.059725776,2023-04-11
0.081323504,0.9186765,2023-04-12
0.026108477,0.9738915,2023-04-13
0.12974305,0.87025696,2023-04-14
0.17689705,0.82310295,2023-04-17
0.024330065,0.9756699,2023-04-18
0.028000567,0.9719994,2023-04-19
0.77710074,0.22289923,2023-04-20
0.8987425,0.10125752,2023-04-21
0.1382561,0.86174387,2023-04-24
0.30572867,0.6942713,2023-04-25
0.011479241,0.98852074,2023-04-26
0.097069405,0.9029306,2023-04-27
0.6296187,0.3703813,2023-04-28
0.98400277,0.015997209,2023-05-01
0.7878427,0.21215728,2023-05-02
0.9654457,0.034554318,2023-05-03
0.012169463,0.9878305,2023-05-04
0.9265882,0.07341184,2023-05-05
0.9906766,0.009323414,2023-05-08
