cash,GOOG,date
1.0,0.0,2023-03-27
0.032891974,0.967108,2023-03-28
0.9861216,0.013878402,2023-03-29
0.17252809,0.8274719,2023-03-30
0.9983841,0.001615868,2023-03-31
0.76051325,0.23948677,2023-04-03
0.16978607,0.8302139,2023-04-04
0.015580457,0.9844195,2023-04-05
0.0016186399,0.9983814,2023-04-06
0.021406567,0.9785934,2023-04-10
0.9593129,0.040687066,2023-04-11
0.9602672,0.03973283,2023-04-12
0.9972013,0.0027986509,2023-04-13
0.99932593,0.0006740648,2023-04-14
0.99911803,0.0008819829,2023-04-17
0.99925715,0.000742836,2023-04-18
0.99820733,0.0017926492,2023-04-19
0.9993249,0.00067507516,2023-04-20
0.9993456,0.000654422,2023-04-21
0.99928755,0.0007124749,2023-04-24
0.99884415,0.0011558614,2023-04-25
0.008549493,0.9914505,2023-04-26
0.018145118,0.98185486,2023-04-27
0.63588434,0.36411566,2023-04-28
0.9958246,0.004175412,2023-05-01
0.9694733,0.030526675,2023-05-02
0.42488468,0.5751153,2023-05-03
0.998894,0.0011059953,2023-05-04
0.039092593,0.9609074,2023-05-05
0.91957295,0.080427036,2023-05-08
0.9989702,0.0010298006,2023-05-09
0.98985,0.010149994,2023-05-10
0.98253036,0.017469632,2023-05-11
0.9795446,0.020455433,2023-05-12
0.001106169,0.99889386,2023-05-15
0.031455804,0.9685442,2023-05-16
0.0042837756,0.9957162,2023-05-17
0.0006525338,0.99934745,2023-05-18
0.0006691098,0.9993309,2023-05-19
0.0006241081,0.9993759,2023-05-22
0.00086691056,0.9991331,2023-05-23
0.0005999655,0.9994,2023-05-24
0.024483038,0.975517,2023-05-25
0.0005995142,0.9994005,2023-05-26
0.0006988081,0.9993012,2023-05-30
0.0006087891,0.9993912,2023-05-31
0.0005932385,0.99940675,2023-06-01
0.00064504845,0.99935496,2023-06-02
0.0006324625,0.99936754,2023-06-05
0.00094875606,0.9990513,2023-06-06
0.0007239978,0.999276,2023-06-07
0.00058131403,0.9994187,2023-06-08
0.00060959347,0.9993904,2023-06-09
0.00069064053,0.99930936,2023-06-12
0.0015212694,0.9984787,2023-06-13
0.0017119682,0.99828804,2023-06-14
0.0009697609,0.99903023,2023-06-15
0.0026276915,0.9973723,2023-06-16
0.0008404439,0.9991596,2023-06-20
0.9934376,0.0065624,2023-06-21
0.27675492,0.7232451,2023-06-22
0.009268027,0.99073195,2023-06-23
0.98802817,0.011971838,2023-06-26
0.5417409,0.45825908,2023-06-27
0.030426847,0.96957314,2023-06-28
0.0007486274,0.99925137,2023-06-29
0.00065189786,0.9993481,2023-06-30
0.0006302401,0.99936974,2023-07-03
0.0006363402,0.99936366,2023-07-05
0.00067338534,0.9993266,2023-07-06
0.00067486917,0.99932516,2023-07-07
0.0006030373,0.999397,2023-07-10
0.0005625783,0.99943745,2023-07-11
0.0006128983,0.9993871,2023-07-12
0.00064472225,0.99935526,2023-07-13
0.0012747741,0.99872524,2023-07-14
0.00063496624,0.99936503,2023-07-17
0.0006104434,0.9993895,2023-07-18
0.0007035938,0.9992964,2023-07-19
0.0005907358,0.99940926,2023-07-20
0.00057843846,0.99942154,2023-07-21
0.0005656586,0.99943435,2023-07-24
0.00061337574,0.9993866,2023-07-25
0.0006160957,0.9993839,2023-07-26
0.0006133642,0.9993866,2023-07-27
0.0006112618,0.99938875,2023-07-28
0.00062346726,0.99937654,2023-07-31
0.00061779155,0.9993822,2023-08-01
0.0006414575,0.99935853,2023-08-02
0.0005981128,0.99940187,2023-08-03
0.00064062316,0.99935937,2023-08-04
0.0006004771,0.99939954,2023-08-07
0.0006444432,0.99935555,2023-08-08
0.00068250194,0.9993175,2023-08-09
0.0006029409,0.99939704,2023-08-10
0.00060171797,0.9993983,2023-08-11
0.00062697835,0.999373,2023-08-14
0.00064517744,0.99935484,2023-08-15
0.00061119045,0.9993888,2023-08-16
0.00065903936,0.99934095,2023-08-17
0.0006120187,0.999388,2023-08-18
0.0005924334,0.9994076,2023-08-21
0.0006122255,0.9993878,2023-08-22
0.00061193755,0.99938804,2023-08-23
0.000624582,0.9993754,2023-08-24
0.000604197,0.9993958,2023-08-25
0.0006974992,0.9993025,2023-08-28
0.0006070273,0.999393,2023-08-29
0.0006284603,0.9993715,2023-08-30
0.00061689375,0.9993831,2023-08-31
0.00060863834,0.9993914,2023-09-01
0.0006075198,0.9993925,2023-09-05
0.0006426051,0.9993574,2023-09-06
0.0006013815,0.9993986,2023-09-07
0.0006189519,0.99938107,2023-09-08
0.00062904065,0.99937093,2023-09-11
0.00061220495,0.9993878,2023-09-12
0.00061791076,0.9993821,2023-09-13
0.0006284091,0.9993716,2023-09-14
0.00061146414,0.9993885,2023-09-15
0.0006347836,0.9993652,2023-09-18
0.0007884167,0.9992116,2023-09-19
0.00085809093,0.99914193,2023-09-20
0.0005508269,0.9994492,2023-09-21
0.00069126586,0.9993087,2023-09-22
0.0006272232,0.9993728,2023-09-25
0.0006536916,0.9993463,2023-09-26
0.00059157464,0.9994084,2023-09-27
0.0007348137,0.9992652,2023-09-28
0.00066698005,0.999333,2023-09-29
0.0005911458,0.99940884,2023-10-02
0.0006467797,0.99935323,2023-10-03
0.0006282056,0.99937177,2023-10-04
0.00069604785,0.99930394,2023-10-05
0.00066473125,0.9993353,2023-10-06
0.0007971599,0.99920285,2023-10-09
0.0006453717,0.9993546,2023-10-10
0.0006188941,0.9993811,2023-10-11
0.0006385237,0.99936146,2023-10-12
0.000600257,0.9993997,2023-10-13
0.00059462705,0.9994054,2023-10-16
0.00062008185,0.99937993,2023-10-17
0.0006073924,0.9993926,2023-10-18
0.00060010445,0.9993999,2023-10-19
0.00058936735,0.9994106,2023-10-20
0.0006105294,0.99938947,2023-10-23
0.0006577798,0.9993422,2023-10-24
0.0006668562,0.99933314,2023-10-25
0.03916918,0.9608308,2023-10-26
0.7872831,0.21271686,2023-10-27
0.8179212,0.18207876,2023-10-30
0.9925748,0.007425195,2023-10-31
0.7531345,0.2468655,2023-11-01
0.99844134,0.0015586561,2023-11-02
0.99911785,0.00088213355,2023-11-03
0.9956033,0.0043967017,2023-11-06
0.47505358,0.52494645,2023-11-07
0.000716354,0.9992837,2023-11-08
0.0006688806,0.9993311,2023-11-09
0.0006034121,0.99939656,2023-11-10
0.0015144957,0.9984855,2023-11-13
0.0006929032,0.9993071,2023-11-14
0.00063181727,0.9993682,2023-11-15
0.00079302274,0.99920696,2023-11-16
0.0014117077,0.99858826,2023-11-17
0.011731748,0.98826826,2023-11-20
0.9476179,0.052382126,2023-11-21
0.0008878092,0.9991122,2023-11-22
0.0006470551,0.99935293,2023-11-24
0.0006211073,0.9993789,2023-11-27
0.00060865394,0.9993913,2023-11-28
0.00065621553,0.9993438,2023-11-29
0.000578997,0.999421,2023-11-30
0.0005710123,0.999429,2023-12-01
0.00058898004,0.99941105,2023-12-04
0.0005844409,0.9994156,2023-12-05
0.00061680964,0.9993832,2023-12-06
0.0005991091,0.9994009,2023-12-07
0.00061733805,0.9993827,2023-12-08
0.0006143815,0.9993856,2023-12-11
0.0006084584,0.99939156,2023-12-12
0.00065661396,0.9993434,2023-12-13
0.0005945527,0.99940544,2023-12-14
