cash,KO,date
1.0,0.0,2021-10-29
0.10589472,0.89410526,2021-11-01
0.019549029,0.980451,2021-11-02
0.021906877,0.97809315,2021-11-03
0.020635728,0.9793643,2021-11-04
0.018951116,0.9810489,2021-11-05
0.022303773,0.97769624,2021-11-08
0.019598894,0.9804011,2021-11-09
0.69003433,0.30996567,2021-11-10
0.02710252,0.97289747,2021-11-11
0.023792181,0.9762078,2021-11-12
0.02154747,0.9784525,2021-11-15
0.021853082,0.9781469,2021-11-16
0.8141734,0.18582658,2021-11-17
0.054040898,0.9459591,2021-11-18
0.17517872,0.8248213,2021-11-19
0.32675302,0.673247,2021-11-22
0.72477084,0.27522916,2021-11-23
0.89602095,0.10397906,2021-11-24
0.9009548,0.09904522,2021-11-26
0.7814718,0.21852824,2021-11-29
0.94540966,0.05459033,2021-11-30
0.9125571,0.08744287,2021-12-01
0.9782817,0.021718305,2021-12-02
0.9642254,0.035774592,2021-12-03
0.82041395,0.17958607,2021-12-06
0.91191906,0.08808094,2021-12-07
0.031684864,0.9683151,2021-12-08
0.8371188,0.16288121,2021-12-09
0.13739479,0.8626052,2021-12-10
0.09000231,0.9099977,2021-12-13
0.043989234,0.95601076,2021-12-14
0.0159563,0.9840437,2021-12-15
0.015897933,0.9841021,2021-12-16
0.074456185,0.9255438,2021-12-17
0.022495387,0.9775046,2021-12-20
0.80041987,0.19958015,2021-12-21
0.55708545,0.44291455,2021-12-22
0.46331573,0.5366843,2021-12-23
0.027818317,0.9721817,2021-12-27
0.020962542,0.97903746,2021-12-28
0.016327335,0.9836727,2021-12-29
0.024923278,0.97507674,2021-12-30
0.026423955,0.97357607,2021-12-31
0.017589824,0.9824102,2022-01-03
0.016805936,0.98319405,2022-01-04
0.016868843,0.9831312,2022-01-05
0.017298056,0.98270196,2022-01-06
0.017469589,0.9825304,2022-01-07
0.019294886,0.98070514,2022-01-10
0.021093076,0.9789069,2022-01-11
0.018706663,0.9812933,2022-01-12
0.020821579,0.9791784,2022-01-13
0.019286605,0.98071337,2022-01-14
0.018491663,0.9815083,2022-01-18
0.024368292,0.9756317,2022-01-19
0.044885963,0.95511407,2022-01-20
0.10215137,0.8978486,2022-01-21
0.22726879,0.77273124,2022-01-24
0.9116796,0.0883204,2022-01-25
0.27867055,0.72132945,2022-01-26
0.70482934,0.2951707,2022-01-27
0.3701678,0.6298322,2022-01-28
0.052290834,0.94770914,2022-01-31
0.03065316,0.9693468,2022-02-01
0.02681854,0.9731815,2022-02-02
0.036605228,0.96339476,2022-02-03
0.05802976,0.9419702,2022-02-04
0.04156248,0.9584375,2022-02-07
0.024470927,0.9755291,2022-02-08
0.021082051,0.97891796,2022-02-09
0.033400845,0.96659917,2022-02-10
0.14919637,0.8508036,2022-02-11
0.10628052,0.8937195,2022-02-14
0.5899885,0.41001147,2022-02-15
0.16324942,0.83675057,2022-02-16
0.038990602,0.9610094,2022-02-17
0.053268686,0.9467313,2022-02-18
0.015851954,0.984148,2022-02-22
0.022007512,0.9779925,2022-02-23
0.031638797,0.9683612,2022-02-24
0.810877,0.18912296,2022-02-25
0.447971,0.552029,2022-02-28
0.13211097,0.86788905,2022-03-01
0.0903119,0.9096881,2022-03-02
0.09208683,0.90791315,2022-03-03
0.044229146,0.95577085,2022-03-04
0.7539754,0.24602462,2022-03-07
0.8650856,0.1349144,2022-03-08
0.9706977,0.029302325,2022-03-09
0.9739679,0.02603209,2022-03-10
0.9721042,0.027895825,2022-03-11
0.973511,0.026489027,2022-03-14
0.9596503,0.0403497,2022-03-15
0.2134376,0.7865624,2022-03-16
0.312008,0.687992,2022-03-17
0.16546439,0.8345356,2022-03-18
0.049423736,0.95057625,2022-03-21
0.023795614,0.9762044,2022-03-22
0.01902717,0.9809728,2022-03-23
