cash,TSM,date
1.0,0.0,2021-11-26
0.016907748,0.98309225,2021-11-29
0.9162617,0.08373836,2021-11-30
0.73319554,0.26680443,2021-12-01
0.98600453,0.01399546,2021-12-02
0.9877886,0.012211408,2021-12-03
0.9756912,0.024308795,2021-12-06
0.9867993,0.0132007245,2021-12-07
0.9791425,0.020857485,2021-12-08
0.13885596,0.861144,2021-12-09
0.0074753715,0.9925246,2021-12-10
0.008897801,0.9911022,2021-12-13
0.0073635643,0.99263644,2021-12-14
0.008492145,0.9915078,2021-12-15
0.015985088,0.9840149,2021-12-16
0.0066875643,0.9933124,2021-12-17
0.0071978155,0.9928022,2021-12-20
0.008852954,0.99114704,2021-12-21
0.032189902,0.9678101,2021-12-22
0.37491447,0.62508553,2021-12-23
0.05666761,0.9433324,2021-12-27
0.034300987,0.965699,2021-12-28
0.013302034,0.986698,2021-12-29
0.015903674,0.98409635,2021-12-30
0.0108938785,0.9891061,2021-12-31
0.007830794,0.9921692,2022-01-03
0.026852999,0.973147,2022-01-04
0.012717043,0.98728293,2022-01-05
0.0072226743,0.99277735,2022-01-06
0.00975047,0.9902495,2022-01-07
0.0077417414,0.99225825,2022-01-10
0.009696869,0.99030316,2022-01-11
0.012084071,0.98791593,2022-01-12
0.009687579,0.9903124,2022-01-13
0.010687208,0.98931277,2022-01-14
0.012859642,0.98714036,2022-01-18
0.00791461,0.9920854,2022-01-19
0.008812467,0.9911875,2022-01-20
0.009225627,0.9907744,2022-01-21
0.0077037574,0.9922962,2022-01-24
0.013387956,0.986612,2022-01-25
0.00819094,0.99180907,2022-01-26
0.009869178,0.99013084,2022-01-27
0.009085717,0.9909143,2022-01-28
0.012687656,0.9873123,2022-01-31
0.020265503,0.9797345,2022-02-01
0.009479351,0.99052066,2022-02-02
0.009024608,0.9909754,2022-02-03
0.0094373,0.9905627,2022-02-04
0.011220274,0.9887797,2022-02-07
0.00863673,0.9913633,2022-02-08
0.009112425,0.9908876,2022-02-09
0.008960592,0.9910394,2022-02-10
0.008340459,0.9916595,2022-02-11
0.007655688,0.9923443,2022-02-14
0.008542833,0.99145716,2022-02-15
