cash,WMT,date
1.0,0.0,2023-03-16
0.29315615,0.70684385,2023-03-17
0.19562154,0.80437845,2023-03-20
0.20904815,0.79095185,2023-03-21
0.14382303,0.856177,2023-03-22
0.17758454,0.8224155,2023-03-23
0.13598959,0.8640104,2023-03-24
0.12677962,0.8732204,2023-03-27
0.12598486,0.87401515,2023-03-28
0.13944142,0.86055857,2023-03-29
0.13896231,0.8610377,2023-03-30
0.121228,0.878772,2023-03-31
0.107852705,0.8921473,2023-04-03
0.13387632,0.8661237,2023-04-04
0.1869879,0.8130121,2023-04-05
0.11042987,0.8895701,2023-04-06
0.11794119,0.8820588,2023-04-10
0.1979189,0.8020811,2023-04-11
0.25800434,0.7419957,2023-04-12
0.22496048,0.7750395,2023-04-13
0.21524154,0.78475845,2023-04-14
0.21386182,0.7861382,2023-04-17
0.20326376,0.79673624,2023-04-18
0.21095085,0.78904915,2023-04-19
0.3529267,0.64707327,2023-04-20
0.14860694,0.85139304,2023-04-21
0.15782417,0.84217584,2023-04-24
0.20396088,0.7960391,2023-04-25
0.15651911,0.8434809,2023-04-26
0.19589786,0.8041021,2023-04-27
0.3060309,0.6939691,2023-04-28
0.2076039,0.79239607,2023-05-01
0.19071566,0.8092843,2023-05-02
0.17292324,0.8270768,2023-05-03
0.29736814,0.70263183,2023-05-04
0.273596,0.726404,2023-05-05
0.17462194,0.82537806,2023-05-08
0.13114035,0.86885965,2023-05-09
0.17967878,0.8203212,2023-05-10
0.26377282,0.73622715,2023-05-11
0.27079767,0.72920233,2023-05-12
0.21237732,0.7876227,2023-05-15
0.17296708,0.8270329,2023-05-16
0.2548552,0.7451448,2023-05-17
0.32281306,0.67718697,2023-05-18
0.25421932,0.74578065,2023-05-19
0.33779898,0.66220105,2023-05-22
0.30002797,0.69997203,2023-05-23
0.31346792,0.6865321,2023-05-24
0.32627445,0.67372555,2023-05-25
0.3095885,0.6904115,2023-05-26
0.29496345,0.7050366,2023-05-30
0.20269832,0.7973017,2023-05-31
0.17208861,0.8279114,2023-06-01
0.14538778,0.85461223,2023-06-02
0.13407399,0.865926,2023-06-05
0.13884091,0.8611591,2023-06-06
0.17549205,0.82450795,2023-06-07
0.14556392,0.8544361,2023-06-08
0.11016621,0.8898338,2023-06-09
0.14927898,0.850721,2023-06-12
0.13372174,0.8662783,2023-06-13
0.19797516,0.80202484,2023-06-14
0.16681118,0.83318883,2023-06-15
0.1320551,0.8679449,2023-06-16
0.2300804,0.7699196,2023-06-20
0.25408375,0.74591625,2023-06-21
0.26309714,0.7369029,2023-06-22
0.23536412,0.76463586,2023-06-23
0.19885935,0.80114067,2023-06-26
0.3258886,0.67411137,2023-06-27
0.31361756,0.6863824,2023-06-28
0.2447294,0.7552706,2023-06-29
0.18778811,0.8122119,2023-06-30
0.109797224,0.89020276,2023-07-03
0.15086338,0.84913665,2023-07-05
0.1829882,0.8170118,2023-07-06
0.24571942,0.75428057,2023-07-07
0.25301138,0.74698865,2023-07-10
0.3416735,0.6583265,2023-07-11
0.26361042,0.7363896,2023-07-12
0.20945705,0.79054296,2023-07-13
0.28964403,0.710356,2023-07-14
0.25075978,0.7492402,2023-07-17
0.24207574,0.75792426,2023-07-18
0.17137457,0.82862544,2023-07-19
0.15945946,0.8405405,2023-07-20
0.11085335,0.8891466,2023-07-21
0.16930525,0.83069474,2023-07-24
0.11485969,0.8851403,2023-07-25
0.18120788,0.8187921,2023-07-26
0.18932864,0.8106713,2023-07-27
0.23943347,0.76056653,2023-07-28
0.19300736,0.80699265,2023-07-31
0.14726551,0.8527345,2023-08-01
0.2517417,0.7482583,2023-08-02
0.19685026,0.80314976,2023-08-03
0.22625251,0.7737475,2023-08-04
0.2595493,0.7404507,2023-08-07
0.15756226,0.84243774,2023-08-08
0.15730755,0.84269243,2023-08-09
0.24672231,0.7532777,2023-08-10
0.24852613,0.75147384,2023-08-11
0.20886329,0.79113674,2023-08-14
0.23103449,0.7689655,2023-08-15
0.29821947,0.7017805,2023-08-16
0.2750935,0.7249065,2023-08-17
0.3164005,0.68359953,2023-08-18
0.23851617,0.76148385,2023-08-21
0.27664298,0.723357,2023-08-22
0.32730284,0.6726972,2023-08-23
0.18773337,0.81226665,2023-08-24
0.23620895,0.763791,2023-08-25
0.21960728,0.7803927,2023-08-28
0.24425341,0.7557466,2023-08-29
0.13551019,0.8644898,2023-08-30
0.124564566,0.8754354,2023-08-31
0.10643742,0.89356256,2023-09-01
0.13201004,0.86798996,2023-09-05
0.28819188,0.7118081,2023-09-06
0.26347488,0.7365251,2023-09-07
0.12353928,0.87646073,2023-09-08
0.14451794,0.85548204,2023-09-11
0.21765223,0.7823478,2023-09-12
0.25151357,0.7484864,2023-09-13
0.18345651,0.81654346,2023-09-14
0.14440174,0.8555983,2023-09-15
0.25135452,0.7486455,2023-09-18
0.21514651,0.7848535,2023-09-19
0.25530198,0.74469805,2023-09-20
0.20563276,0.79436725,2023-09-21
0.20621873,0.7937813,2023-09-22
0.2333223,0.7666777,2023-09-25
0.25391033,0.74608964,2023-09-26
0.23288177,0.7671182,2023-09-27
0.23913781,0.7608622,2023-09-28
0.25586244,0.7441375,2023-09-29
0.19886537,0.80113465,2023-10-02
0.20963965,0.79036033,2023-10-03
0.29241735,0.70758265,2023-10-04
0.14755344,0.85244656,2023-10-05
0.26321706,0.7367829,2023-10-06
0.21093184,0.78906816,2023-10-09
0.28726223,0.7127378,2023-10-10
0.23093525,0.7690648,2023-10-11
