cash,AMD,date
1.0,0.0,2022-12-07
0.0964851,0.9035149,2022-12-08
0.091864295,0.9081357,2022-12-09
0.09289715,0.9071029,2022-12-12
0.18605201,0.813948,2022-12-13
0.53024447,0.46975553,2022-12-14
0.18689014,0.8131099,2022-12-15
0.09017932,0.9098207,2022-12-16
0.08165427,0.91834575,2022-12-19
0.09925318,0.9007468,2022-12-20
0.08947513,0.91052485,2022-12-21
0.2261776,0.77382237,2022-12-22
0.2215851,0.7784149,2022-12-23
0.15124428,0.8487557,2022-12-27
0.14258786,0.85741216,2022-12-28
0.1380153,0.8619847,2022-12-29
0.15751515,0.84248483,2022-12-30
0.18812206,0.81187797,2023-01-03
0.17338511,0.8266149,2023-01-04
0.22727409,0.7727259,2023-01-05
0.1277798,0.8722202,2023-01-06
0.7943999,0.20560007,2023-01-09
0.894676,0.10532396,2023-01-10
0.6013822,0.39861783,2023-01-11
0.7136545,0.2863455,2023-01-12
0.9125713,0.08742871,2023-01-13
0.8860381,0.113961905,2023-01-17
0.8127404,0.18725964,2023-01-18
0.45554614,0.54445386,2023-01-19
0.15370522,0.84629476,2023-01-20
0.6735766,0.32642338,2023-01-23
0.8912693,0.10873067,2023-01-24
0.91046244,0.08953755,2023-01-25
0.92247987,0.077520125,2023-01-26
0.90230256,0.097697414,2023-01-27
0.9189061,0.08109391,2023-01-30
0.14778067,0.85221934,2023-01-31
0.8343134,0.16568662,2023-02-01
0.8886147,0.11138531,2023-02-02
0.9196136,0.080386415,2023-02-03
0.9359425,0.064057514,2023-02-06
0.89832574,0.101674244,2023-02-07
0.9309906,0.06900944,2023-02-08
0.7619297,0.23807032,2023-02-09
0.23795557,0.7620444,2023-02-10
0.13014702,0.86985296,2023-02-13
0.30978486,0.6902152,2023-02-14
0.8480126,0.15198739,2023-02-15
0.27856106,0.72143894,2023-02-16
0.10000011,0.89999986,2023-02-17
0.10704573,0.8929543,2023-02-21
0.10196078,0.8980392,2023-02-22
0.08804161,0.9119584,2023-02-23
0.21804401,0.78195596,2023-02-24
0.14780049,0.8521995,2023-02-27
0.16418174,0.83581823,2023-02-28
0.16996107,0.8300389,2023-03-01
0.16370408,0.8362959,2023-03-02
0.8283221,0.17167789,2023-03-03
0.84243727,0.15756273,2023-03-06
0.7239194,0.2760806,2023-03-07
0.87885386,0.12114615,2023-03-08
0.9126751,0.08732492,2023-03-09
0.88121176,0.11878825,2023-03-10
0.856294,0.14370604,2023-03-13
0.84901136,0.15098862,2023-03-14
0.9134656,0.0865344,2023-03-15
0.90370363,0.09629638,2023-03-16
0.9013099,0.0986901,2023-03-17
0.9380384,0.061961584,2023-03-20
0.93560004,0.06439996,2023-03-21
0.9149926,0.08500743,2023-03-22
0.8939985,0.10600148,2023-03-23
0.9262022,0.07379784,2023-03-24
0.6356052,0.36439475,2023-03-27
0.34373719,0.6562628,2023-03-28
0.15817912,0.8418209,2023-03-29
0.1677966,0.8322034,2023-03-30
0.1719036,0.8280964,2023-03-31
0.20898092,0.7910191,2023-04-03
0.17193383,0.8280662,2023-04-04
0.1683168,0.8316832,2023-04-05
0.12151566,0.8784843,2023-04-06
0.1269092,0.8730908,2023-04-10
0.36361358,0.6363864,2023-04-11
0.15386625,0.84613377,2023-04-12
0.13026418,0.86973584,2023-04-13
0.15209325,0.84790677,2023-04-14
0.1510073,0.8489927,2023-04-17
0.1187282,0.8812718,2023-04-18
0.11912375,0.88087624,2023-04-19
0.1486581,0.8513419,2023-04-20
0.15559791,0.8444021,2023-04-21
0.1445615,0.8554385,2023-04-24
0.13891326,0.8610867,2023-04-25
0.08527899,0.914721,2023-04-26
0.10272944,0.89727056,2023-04-27
0.2996677,0.7003323,2023-04-28
0.7314293,0.26857072,2023-05-01
0.82394445,0.17605554,2023-05-02
0.88288695,0.11711303,2023-05-03
0.61442745,0.38557255,2023-05-04
0.8306413,0.16935866,2023-05-05
0.8723231,0.12767692,2023-05-08
0.9044507,0.09554931,2023-05-09
0.9111442,0.0888558,2023-05-10
0.93295807,0.06704194,2023-05-11
0.904278,0.09572205,2023-05-12
0.7730986,0.22690143,2023-05-15
0.859313,0.140687,2023-05-16
0.9091025,0.09089751,2023-05-17
0.93505484,0.06494517,2023-05-18
0.9371,0.0629,2023-05-19
0.91480166,0.08519832,2023-05-22
0.93551457,0.06448546,2023-05-23
0.92742556,0.07257444,2023-05-24
0.87174386,0.12825613,2023-05-25
0.9231765,0.07682346,2023-05-26
0.9326085,0.06739151,2023-05-30
0.9351843,0.064815685,2023-05-31
0.9089585,0.09104148,2023-06-01
0.90267247,0.097327515,2023-06-02
0.19627455,0.8037254,2023-06-05
0.17024717,0.8297528,2023-06-06
0.8812531,0.118746854,2023-06-07
0.6919187,0.30808133,2023-06-08
0.7536152,0.24638481,2023-06-09
0.8231122,0.17688781,2023-06-12
0.9155138,0.08448619,2023-06-13
0.82693565,0.17306435,2023-06-14
0.91700596,0.082994014,2023-06-15
0.5784244,0.42157558,2023-06-16
0.1659399,0.8340601,2023-06-20
0.114572324,0.88542765,2023-06-21
0.10117456,0.89882547,2023-06-22
0.078090034,0.92191,2023-06-23
0.077804856,0.92219514,2023-06-26
0.07762622,0.9223738,2023-06-27
0.109046586,0.8909534,2023-06-28
0.12007575,0.87992424,2023-06-29
0.15735404,0.84264594,2023-06-30
0.20233078,0.79766923,2023-07-03
0.22472982,0.77527016,2023-07-05
0.19599274,0.8040073,2023-07-06
0.21174474,0.7882553,2023-07-07
0.17782871,0.8221713,2023-07-10
0.20540419,0.7945958,2023-07-11
0.149219,0.85078096,2023-07-12
0.2971254,0.7028746,2023-07-13
0.2465349,0.7534651,2023-07-14
0.8553709,0.14462912,2023-07-17
0.91090816,0.089091815,2023-07-18
0.7695052,0.23049483,2023-07-19
0.77624834,0.22375163,2023-07-20
0.3036945,0.6963055,2023-07-21
0.13838565,0.86161435,2023-07-24
0.11853297,0.88146704,2023-07-25
0.16489227,0.83510774,2023-07-26
0.11542468,0.8845753,2023-07-27
0.34649298,0.653507,2023-07-28
0.19931222,0.8006878,2023-07-31
0.2500367,0.7499633,2023-08-01
0.8785837,0.12141628,2023-08-02
0.74822867,0.25177133,2023-08-03
0.87101465,0.12898532,2023-08-04
0.88565487,0.11434512,2023-08-07
0.7051872,0.29481283,2023-08-08
0.16639362,0.83360636,2023-08-09
0.13816938,0.86183065,2023-08-10
0.11703694,0.88296306,2023-08-11
0.10800132,0.89199865,2023-08-14
0.53662235,0.46337765,2023-08-15
0.16538544,0.8346146,2023-08-16
0.12796344,0.8720366,2023-08-17
0.09217556,0.90782446,2023-08-18
0.12415941,0.8758406,2023-08-21
0.15140732,0.8485927,2023-08-22
0.12331927,0.87668073,2023-08-23
0.6161664,0.3838336,2023-08-24
0.54186714,0.45813286,2023-08-25
0.22197248,0.77802753,2023-08-28
0.1037071,0.8962929,2023-08-29
0.36336386,0.63663614,2023-08-30
0.2193572,0.7806428,2023-08-31
0.27998063,0.72001934,2023-09-01
0.6914886,0.3085114,2023-09-05
0.91654754,0.083452456,2023-09-06
0.3205347,0.6794653,2023-09-07
0.1683508,0.8316492,2023-09-08
0.17031045,0.82968956,2023-09-11
0.1358161,0.8641839,2023-09-12
0.14943036,0.85056967,2023-09-13
0.22572382,0.7742762,2023-09-14
0.1687981,0.8312019,2023-09-15
0.1877576,0.8122424,2023-09-18
0.116606385,0.8833936,2023-09-19
0.13085976,0.86914027,2023-09-20
0.09263641,0.9073636,2023-09-21
0.07853747,0.92146254,2023-09-22
0.090517536,0.9094825,2023-09-25
0.12576714,0.8742329,2023-09-26
0.13220744,0.86779255,2023-09-27
0.14259382,0.8574062,2023-09-28
0.8708649,0.12913509,2023-09-29
0.74939364,0.2506064,2023-10-02
0.43035695,0.5696431,2023-10-03
0.31760496,0.68239504,2023-10-04
0.8835872,0.11641284,2023-10-05
0.72768164,0.27231836,2023-10-06
0.9007548,0.0992452,2023-10-09
0.3872636,0.6127364,2023-10-10
0.9237538,0.07624618,2023-10-11
0.7855396,0.21446036,2023-10-12
0.909006,0.09099397,2023-10-13
0.28814784,0.7118522,2023-10-16
0.18352598,0.816474,2023-10-17
0.21858253,0.7814175,2023-10-18
0.10836343,0.89163655,2023-10-19
0.09890727,0.9010927,2023-10-20
0.12627819,0.8737218,2023-10-23
0.1009281,0.89907193,2023-10-24
0.12186358,0.8781364,2023-10-25
0.10087442,0.8991256,2023-10-26
0.07813065,0.92186934,2023-10-27
0.08974162,0.91025835,2023-10-30
0.1427337,0.8572663,2023-10-31
0.78967303,0.210327,2023-11-01
0.8841469,0.115853064,2023-11-02
0.9319269,0.068073116,2023-11-03
0.93348104,0.06651898,2023-11-06
0.8765265,0.123473555,2023-11-07
0.91698027,0.08301971,2023-11-08
0.64480716,0.35519284,2023-11-09
0.8828885,0.11711149,2023-11-10
0.9170524,0.08294761,2023-11-13
0.59413123,0.40586877,2023-11-14
0.8715642,0.12843579,2023-11-15
0.7443494,0.25565058,2023-11-16
0.8555417,0.14445828,2023-11-17
0.30724686,0.69275314,2023-11-20
0.27237406,0.72762597,2023-11-21
0.1766792,0.8233208,2023-11-22
0.8218932,0.17810677,2023-11-24
0.20194528,0.79805475,2023-11-27
0.20326728,0.7967327,2023-11-28
0.18085624,0.8191438,2023-11-29
0.23196529,0.7680347,2023-11-30
0.17462078,0.8253792,2023-12-01
0.17585048,0.82414955,2023-12-04
0.12209754,0.87790245,2023-12-05
0.13450493,0.8654951,2023-12-06
0.2766053,0.7233947,2023-12-07
0.8713888,0.12861119,2023-12-08
0.9127122,0.087287806,2023-12-11
0.9191284,0.08087158,2023-12-12
