cash,GOOG,date
1.0,0.0,2023-03-27
0.084367014,0.91563296,2023-03-28
0.03105774,0.9689423,2023-03-29
0.028255008,0.971745,2023-03-30
0.027185533,0.97281444,2023-03-31
0.03436672,0.9656333,2023-04-03
0.034361474,0.9656385,2023-04-04
0.03148837,0.96851164,2023-04-05
0.031314917,0.9686851,2023-04-06
0.04331169,0.9566883,2023-04-10
0.03204382,0.9679562,2023-04-11
0.030737353,0.96926266,2023-04-12
0.030449219,0.9695508,2023-04-13
0.032784358,0.96721566,2023-04-14
0.03291339,0.9670866,2023-04-17
0.02660565,0.97339433,2023-04-18
0.030231554,0.96976846,2023-04-19
0.031177472,0.96882254,2023-04-20
0.030403262,0.96959674,2023-04-21
0.026451943,0.97354805,2023-04-24
0.030207867,0.9697921,2023-04-25
0.037902754,0.9620972,2023-04-26
0.03675128,0.9632487,2023-04-27
0.041996986,0.958003,2023-04-28
0.030868834,0.9691312,2023-05-01
0.028531428,0.97146857,2023-05-02
0.03127754,0.96872246,2023-05-03
0.03142479,0.96857524,2023-05-04
0.027010348,0.9729897,2023-05-05
0.029249553,0.97075045,2023-05-08
0.03416156,0.96583843,2023-05-09
0.0309613,0.9690387,2023-05-10
0.044174876,0.95582515,2023-05-11
0.04057659,0.9594234,2023-05-12
0.03537027,0.9646297,2023-05-15
0.033921942,0.96607804,2023-05-16
0.040271692,0.9597283,2023-05-17
0.035655886,0.96434414,2023-05-18
0.035297547,0.9647024,2023-05-19
0.036126334,0.9638737,2023-05-22
0.037224557,0.96277547,2023-05-23
0.030392062,0.96960795,2023-05-24
0.028774343,0.9712257,2023-05-25
0.030215971,0.969784,2023-05-26
0.03227333,0.96772665,2023-05-30
0.031800475,0.96819955,2023-05-31
0.026292337,0.9737077,2023-06-01
0.029526347,0.97047365,2023-06-02
0.031651862,0.96834815,2023-06-05
0.034561418,0.9654386,2023-06-06
0.033528157,0.96647185,2023-06-07
0.18070103,0.819299,2023-06-08
0.027884096,0.9721159,2023-06-09
0.029205658,0.9707943,2023-06-12
0.030769035,0.96923095,2023-06-13
0.02968819,0.9703118,2023-06-14
0.030181337,0.96981865,2023-06-15
0.032843854,0.9671562,2023-06-16
0.05916136,0.94083863,2023-06-20
0.029220227,0.9707798,2023-06-21
0.027531056,0.972469,2023-06-22
0.03618816,0.9638118,2023-06-23
0.026457569,0.97354245,2023-06-26
0.03106498,0.968935,2023-06-27
0.028463546,0.97153646,2023-06-28
0.034764048,0.96523595,2023-06-29
0.028159916,0.9718401,2023-06-30
0.026551882,0.9734481,2023-07-03
0.030401153,0.9695988,2023-07-05
0.034853093,0.9651469,2023-07-06
0.02920298,0.970797,2023-07-07
0.026919948,0.97308004,2023-07-10
0.034167923,0.96583205,2023-07-11
0.029837543,0.97016245,2023-07-12
0.028258575,0.97174144,2023-07-13
0.03969437,0.96030563,2023-07-14
0.033021413,0.9669786,2023-07-17
0.032816913,0.9671831,2023-07-18
0.028490076,0.97150993,2023-07-19
0.029848628,0.97015136,2023-07-20
0.07010058,0.9298994,2023-07-21
0.034142952,0.965857,2023-07-24
0.028194329,0.9718057,2023-07-25
0.028378034,0.971622,2023-07-26
0.035340127,0.96465987,2023-07-27
0.040455192,0.95954484,2023-07-28
0.03784319,0.96215683,2023-07-31
0.032800026,0.9672,2023-08-01
0.032346558,0.96765345,2023-08-02
0.028278138,0.9717219,2023-08-03
0.031108728,0.96889126,2023-08-04
0.031223293,0.9687767,2023-08-07
0.03346965,0.9665303,2023-08-08
0.031126117,0.96887386,2023-08-09
0.030168276,0.9698317,2023-08-10
0.029188046,0.97081196,2023-08-11
0.029909175,0.9700908,2023-08-14
0.031523652,0.96847636,2023-08-15
0.028731087,0.9712689,2023-08-16
0.028649047,0.97135097,2023-08-17
0.028601354,0.97139865,2023-08-18
0.027013337,0.97298664,2023-08-21
0.027835086,0.9721649,2023-08-22
0.02955859,0.9704414,2023-08-23
0.034093123,0.96590686,2023-08-24
0.04914648,0.9508535,2023-08-25
0.030809505,0.9691905,2023-08-28
0.029971246,0.97002876,2023-08-29
0.03585413,0.9641459,2023-08-30
0.031087609,0.96891236,2023-08-31
0.028398078,0.9716019,2023-09-01
0.03100252,0.9689975,2023-09-05
0.029727679,0.9702723,2023-09-06
0.029702645,0.97029734,2023-09-07
0.03102142,0.9689786,2023-09-08
0.029460832,0.97053915,2023-09-11
0.029505996,0.97049403,2023-09-12
0.0284029,0.9715971,2023-09-13
0.031709965,0.96829003,2023-09-14
0.029941572,0.97005844,2023-09-15
0.030219758,0.96978027,2023-09-18
0.030699156,0.96930087,2023-09-19
0.029357973,0.97064203,2023-09-20
0.048393905,0.9516061,2023-09-21
0.025650809,0.9743492,2023-09-22
0.02661673,0.97338325,2023-09-25
0.029047435,0.9709526,2023-09-26
0.027414186,0.9725858,2023-09-27
0.02935745,0.97064257,2023-09-28
0.033097148,0.96690285,2023-09-29
0.031196238,0.96880376,2023-10-02
0.034274932,0.96572506,2023-10-03
0.028013181,0.97198683,2023-10-04
0.033670273,0.96632975,2023-10-05
0.029948622,0.97005135,2023-10-06
0.03711529,0.9628847,2023-10-09
0.033609726,0.96639025,2023-10-10
0.030148402,0.9698516,2023-10-11
0.032126244,0.96787375,2023-10-12
0.030002842,0.96999717,2023-10-13
0.029348424,0.97065157,2023-10-16
0.029548436,0.9704516,2023-10-17
0.03134401,0.968656,2023-10-18
0.028935289,0.9710647,2023-10-19
0.02659736,0.9734026,2023-10-20
0.031543925,0.9684561,2023-10-23
0.031008538,0.96899146,2023-10-24
0.027139403,0.9728606,2023-10-25
0.37779418,0.62220585,2023-10-26
0.05824994,0.94175005,2023-10-27
0.03470408,0.9652959,2023-10-30
0.028230378,0.97176963,2023-10-31
0.028487727,0.97151226,2023-11-01
0.032241292,0.9677587,2023-11-02
0.029073428,0.9709266,2023-11-03
0.032212082,0.9677879,2023-11-06
0.03267806,0.96732193,2023-11-07
0.03252651,0.9674735,2023-11-08
0.031748734,0.9682513,2023-11-09
0.029698804,0.9703012,2023-11-10
0.034129146,0.96587086,2023-11-13
0.02970786,0.97029215,2023-11-14
0.030160297,0.9698397,2023-11-15
0.030473694,0.9695263,2023-11-16
0.033638358,0.96636164,2023-11-17
0.028177492,0.9718225,2023-11-20
0.032817334,0.96718264,2023-11-21
0.02936466,0.97063535,2023-11-22
0.031309865,0.96869016,2023-11-24
