cash,KO,date
1.0,0.0,2021-10-29
0.6069739,0.3930261,2021-11-01
0.48950326,0.51049674,2021-11-02
0.50461704,0.49538296,2021-11-03
0.4658217,0.5341783,2021-11-04
0.433482,0.566518,2021-11-05
0.44112152,0.5588785,2021-11-08
0.43396333,0.56603664,2021-11-09
0.4160635,0.5839365,2021-11-10
0.39455956,0.60544044,2021-11-11
0.32488966,0.67511034,2021-11-12
0.34806243,0.6519376,2021-11-15
0.38637453,0.61362547,2021-11-16
0.4523636,0.5476364,2021-11-17
0.43827173,0.56172824,2021-11-18
0.46942744,0.53057253,2021-11-19
0.45964107,0.54035896,2021-11-22
0.44360465,0.55639535,2021-11-23
0.41076574,0.58923423,2021-11-24
0.37006524,0.6299347,2021-11-26
0.44920492,0.5507951,2021-11-29
0.61791766,0.38208234,2021-11-30
0.49554682,0.5044532,2021-12-01
0.49738073,0.50261927,2021-12-02
0.55725294,0.44274706,2021-12-03
0.5341095,0.46589053,2021-12-06
0.53634965,0.46365038,2021-12-07
0.56879526,0.43120477,2021-12-08
0.5497765,0.4502235,2021-12-09
0.58384174,0.41615826,2021-12-10
0.6030212,0.3969788,2021-12-13
0.6005197,0.39948028,2021-12-14
0.53390217,0.4660978,2021-12-15
0.6086681,0.39133188,2021-12-16
0.6638935,0.3361065,2021-12-17
0.534389,0.465611,2021-12-20
0.5350512,0.46494874,2021-12-21
0.5593165,0.44068348,2021-12-22
0.4457505,0.55424947,2021-12-23
0.3952671,0.60473293,2021-12-27
0.40841326,0.59158677,2021-12-28
0.40348154,0.59651846,2021-12-29
0.39985886,0.6001411,2021-12-30
0.3887688,0.6112312,2021-12-31
0.44667923,0.55332077,2022-01-03
0.4419874,0.5580126,2022-01-04
0.48922026,0.51077974,2022-01-05
0.48437935,0.51562065,2022-01-06
0.4522733,0.5477267,2022-01-07
0.4620489,0.5379511,2022-01-10
0.5449919,0.45500806,2022-01-11
0.48559612,0.5144039,2022-01-12
0.42766547,0.5723345,2022-01-13
0.43664575,0.56335425,2022-01-14
0.47787136,0.52212864,2022-01-18
0.48188865,0.51811135,2022-01-19
0.46897572,0.5310243,2022-01-20
0.5213644,0.4786356,2022-01-21
0.5015607,0.4984393,2022-01-24
0.48813114,0.5118689,2022-01-25
0.42990175,0.5700982,2022-01-26
0.41182256,0.58817744,2022-01-27
0.39392778,0.60607225,2022-01-28
0.4808104,0.5191896,2022-01-31
0.45116282,0.5488372,2022-02-01
0.43383464,0.5661653,2022-02-02
0.53345394,0.4665461,2022-02-03
