cash,TSM,date
1.0,0.0,2021-11-26
0.0010760642,0.99892396,2021-11-29
0.23619339,0.7638066,2021-11-30
0.0020923922,0.9979076,2021-12-01
0.9930053,0.006994717,2021-12-02
0.9790403,0.020959703,2021-12-03
0.049352165,0.95064783,2021-12-06
0.26117063,0.7388294,2021-12-07
0.99409604,0.0059039565,2021-12-08
0.36983126,0.63016874,2021-12-09
0.0024564953,0.9975435,2021-12-10
0.00431264,0.99568737,2021-12-13
0.0012282281,0.9987718,2021-12-14
0.004440371,0.99555963,2021-12-15
0.99337584,0.0066241496,2021-12-16
0.0026874538,0.99731255,2021-12-17
0.005948118,0.9940519,2021-12-20
0.0016894194,0.99831057,2021-12-21
0.98851556,0.011484426,2021-12-22
0.9945485,0.005451485,2021-12-23
0.9313945,0.06860547,2021-12-27
0.99750113,0.0024988907,2021-12-28
0.038372055,0.96162796,2021-12-29
0.07335224,0.9266478,2021-12-30
0.0048303073,0.9951697,2021-12-31
0.017155563,0.9828444,2022-01-03
0.99673736,0.0032626356,2022-01-04
0.9982663,0.0017337177,2022-01-05
0.0083978735,0.9916021,2022-01-06
0.8701145,0.12988551,2022-01-07
0.0020090975,0.9979909,2022-01-10
0.0063882633,0.99361175,2022-01-11
0.9465944,0.053405594,2022-01-12
0.9931441,0.006855879,2022-01-13
0.9977525,0.002247521,2022-01-14
0.99761176,0.0023882682,2022-01-18
0.0047980463,0.99520195,2022-01-19
0.0017409675,0.998259,2022-01-20
0.0012518732,0.9987481,2022-01-21
0.0011298113,0.9988702,2022-01-24
0.022212693,0.9777873,2022-01-25
0.0012538118,0.9987462,2022-01-26
0.011504228,0.98849577,2022-01-27
0.0019040176,0.998096,2022-01-28
0.19873378,0.80126625,2022-01-31
0.9886456,0.0113544045,2022-02-01
0.9853293,0.014670714,2022-02-02
0.98682594,0.013174033,2022-02-03
0.002775044,0.9972249,2022-02-04
0.3852851,0.6147149,2022-02-07
0.03488187,0.9651181,2022-02-08
0.9853515,0.014648519,2022-02-09
0.98732334,0.012676633,2022-02-10
0.82049257,0.17950746,2022-02-11
0.0036256108,0.99637437,2022-02-14
0.0037682266,0.9962318,2022-02-15
0.9937087,0.0062912917,2022-02-16
0.2424286,0.7575714,2022-02-17
0.001442711,0.99855727,2022-02-18
0.0015438591,0.9984561,2022-02-22
0.0016770345,0.99832296,2022-02-23
0.0026204723,0.99737954,2022-02-24
0.01920729,0.9807927,2022-02-25
0.0030345262,0.99696547,2022-02-28
0.0014716474,0.99852836,2022-03-01
