cash,WMT,date
1.0,0.0,2023-03-16
0.5507266,0.4492734,2023-03-17
0.2544984,0.74550164,2023-03-20
0.22277553,0.7772245,2023-03-21
0.33777747,0.6622225,2023-03-22
0.60175407,0.39824593,2023-03-23
0.648272,0.35172802,2023-03-24
0.62030876,0.37969127,2023-03-27
0.33697018,0.66302985,2023-03-28
0.46846375,0.5315363,2023-03-29
0.504473,0.49552703,2023-03-30
0.72359973,0.27640027,2023-03-31
0.49108636,0.50891364,2023-04-03
0.47893867,0.5210613,2023-04-04
0.6400396,0.35996035,2023-04-05
0.4306452,0.5693548,2023-04-06
0.4364601,0.56353986,2023-04-10
0.59215146,0.40784854,2023-04-11
0.7879971,0.21200289,2023-04-12
0.7091508,0.2908492,2023-04-13
0.7491269,0.2508731,2023-04-14
0.69750345,0.30249655,2023-04-17
0.67595774,0.32404226,2023-04-18
0.66110975,0.33889025,2023-04-19
0.6305061,0.3694939,2023-04-20
0.53540385,0.46459618,2023-04-21
0.66957206,0.3304279,2023-04-24
0.53672,0.46328002,2023-04-25
0.62243724,0.37756273,2023-04-26
0.7212907,0.2787093,2023-04-27
0.77029455,0.22970547,2023-04-28
0.7835065,0.21649349,2023-05-01
0.6979523,0.30204773,2023-05-02
0.6651932,0.33480683,2023-05-03
0.6975208,0.30247924,2023-05-04
0.74940336,0.25059664,2023-05-05
0.4713817,0.5286183,2023-05-08
0.3246333,0.6753667,2023-05-09
0.5959246,0.40407538,2023-05-10
0.5573882,0.44261184,2023-05-11
0.6535507,0.34644935,2023-05-12
0.84102803,0.15897194,2023-05-15
0.7984631,0.20153688,2023-05-16
0.81134874,0.18865123,2023-05-17
0.8302891,0.16971086,2023-05-18
0.48064983,0.5193502,2023-05-19
0.54794896,0.45205104,2023-05-22
0.5337474,0.46625262,2023-05-23
0.5168781,0.48312187,2023-05-24
0.5116385,0.48836148,2023-05-25
0.48223484,0.51776516,2023-05-26
0.45048353,0.54951644,2023-05-30
0.44457066,0.55542934,2023-05-31
0.24543682,0.75456315,2023-06-01
0.23754504,0.762455,2023-06-02
0.14968951,0.8503105,2023-06-05
0.23772562,0.7622744,2023-06-06
0.34964046,0.6503596,2023-06-07
0.51679116,0.48320884,2023-06-08
0.29515117,0.7048488,2023-06-09
0.4559765,0.5440235,2023-06-12
0.6495301,0.35046986,2023-06-13
0.75804335,0.24195664,2023-06-14
0.73483664,0.2651634,2023-06-15
0.8137507,0.18624929,2023-06-16
0.7905179,0.20948204,2023-06-20
0.8752417,0.1247583,2023-06-21
0.87817526,0.12182477,2023-06-22
0.7459984,0.25400165,2023-06-23
0.7838711,0.2161289,2023-06-26
0.66573924,0.33426076,2023-06-27
0.5510512,0.4489488,2023-06-28
0.6136234,0.3863766,2023-06-29
0.61080277,0.3891972,2023-06-30
0.15946358,0.8405364,2023-07-03
0.3146108,0.6853892,2023-07-05
0.33592898,0.664071,2023-07-06
0.64035255,0.35964742,2023-07-07
0.61180496,0.388195,2023-07-10
0.66547966,0.33452034,2023-07-11
0.61610436,0.38389567,2023-07-12
0.5812825,0.4187175,2023-07-13
0.5162633,0.4837367,2023-07-14
0.4593086,0.5406914,2023-07-17
0.4423959,0.55760413,2023-07-18
0.3420421,0.6579579,2023-07-19
0.40843892,0.5915611,2023-07-20
0.12508327,0.87491673,2023-07-21
0.42050222,0.57949775,2023-07-24
0.29950416,0.70049584,2023-07-25
0.5824129,0.41758707,2023-07-26
0.6235555,0.37644452,2023-07-27
0.84427464,0.15572537,2023-07-28
0.7578426,0.24215738,2023-07-31
0.8337474,0.16625258,2023-08-01
0.82034785,0.17965215,2023-08-02
0.7999017,0.20009829,2023-08-03
0.84306604,0.15693398,2023-08-04
0.82572114,0.17427886,2023-08-07
0.6167371,0.38326284,2023-08-08
0.55510604,0.44489396,2023-08-09
0.5554435,0.44455644,2023-08-10
0.751753,0.24824704,2023-08-11
0.6498652,0.3501348,2023-08-14
0.6176824,0.3823176,2023-08-15
0.7274357,0.27256432,2023-08-16
0.70671415,0.29328585,2023-08-17
0.50768614,0.4923139,2023-08-18
0.18521175,0.8147882,2023-08-21
0.4435666,0.55643344,2023-08-22
0.3914865,0.60851353,2023-08-23
0.29439074,0.70560926,2023-08-24
0.29001707,0.70998293,2023-08-25
0.3058237,0.6941763,2023-08-28
0.3858332,0.6141668,2023-08-29
0.26979068,0.73020935,2023-08-30
0.2861723,0.71382767,2023-08-31
0.33411083,0.66588914,2023-09-01
0.43706402,0.56293595,2023-09-05
0.65617824,0.34382176,2023-09-06
0.72453547,0.2754645,2023-09-07
0.6181443,0.3818557,2023-09-08
0.7486896,0.2513104,2023-09-11
0.74981695,0.25018302,2023-09-12
0.77283126,0.22716874,2023-09-13
0.7750137,0.22498634,2023-09-14
0.79218245,0.20781755,2023-09-15
0.69263166,0.3073683,2023-09-18
0.78433174,0.21566825,2023-09-19
0.8638862,0.13611382,2023-09-20
0.76341546,0.23658451,2023-09-21
0.7795646,0.2204354,2023-09-22
0.73105663,0.26894337,2023-09-25
0.643014,0.356986,2023-09-26
0.63522756,0.3647724,2023-09-27
0.5987494,0.4012506,2023-09-28
0.5568604,0.44313964,2023-09-29
0.4575408,0.5424592,2023-10-02
0.4909701,0.5090299,2023-10-03
0.56991804,0.43008193,2023-10-04
0.30660853,0.6933915,2023-10-05
0.5162104,0.4837896,2023-10-06
0.10812853,0.89187145,2023-10-09
0.37691742,0.6230826,2023-10-10
0.273459,0.72654104,2023-10-11
0.2338062,0.7661938,2023-10-12
0.20014119,0.7998588,2023-10-13
0.24444996,0.75555,2023-10-16
0.20532018,0.7946798,2023-10-17
0.32211703,0.67788297,2023-10-18
0.38645715,0.61354285,2023-10-19
0.6105734,0.3894266,2023-10-20
0.83132565,0.16867433,2023-10-23
0.5577418,0.44225815,2023-10-24
0.48841444,0.5115856,2023-10-25
0.44818923,0.5518108,2023-10-26
0.54356277,0.45643723,2023-10-27
0.67215,0.32784995,2023-10-30
0.4201231,0.5798769,2023-10-31
0.46863264,0.53136736,2023-11-01
0.26556706,0.73443294,2023-11-02
0.23977347,0.76022655,2023-11-03
0.6855147,0.31448528,2023-11-06
0.7624992,0.23750079,2023-11-07
0.8174334,0.1825666,2023-11-08
0.7589029,0.24109706,2023-11-09
0.8579583,0.14204168,2023-11-10
0.6493998,0.3506002,2023-11-13
0.4962546,0.50374544,2023-11-14
0.5664306,0.4335694,2023-11-15
0.46810323,0.53189677,2023-11-16
0.19564314,0.8043569,2023-11-17
0.40960985,0.59039015,2023-11-20
