cash,AMD,date
1.0,0.0,2022-12-07
0.026630022,0.97336996,2022-12-08
0.020274635,0.97972536,2022-12-09
0.07419986,0.92580014,2022-12-12
0.07238519,0.9276148,2022-12-13
0.47827974,0.5217203,2022-12-14
0.29553422,0.70446575,2022-12-15
0.12091489,0.8790851,2022-12-16
0.09770343,0.9022966,2022-12-19
0.053332802,0.9466672,2022-12-20
0.02338404,0.97661597,2022-12-21
0.15081048,0.8491895,2022-12-22
0.2627354,0.73726463,2022-12-23
0.1364775,0.86352247,2022-12-27
0.06499989,0.9350001,2022-12-28
0.14211655,0.85788345,2022-12-29
0.032984763,0.96701527,2022-12-30
0.288718,0.711282,2023-01-03
0.2903072,0.7096928,2023-01-04
0.3657713,0.6342287,2023-01-05
0.1714663,0.8285337,2023-01-06
0.52220887,0.4777911,2023-01-09
0.9516639,0.04833608,2023-01-10
0.9855538,0.014446203,2023-01-11
0.98640585,0.013594123,2023-01-12
0.986502,0.013498016,2023-01-13
0.98352987,0.016470155,2023-01-17
0.98003155,0.019968426,2023-01-18
0.8055632,0.19443682,2023-01-19
0.22174732,0.77825266,2023-01-20
0.18381377,0.81618625,2023-01-23
0.897264,0.102736,2023-01-24
0.98445505,0.015544936,2023-01-25
0.98284334,0.017156633,2023-01-26
0.97324777,0.026752211,2023-01-27
0.9808357,0.01916431,2023-01-30
0.20110121,0.7988988,2023-01-31
0.8878567,0.11214326,2023-02-01
0.9323448,0.06765523,2023-02-02
0.9838131,0.016186876,2023-02-03
0.98510444,0.0148955425,2023-02-06
0.9856464,0.014353551,2023-02-07
0.9800424,0.019957608,2023-02-08
0.923066,0.07693399,2023-02-09
0.32294074,0.67705923,2023-02-10
0.040473353,0.95952666,2023-02-13
0.36920324,0.63079673,2023-02-14
0.81584185,0.18415818,2023-02-15
0.9526652,0.04733479,2023-02-16
0.21865806,0.7813419,2023-02-17
0.057736445,0.94226354,2023-02-21
0.023792973,0.976207,2023-02-22
0.021887906,0.9781121,2023-02-23
0.06945715,0.9305428,2023-02-24
0.14869183,0.85130817,2023-02-27
0.377741,0.622259,2023-02-28
0.34083316,0.6591668,2023-03-01
0.46086022,0.53913975,2023-03-02
0.9037478,0.09625219,2023-03-03
0.98320925,0.016790723,2023-03-06
0.9820734,0.017926559,2023-03-07
0.97864527,0.021354757,2023-03-08
0.9808719,0.019128095,2023-03-09
0.9858429,0.014157096,2023-03-10
0.9648857,0.035114292,2023-03-13
0.7559536,0.24404642,2023-03-14
0.92316633,0.07683367,2023-03-15
0.963377,0.03662298,2023-03-16
0.9700661,0.029933946,2023-03-17
0.9885567,0.011443311,2023-03-20
0.9875558,0.01244422,2023-03-21
0.984449,0.015550983,2023-03-22
0.9798819,0.020118132,2023-03-23
0.9685405,0.031459484,2023-03-24
0.97037065,0.029629331,2023-03-27
0.74132085,0.25867915,2023-03-28
0.10978065,0.89021933,2023-03-29
0.040550184,0.9594498,2023-03-30
0.0822694,0.91773057,2023-03-31
0.47194695,0.52805305,2023-04-03
0.20191392,0.7980861,2023-04-04
0.10290961,0.8970904,2023-04-05
0.06961144,0.93038857,2023-04-06
0.024797777,0.9752022,2023-04-10
0.14988808,0.8501119,2023-04-11
0.19048089,0.8095191,2023-04-12
0.10326403,0.89673597,2023-04-13
0.06509219,0.9349078,2023-04-14
0.05819307,0.9418069,2023-04-17
0.06940327,0.9305967,2023-04-18
0.06051698,0.93948305,2023-04-19
0.0579603,0.9420397,2023-04-20
0.08177079,0.9182292,2023-04-21
0.09717251,0.9028275,2023-04-24
0.108433574,0.8915664,2023-04-25
0.09001245,0.90998757,2023-04-26
0.040538542,0.95946145,2023-04-27
0.11808318,0.8819168,2023-04-28
0.95081997,0.049180057,2023-05-01
0.9779923,0.022007717,2023-05-02
0.9855417,0.014458301,2023-05-03
0.3882792,0.6117208,2023-05-04
0.8096844,0.1903156,2023-05-05
0.89825374,0.10174627,2023-05-08
0.97508824,0.024911776,2023-05-09
0.98548055,0.014519474,2023-05-10
0.98757887,0.012421112,2023-05-11
0.98613983,0.013860182,2023-05-12
0.9820041,0.0179959,2023-05-15
0.93028396,0.06971605,2023-05-16
0.9382913,0.06170868,2023-05-17
0.9828426,0.017157381,2023-05-18
0.97708863,0.022911372,2023-05-19
0.98845935,0.011540679,2023-05-22
0.9828578,0.017142192,2023-05-23
0.98314744,0.016852539,2023-05-24
0.97405046,0.025949541,2023-05-25
0.94291085,0.057089154,2023-05-26
0.98314595,0.01685402,2023-05-30
0.9877248,0.012275229,2023-05-31
0.9835693,0.016430661,2023-06-01
0.89166826,0.10833176,2023-06-02
0.095911115,0.9040889,2023-06-05
0.07398539,0.9260146,2023-06-06
0.8208749,0.1791251,2023-06-07
0.94025666,0.059743367,2023-06-08
0.9050553,0.094944715,2023-06-09
0.9575708,0.042429186,2023-06-12
0.9875523,0.012447695,2023-06-13
0.97955257,0.020447444,2023-06-14
0.9823656,0.017634414,2023-06-15
0.9065068,0.09349322,2023-06-16
0.1659534,0.8340466,2023-06-20
0.019419951,0.98058003,2023-06-21
0.04204993,0.95795006,2023-06-22
0.01759305,0.982407,2023-06-23
0.018425157,0.98157483,2023-06-26
0.04648559,0.9535144,2023-06-27
0.022277674,0.97772235,2023-06-28
0.13893542,0.86106455,2023-06-29
0.27187812,0.7281219,2023-06-30
0.72469294,0.27530703,2023-07-03
0.94699645,0.05300353,2023-07-05
0.8786465,0.12135353,2023-07-06
0.6507338,0.34926617,2023-07-07
0.15956058,0.84043944,2023-07-10
0.15436628,0.84563375,2023-07-11
0.09315046,0.90684956,2023-07-12
0.3650352,0.6349648,2023-07-13
0.7319094,0.26809058,2023-07-14
0.98022306,0.019776937,2023-07-17
0.9762834,0.023716608,2023-07-18
0.9804786,0.019521441,2023-07-19
0.8745278,0.12547222,2023-07-20
0.18555649,0.8144435,2023-07-21
0.043753456,0.95624655,2023-07-24
0.033330943,0.9666691,2023-07-25
0.059937786,0.9400622,2023-07-26
0.12022439,0.8797756,2023-07-27
0.40529853,0.59470147,2023-07-28
0.46249044,0.53750956,2023-07-31
0.9420842,0.0579158,2023-08-01
0.9837267,0.01627333,2023-08-02
0.6954507,0.30454928,2023-08-03
0.8991538,0.10084616,2023-08-04
0.92614615,0.07385385,2023-08-07
0.98183906,0.018160965,2023-08-08
0.42021337,0.5797866,2023-08-09
0.15699312,0.8430069,2023-08-10
0.0446399,0.9553601,2023-08-11
0.049890254,0.9501097,2023-08-14
0.22979575,0.77020425,2023-08-15
0.23624694,0.76375306,2023-08-16
0.16906108,0.83093894,2023-08-17
0.0959016,0.9040984,2023-08-18
0.0330194,0.9669806,2023-08-21
0.050702754,0.94929725,2023-08-22
0.12182268,0.87817734,2023-08-23
0.81625247,0.1837475,2023-08-24
0.26315543,0.7368446,2023-08-25
0.058368757,0.94163126,2023-08-28
0.028012628,0.97198737,2023-08-29
0.7590844,0.2409156,2023-08-30
0.89811414,0.10188584,2023-08-31
0.9704712,0.029528806,2023-09-01
0.96503997,0.034960043,2023-09-05
0.9830657,0.016934264,2023-09-06
0.97369134,0.026308646,2023-09-07
0.5528256,0.44717437,2023-09-08
0.098729506,0.9012705,2023-09-11
0.041653838,0.9583462,2023-09-12
0.033344332,0.9666557,2023-09-13
0.14495644,0.8550436,2023-09-14
0.24745853,0.7525415,2023-09-15
0.21665594,0.7833441,2023-09-18
0.03088071,0.9691193,2023-09-19
0.043519344,0.9564807,2023-09-20
0.06819955,0.9318004,2023-09-21
0.057861827,0.9421382,2023-09-22
0.04098061,0.95901936,2023-09-25
0.02446067,0.9755393,2023-09-26
0.06638618,0.93361384,2023-09-27
0.1637697,0.8362303,2023-09-28
0.95928687,0.04071313,2023-09-29
0.9827312,0.017268753,2023-10-02
0.9840469,0.015953144,2023-10-03
0.66469514,0.33530486,2023-10-04
0.9602594,0.0397406,2023-10-05
0.8892714,0.11072861,2023-10-06
0.9731554,0.026844636,2023-10-09
0.9666435,0.033356495,2023-10-10
0.9864544,0.013545592,2023-10-11
0.97579724,0.024202786,2023-10-12
0.9844614,0.015538567,2023-10-13
0.27493703,0.72506297,2023-10-16
0.09206212,0.9079379,2023-10-17
0.0905413,0.9094587,2023-10-18
0.07456428,0.9254357,2023-10-19
0.03489078,0.9651092,2023-10-20
0.11348918,0.88651085,2023-10-23
0.082020536,0.9179795,2023-10-24
0.05694378,0.9430562,2023-10-25
0.1481027,0.8518973,2023-10-26
0.03800344,0.96199656,2023-10-27
0.022658493,0.97734153,2023-10-30
0.064498186,0.9355018,2023-10-31
0.9418192,0.058180787,2023-11-01
0.9526996,0.047300383,2023-11-02
0.9878553,0.012144671,2023-11-03
0.9864561,0.0135438945,2023-11-06
0.9881168,0.011883173,2023-11-07
0.9868814,0.0131186405,2023-11-08
0.97462255,0.025377424,2023-11-09
0.9774619,0.022538101,2023-11-10
0.89721966,0.10278036,2023-11-13
0.9806276,0.019372389,2023-11-14
0.9623589,0.03764109,2023-11-15
0.96192086,0.038079113,2023-11-16
0.97269,0.027310017,2023-11-17
0.83874804,0.16125193,2023-11-20
0.95764256,0.042357426,2023-11-21
0.49931613,0.50068384,2023-11-22
0.9400631,0.059936855,2023-11-24
0.45642257,0.54357743,2023-11-27
0.7745664,0.22543359,2023-11-28
0.38945436,0.61054564,2023-11-29
0.7901065,0.20989354,2023-11-30
0.3362146,0.6637854,2023-12-01
0.16419019,0.8358098,2023-12-04
0.08225467,0.91774535,2023-12-05
0.056605157,0.94339484,2023-12-06
0.05127119,0.9487288,2023-12-07
0.8795072,0.12049283,2023-12-08
0.9881442,0.011855757,2023-12-11
0.9869183,0.013081731,2023-12-12
0.9852976,0.014702402,2023-12-13
0.98815316,0.0118468655,2023-12-14
0.98606217,0.013937829,2023-12-15
0.98329115,0.016708871,2023-12-18
0.97078145,0.029218577,2023-12-19
0.9606953,0.039304677,2023-12-20
0.5912429,0.40875706,2023-12-21
0.74128413,0.25871587,2023-12-22
0.4351851,0.5648149,2023-12-26
0.9604421,0.039557856,2023-12-27
