cash,GOOG,date
1.0,0.0,2023-03-27
0.004243334,0.9957567,2023-03-28
0.0037819725,0.996218,2023-03-29
0.0035608637,0.99643916,2023-03-30
0.0042141867,0.99578583,2023-03-31
0.94943506,0.050564922,2023-04-03
0.9736355,0.026364489,2023-04-04
0.074209325,0.92579067,2023-04-05
0.0042773895,0.9957226,2023-04-06
0.9841905,0.01580949,2023-04-10
0.008813418,0.99118656,2023-04-11
0.00421062,0.9957894,2023-04-12
0.0035655864,0.9964344,2023-04-13
0.015040082,0.9849599,2023-04-14
0.065759026,0.934241,2023-04-17
0.005228215,0.9947718,2023-04-18
0.003861793,0.9961382,2023-04-19
0.005874995,0.994125,2023-04-20
0.008607476,0.99139255,2023-04-21
0.0044192513,0.99558073,2023-04-24
0.01127973,0.9887203,2023-04-25
0.0036913548,0.9963086,2023-04-26
0.005014995,0.994985,2023-04-27
0.9770766,0.022923429,2023-04-28
0.04327964,0.95672035,2023-05-01
0.0051034573,0.99489653,2023-05-02
0.0037332682,0.9962667,2023-05-03
0.0046770414,0.99532294,2023-05-04
0.003773628,0.9962264,2023-05-05
0.011228018,0.988772,2023-05-08
0.67040986,0.3295901,2023-05-09
0.0060199597,0.99398005,2023-05-10
0.981881,0.018118987,2023-05-11
0.38820118,0.6117988,2023-05-12
0.47378963,0.52621037,2023-05-15
0.013874174,0.9861258,2023-05-16
0.890908,0.109091975,2023-05-17
0.6326341,0.3673659,2023-05-18
0.84823966,0.15176034,2023-05-19
0.015717585,0.98428243,2023-05-22
0.62463754,0.37536246,2023-05-23
0.0040496,0.9959504,2023-05-24
0.003764048,0.99623597,2023-05-25
0.0073640756,0.9926359,2023-05-26
0.13839896,0.86160105,2023-05-30
0.006159422,0.9938406,2023-05-31
0.0063907434,0.99360925,2023-06-01
0.018633729,0.9813663,2023-06-02
0.12132785,0.8786722,2023-06-05
0.8075765,0.19242351,2023-06-06
0.8485873,0.15141274,2023-06-07
0.007955194,0.9920448,2023-06-08
0.0081227375,0.99187726,2023-06-09
0.0061897305,0.9938103,2023-06-12
