cash,KO,date
1.0,0.0,2021-10-29
0.0023291055,0.9976709,2021-11-01
0.0003716492,0.99962837,2021-11-02
0.0003920972,0.9996079,2021-11-03
0.0005077408,0.9994923,2021-11-04
0.0005458545,0.99945414,2021-11-05
0.0005636153,0.9994364,2021-11-08
0.000400543,0.99959946,2021-11-09
0.00047444447,0.99952555,2021-11-10
0.00046770697,0.9995323,2021-11-11
0.00044697817,0.999553,2021-11-12
0.0005068102,0.9994932,2021-11-15
0.0005874356,0.99941254,2021-11-16
0.0007408626,0.9992591,2021-11-17
0.0024146803,0.9975853,2021-11-18
0.009395796,0.9906042,2021-11-19
0.06578729,0.9342127,2021-11-22
0.29261172,0.7073883,2021-11-23
0.010382418,0.9896176,2021-11-24
0.0013737002,0.9986263,2021-11-26
0.031914286,0.9680857,2021-11-29
0.9966193,0.0033807312,2021-11-30
0.9827522,0.017247785,2021-12-01
0.99554586,0.0044541624,2021-12-02
0.99848044,0.0015195596,2021-12-03
0.98020303,0.019796947,2021-12-06
0.90552723,0.09447275,2021-12-07
0.015174291,0.98482573,2021-12-08
0.0015109307,0.9984891,2021-12-09
0.0031248522,0.99687517,2021-12-10
0.02238224,0.97761774,2021-12-13
0.00860081,0.99139917,2021-12-14
0.0006323841,0.9993676,2021-12-15
0.00059039984,0.9994096,2021-12-16
0.00085332594,0.9991467,2021-12-17
0.0010963036,0.9989037,2021-12-20
0.0010273817,0.9989726,2021-12-21
0.00086954865,0.9991304,2021-12-22
0.0006060034,0.999394,2021-12-23
0.00038672416,0.9996133,2021-12-27
0.00049667986,0.9995033,2021-12-28
0.00041926332,0.99958074,2021-12-29
0.00044930485,0.9995507,2021-12-30
0.00042325928,0.99957675,2021-12-31
0.000604171,0.99939585,2022-01-03
0.00069793465,0.9993021,2022-01-04
0.00094527495,0.99905473,2022-01-05
0.0006870278,0.999313,2022-01-06
0.0004203675,0.9995796,2022-01-07
0.0004159953,0.999584,2022-01-10
0.00060286775,0.99939716,2022-01-11
0.0006531742,0.99934685,2022-01-12
