cash,AMD,GOOG,KO,TSM,WMT,date
1.0,0.0,0.0,0.0,0.0,0.0,2023-03-27
0.016669633,0.27468053,0.04495269,0.021739531,0.60201085,0.03994676,2023-03-28
0.0057535386,0.09592843,0.04001959,0.002260593,0.7985233,0.057514552,2023-03-29
0.027467225,0.2911827,0.05072706,0.02510149,0.5416218,0.06389974,2023-03-30
0.019353572,0.21565905,0.046222974,0.016274178,0.655909,0.0465812,2023-03-31
0.09505269,0.39690226,0.04190612,0.30921197,0.14125946,0.015667504,2023-04-03
0.016060133,0.21045543,0.05326254,0.014843179,0.6537879,0.051590826,2023-04-04
0.029539075,0.19717905,0.07282153,0.014261068,0.52908427,0.15711501,2023-04-05
0.048949733,0.22415231,0.0820853,0.015562305,0.422053,0.20719734,2023-04-06
0.015745124,0.15142792,0.0673966,0.007673718,0.65346664,0.10429,2023-04-10
0.06994087,0.24352583,0.061062064,0.027155353,0.38896826,0.20934762,2023-04-11
0.03709875,0.106951,0.07847437,0.0066435495,0.4475707,0.32326162,2023-04-12
0.019364366,0.08002346,0.051531263,0.0028593135,0.5944233,0.2517983,2023-04-13
0.032354068,0.08804964,0.051435936,0.0057968544,0.6040931,0.21827042,2023-04-14
0.009539134,0.089026876,0.025592813,0.003676025,0.79945457,0.07271058,2023-04-17
0.0079171,0.05980864,0.043330662,0.0014574056,0.73608595,0.15140027,2023-04-18
0.011539125,0.08794842,0.049834117,0.002219634,0.6899984,0.1584603,2023-04-19
0.046946503,0.07233256,0.12501043,0.007279898,0.3016994,0.4467312,2023-04-20
0.29812327,0.19102918,0.042800922,0.18684024,0.14112897,0.14007743,2023-04-21
0.008905579,0.08621893,0.039976317,0.0040428177,0.78537655,0.07547984,2023-04-24
0.048993494,0.09003285,0.08897864,0.0088188425,0.3879278,0.37524837,2023-04-25
0.01623703,0.093217336,0.055678677,0.0021483588,0.5766141,0.25610453,2023-04-26
0.016712891,0.090617046,0.05337074,0.004438239,0.6940766,0.14078447,2023-04-27
0.08629199,0.29958117,0.056250148,0.065019645,0.4258153,0.06704172,2023-04-28
0.010289469,0.22856353,0.016084494,0.026441462,0.70852125,0.01009977,2023-05-01
0.0046906746,0.15366483,0.017787648,0.0073682033,0.80330396,0.013184683,2023-05-02
0.034155212,0.4838205,0.023362575,0.055752255,0.38551247,0.01739699,2023-05-03
0.018418858,0.1413859,0.047570147,0.0033648035,0.61313236,0.17612793,2023-05-04
0.018391484,0.33895817,0.03428765,0.010962822,0.5471976,0.050202273,2023-05-05
0.18633263,0.4040903,0.060704768,0.16868702,0.10397187,0.07621343,2023-05-08
0.05018258,0.37816972,0.018208016,0.42318034,0.12667021,0.0035891172,2023-05-09
0.02740235,0.49383473,0.023322292,0.17548473,0.275474,0.0044818823,2023-05-10
0.038471077,0.41797915,0.021935211,0.36236405,0.15592805,0.003322452,2023-05-11
0.035592653,0.4645828,0.017866073,0.13525608,0.33831763,0.0083847735,2023-05-12
0.02725494,0.43348274,0.025239548,0.06376405,0.43291828,0.017340442,2023-05-15
0.15496047,0.34322584,0.021838391,0.37506306,0.08349168,0.021420581,2023-05-16
0.03631543,0.3870966,0.01291349,0.4061129,0.15478362,0.0027779145,2023-05-17
0.09457827,0.06532453,0.008952301,0.81959516,0.008621871,0.0029278637,2023-05-18
0.0761042,0.07394844,0.008785175,0.8288366,0.009733229,0.0025923485,2023-05-19
0.056130018,0.46995702,0.028222071,0.22067411,0.20830539,0.0167114,2023-05-22
0.04456607,0.38701314,0.016900921,0.34753388,0.19652057,0.0074654347,2023-05-23
0.019288154,0.29331535,0.029699568,0.02721947,0.59078383,0.039693642,2023-05-24
0.070565104,0.4292152,0.0399102,0.080681525,0.30926335,0.07036464,2023-05-25
0.15824755,0.075972654,0.012119444,0.73790735,0.008872297,0.0068807267,2023-05-26
0.09367579,0.16066498,0.013395141,0.6974378,0.03037453,0.004451734,2023-05-30
0.049545504,0.46516117,0.020685948,0.20429228,0.2505502,0.009764874,2023-05-31
0.011938205,0.3006688,0.02357077,0.015537201,0.6159131,0.0323719,2023-06-01
0.027052136,0.4950498,0.023861323,0.043531425,0.3789393,0.031565998,2023-06-02
0.029692497,0.32550034,0.03376184,0.021755282,0.5104562,0.078833856,2023-06-05
0.023923367,0.23731315,0.029791102,0.045754008,0.6343144,0.02890395,2023-06-06
0.08074245,0.44471627,0.023034835,0.3064577,0.13062386,0.014424871,2023-06-07
0.015080478,0.34141773,0.028550552,0.013692475,0.5530616,0.048197184,2023-06-08
0.025002044,0.4613862,0.031545077,0.072497696,0.39326078,0.016308228,2023-06-09
0.049786244,0.47944248,0.03475607,0.07073292,0.32895193,0.036330372,2023-06-12
0.102122106,0.40893397,0.026932826,0.308393,0.13889767,0.01472041,2023-06-13
0.006747761,0.23747028,0.02087697,0.0076340004,0.7042486,0.023022385,2023-06-14
0.03247844,0.51446664,0.027085902,0.10765064,0.30542797,0.012890382,2023-06-15
0.014461402,0.33034924,0.020188756,0.023267142,0.5929123,0.018821146,2023-06-16
0.01439873,0.25253278,0.0401885,0.008849473,0.6036575,0.08037306,2023-06-20
0.0071247793,0.06545376,0.039226048,0.0015636099,0.76757574,0.11905608,2023-06-21
0.011019793,0.076643124,0.05615763,0.00110631,0.63290787,0.22216526,2023-06-22
0.035268318,0.05032166,0.08182776,0.001935163,0.19224688,0.6384002,2023-06-23
0.0062658847,0.058906376,0.04004491,0.0012768715,0.76625526,0.12725072,2023-06-26
0.015048525,0.054365516,0.10269506,0.0009726704,0.40678406,0.42013416,2023-06-27
0.026023502,0.060321424,0.13124187,0.002386774,0.28224787,0.49777856,2023-06-28
0.06956763,0.16184272,0.22292234,0.014200207,0.2015454,0.32992172,2023-06-29
0.0047999695,0.08358985,0.047688775,0.0038135299,0.8234594,0.036648512,2023-06-30
0.00964479,0.13011122,0.052814286,0.013458264,0.7588277,0.035143737,2023-07-03
0.013168189,0.12079204,0.10164534,0.0069675236,0.65945995,0.09796698,2023-07-05
0.01044753,0.20661373,0.039955776,0.011163551,0.69301856,0.03880084,2023-07-06
0.0054503223,0.103738576,0.033804532,0.0034368,0.8072608,0.046308964,2023-07-07
0.051970262,0.08143414,0.17264357,0.0104118865,0.16095743,0.5225827,2023-07-10
0.010275222,0.10297404,0.0722373,0.0024025342,0.63019246,0.18191844,2023-07-11
0.015064364,0.10287012,0.07661188,0.0025859834,0.56067514,0.24219249,2023-07-12
0.087483324,0.41635832,0.041637886,0.0657907,0.30303103,0.08569875,2023-07-13
0.07738514,0.42473358,0.025589585,0.12255153,0.3171158,0.032624353,2023-07-14
0.045949634,0.49230573,0.018430961,0.08238639,0.34232923,0.018598048,2023-07-17
0.035681665,0.4170514,0.018315334,0.086744376,0.4254497,0.016757522,2023-07-18
0.016557954,0.21533042,0.02156632,0.01603116,0.6990718,0.031442344,2023-07-19
0.06282875,0.4184474,0.026656602,0.034291998,0.38914913,0.0686261,2023-07-20
0.116185516,0.11988379,0.12860109,0.014877361,0.19842729,0.42202497,2023-07-21
0.08662152,0.2949257,0.10996776,0.058334623,0.3404958,0.10965461,2023-07-24
0.04016639,0.042466555,0.1857858,0.003375191,0.19970404,0.52850205,2023-07-25
0.1931899,0.17371033,0.10950904,0.36872038,0.09527927,0.059591077,2023-07-26
0.20964904,0.13873479,0.17539987,0.08100608,0.14015669,0.25505355,2023-07-27
0.084689215,0.35797265,0.06301778,0.049063392,0.320941,0.12431596,2023-07-28
0.32847846,0.18528216,0.08125111,0.22106345,0.050552413,0.13337241,2023-07-31
0.19401261,0.1937829,0.041041084,0.45536688,0.08452965,0.031266868,2023-08-01
0.04820154,0.4942446,0.026078144,0.16522743,0.25507453,0.011173738,2023-08-02
0.011391873,0.17813729,0.031118518,0.005060656,0.71995777,0.054333866,2023-08-03
0.09532709,0.38540262,0.07651848,0.08653775,0.26433617,0.0918779,2023-08-04
0.111383416,0.42184585,0.08795721,0.13479717,0.16764562,0.07637073,2023-08-07
0.04702463,0.41836655,0.075330175,0.18573534,0.2572652,0.016278094,2023-08-08
0.040378332,0.19391015,0.071102,0.01445231,0.4844334,0.19572379,2023-08-09
0.0547172,0.11409059,0.1380966,0.007975042,0.15292375,0.5321968,2023-08-10
0.041848022,0.11771211,0.18246344,0.007762944,0.22114606,0.42906743,2023-08-11
0.05089809,0.040191427,0.2017469,0.005658798,0.11090518,0.5905996,2023-08-14
0.36186677,0.07359079,0.14167193,0.32400662,0.010967793,0.08789611,2023-08-15
0.060949635,0.049189594,0.21469471,0.007035138,0.078026645,0.5901043,2023-08-16
0.13207524,0.06621019,0.20581973,0.020770077,0.04403937,0.53108543,2023-08-17
0.067576885,0.08983745,0.25341204,0.02026926,0.1279189,0.44098547,2023-08-18
0.20445839,0.07590484,0.22709946,0.06010664,0.039502133,0.39292854,2023-08-21
0.39164785,0.03285865,0.1377362,0.100661136,0.007662757,0.3294334,2023-08-22
0.022853252,0.07995809,0.12715401,0.00249741,0.33963394,0.42790332,2023-08-23
0.12957847,0.32866484,0.023316175,0.3613243,0.13496381,0.022152398,2023-08-24
0.030214122,0.17923208,0.048465423,0.00495113,0.48090324,0.25623402,2023-08-25
0.19978012,0.13915835,0.071756,0.032089215,0.09595874,0.46125758,2023-08-28
0.027033223,0.04540491,0.14205058,0.0019356027,0.14226478,0.6413109,2023-08-29
0.19310854,0.24864246,0.03650647,0.39310846,0.09692655,0.031707518,2023-08-30
0.017512364,0.26781556,0.024713237,0.030832194,0.6376688,0.021457888,2023-08-31
0.08987488,0.26660675,0.033772357,0.42335314,0.17658372,0.009809148,2023-09-01
0.027791463,0.43815577,0.025906337,0.08759076,0.40661702,0.013938635,2023-09-05
0.019006792,0.40273702,0.025540853,0.04507978,0.48997885,0.01765669,2023-09-06
0.013503669,0.18251868,0.04909973,0.020162243,0.6904465,0.04426918,2023-09-07
0.07916051,0.16926113,0.08858508,0.08766836,0.45381624,0.12150868,2023-09-08
0.0027003721,0.05474914,0.024579741,0.0014590861,0.8803027,0.036208965,2023-09-11
0.012809793,0.10038281,0.04976381,0.0027732935,0.64779115,0.18647917,2023-09-12
0.0122609455,0.08951485,0.05679836,0.004370973,0.66594326,0.17111161,2023-09-13
0.01313569,0.20251037,0.046797693,0.014577809,0.68430555,0.03867286,2023-09-14
0.03028804,0.27614158,0.048540954,0.0298625,0.55752647,0.05764047,2023-09-15
0.10521837,0.21643302,0.13356438,0.10254414,0.3179503,0.12428979,2023-09-18
0.010560748,0.061954428,0.069171086,0.0021901033,0.64019996,0.21592367,2023-09-19
0.025856094,0.077930994,0.07167701,0.0035080705,0.46226126,0.3587666,2023-09-20
0.009395005,0.08020871,0.06143677,0.0014914353,0.6767601,0.17070803,2023-09-21
0.015407103,0.05499596,0.12474604,0.0018013899,0.4004323,0.40261722,2023-09-22
0.015824288,0.043709956,0.13663803,0.0014679423,0.33115494,0.47120485,2023-09-25
0.024249535,0.068380035,0.14270303,0.003631927,0.3459559,0.41507956,2023-09-26
0.016800689,0.09371749,0.1259622,0.0035005733,0.5101797,0.24983935,2023-09-27
0.031422023,0.06979118,0.23345122,0.008607358,0.3164408,0.34028745,2023-09-28
0.033154245,0.5240636,0.030052943,0.0866197,0.31229964,0.013809866,2023-09-29
0.052394506,0.4386632,0.057527836,0.19835542,0.23653169,0.016527334,2023-10-02
0.103426136,0.38000986,0.07038895,0.22304364,0.18253492,0.04059648,2023-10-03
0.012091115,0.075025916,0.08154014,0.002163698,0.5840479,0.24513124,2023-10-04
0.083497204,0.30773506,0.035198588,0.4143891,0.14801423,0.011165812,2023-10-05
0.028671013,0.12024268,0.14483885,0.027585601,0.52352375,0.15513812,2023-10-06
0.089029774,0.04722175,0.016813224,0.8360592,0.0063909935,0.004485051,2023-10-09
0.02183919,0.156759,0.099697016,0.034266386,0.6259285,0.06150987,2023-10-10
0.06405808,0.32993302,0.01969538,0.44974267,0.13013975,0.006431088,2023-10-11
0.021670062,0.26551834,0.02654991,0.047429666,0.61698467,0.021847364,2023-10-12
0.022804573,0.28387523,0.040832914,0.07654406,0.5568646,0.019078638,2023-10-13
0.007482545,0.10207474,0.045650013,0.0029363637,0.7489284,0.09292788,2023-10-16
0.09643971,0.17468129,0.12546048,0.099418804,0.3820468,0.12195292,2023-10-17
0.15200388,0.15083963,0.16185261,0.089104205,0.23872405,0.2074756,2023-10-18
0.042051036,0.077480346,0.11405461,0.006532001,0.24190015,0.5179819,2023-10-19
0.2578502,0.13467595,0.06641,0.09315899,0.111200266,0.3367046,2023-10-20
0.031453833,0.18775854,0.050078843,0.012376495,0.6018187,0.1165136,2023-10-23
0.053065784,0.19545949,0.1065073,0.025253115,0.47273862,0.1469757,2023-10-24
0.0421481,0.29253548,0.055851724,0.03141746,0.5080353,0.07001195,2023-10-25
0.0074494635,0.07681418,0.06574669,0.0013952673,0.74669844,0.10189597,2023-10-26
0.011156471,0.07677703,0.08717437,0.0011617645,0.60385495,0.21987538,2023-10-27
0.01487573,0.08665022,0.09723305,0.0020380467,0.5495941,0.24960884,2023-10-30
0.021470126,0.11297664,0.10446394,0.004165642,0.5803787,0.17654493,2023-10-31
0.03613114,0.4423791,0.050843496,0.039915416,0.4008324,0.029898461,2023-11-01
0.080725394,0.31390607,0.01500617,0.5202949,0.06564722,0.0044202786,2023-11-02
0.043253772,0.5269346,0.021872528,0.16905992,0.2320733,0.0068058292,2023-11-03
0.05367463,0.34008753,0.016992955,0.49207526,0.09387872,0.0032908851,2023-11-06
0.046664245,0.5406667,0.0281812,0.12827592,0.24144904,0.01476289,2023-11-07
0.023256734,0.55499464,0.027819736,0.12073999,0.26720372,0.0059851836,2023-11-08
0.018576838,0.4299496,0.02480709,0.060156457,0.45312858,0.013381409,2023-11-09
