cash,TSM,date
1.0,0.0,2021-11-26
0.0031199944,0.99688,2021-11-29
0.25552163,0.74447834,2021-11-30
0.005139081,0.99486095,2021-12-01
0.6519097,0.3480903,2021-12-02
0.009855101,0.9901449,2021-12-03
0.004017414,0.9959826,2021-12-06
0.0050301547,0.99496984,2021-12-07
0.2352854,0.7647146,2021-12-08
0.004257054,0.9957429,2021-12-09
0.0036047085,0.9963953,2021-12-10
0.0066700447,0.99332994,2021-12-13
0.003764086,0.9962359,2021-12-14
0.009351379,0.9906486,2021-12-15
0.9593947,0.040605295,2021-12-16
0.0051132636,0.99488676,2021-12-17
0.009421152,0.99057883,2021-12-20
0.0047363644,0.99526364,2021-12-21
0.3990607,0.60093933,2021-12-22
0.92896944,0.07103058,2021-12-23
0.003906837,0.99609315,2021-12-27
0.08403052,0.9159695,2021-12-28
0.0046574525,0.99534255,2021-12-29
0.004435923,0.9955641,2021-12-30
0.00472913,0.99527085,2021-12-31
0.0067916554,0.99320835,2022-01-03
0.98933935,0.01066063,2022-01-04
0.9017826,0.09821743,2022-01-05
0.002729483,0.9972705,2022-01-06
0.20867303,0.79132694,2022-01-07
0.0027791813,0.9972208,2022-01-10
0.14894596,0.8510541,2022-01-11
0.9439954,0.056004588,2022-01-12
0.51325667,0.48674333,2022-01-13
0.9684001,0.031599853,2022-01-14
0.6084526,0.39154738,2022-01-18
0.0026121356,0.9973879,2022-01-19
0.005621545,0.99437845,2022-01-20
0.0059312787,0.99406874,2022-01-21
0.0049895714,0.99501044,2022-01-24
0.73260725,0.26739275,2022-01-25
0.005534262,0.9944657,2022-01-26
0.029610602,0.9703894,2022-01-27
0.009079904,0.99092007,2022-01-28
0.049607527,0.9503925,2022-01-31
0.98083013,0.019169897,2022-02-01
0.015588038,0.98441195,2022-02-02
0.025779098,0.97422093,2022-02-03
0.0045010103,0.995499,2022-02-04
0.046367895,0.9536321,2022-02-07
0.07050484,0.92949516,2022-02-08
0.16451281,0.8354872,2022-02-09
0.20478693,0.7952131,2022-02-10
0.015254631,0.9847454,2022-02-11
0.0066354196,0.9933646,2022-02-14
0.008761507,0.9912385,2022-02-15
0.97410023,0.02589975,2022-02-16
0.008365848,0.99163413,2022-02-17
0.0045244163,0.9954756,2022-02-18
0.010639328,0.9893607,2022-02-22
0.006664253,0.9933357,2022-02-23
0.010502136,0.98949784,2022-02-24
0.03615331,0.9638467,2022-02-25
0.017182622,0.98281735,2022-02-28
0.006931197,0.9930688,2022-03-01
0.058559988,0.94144,2022-03-02
0.12362089,0.87637913,2022-03-03
0.0070766397,0.9929234,2022-03-04
0.0059358096,0.9940642,2022-03-07
0.0057113892,0.9942886,2022-03-08
0.070984595,0.9290154,2022-03-09
0.983536,0.016463997,2022-03-10
0.0068770247,0.993123,2022-03-11
0.0061883023,0.9938117,2022-03-14
0.004249562,0.9957504,2022-03-15
0.8359188,0.1640812,2022-03-16
0.7909272,0.20907281,2022-03-17
0.0139095355,0.9860905,2022-03-18
0.0084729865,0.991527,2022-03-21
0.009235342,0.9907647,2022-03-22
0.008979446,0.99102056,2022-03-23
0.0034390008,0.996561,2022-03-24
0.38485223,0.61514777,2022-03-25
0.0037138287,0.99628615,2022-03-28
0.010129128,0.98987085,2022-03-29
0.7200105,0.27998948,2022-03-30
0.0031344262,0.9968656,2022-03-31
0.0043622185,0.9956378,2022-04-01
0.0067870384,0.99321294,2022-04-04
0.22831969,0.7716803,2022-04-05
0.0040693036,0.9959307,2022-04-06
0.0041433545,0.99585664,2022-04-07
0.004246755,0.9957532,2022-04-08
0.0038720008,0.996128,2022-04-11
0.0040582437,0.99594176,2022-04-12
0.008470449,0.9915295,2022-04-13
0.9451974,0.054802623,2022-04-14
0.008877921,0.99112207,2022-04-18
0.022427725,0.97757226,2022-04-19
0.05607518,0.94392484,2022-04-20
0.00924554,0.9907545,2022-04-21
0.008125929,0.9918741,2022-04-22
0.005018812,0.99498117,2022-04-25
0.07209065,0.9279094,2022-04-26
0.0041460725,0.9958539,2022-04-27
0.0051843156,0.9948157,2022-04-28
0.9913064,0.008693604,2022-04-29
0.004817135,0.9951829,2022-05-02
0.045379337,0.95462066,2022-05-03
0.011492713,0.9885073,2022-05-04
0.62828344,0.3717166,2022-05-05
0.0042367615,0.99576324,2022-05-06
0.009028855,0.99097115,2022-05-09
0.004349458,0.99565053,2022-05-10
0.10632945,0.89367056,2022-05-11
0.007832504,0.9921675,2022-05-12
0.02096256,0.97903746,2022-05-13
0.9667935,0.03320652,2022-05-16
0.006605795,0.9933942,2022-05-17
0.50693935,0.49306068,2022-05-18
0.0043328027,0.9956672,2022-05-19
0.018182954,0.98181707,2022-05-20
0.068641104,0.9313589,2022-05-23
0.08186516,0.91813487,2022-05-24
0.003143126,0.99685687,2022-05-25
0.42125705,0.578743,2022-05-26
0.058822118,0.9411779,2022-05-27
0.7589246,0.24107543,2022-05-31
0.07251266,0.9274873,2022-06-01
0.005896258,0.9941037,2022-06-02
0.29341492,0.70658505,2022-06-03
0.0026498723,0.99735016,2022-06-06
0.0046195695,0.9953804,2022-06-07
0.0546052,0.9453948,2022-06-08
0.004880988,0.99511904,2022-06-09
0.00403207,0.9959679,2022-06-10
0.0035590592,0.99644095,2022-06-13
0.003638246,0.99636173,2022-06-14
0.10669023,0.8933098,2022-06-15
0.46042463,0.5395754,2022-06-16
0.0037182458,0.99628174,2022-06-17
0.011323406,0.9886766,2022-06-21
0.31172293,0.68827707,2022-06-22
0.0045852032,0.9954148,2022-06-23
0.0075650844,0.9924349,2022-06-24
0.69056106,0.30943894,2022-06-27
0.0070692017,0.99293077,2022-06-28
0.0052249143,0.99477506,2022-06-29
0.005263333,0.9947367,2022-06-30
0.0045834584,0.9954165,2022-07-01
0.0042216927,0.9957783,2022-07-05
0.021188827,0.97881114,2022-07-06
0.013889302,0.9861107,2022-07-07
0.9921591,0.007840879,2022-07-08
0.033277176,0.96672285,2022-07-11
0.003974002,0.996026,2022-07-12
0.009535688,0.9904643,2022-07-13
0.66452676,0.33547324,2022-07-14
0.63790035,0.36209962,2022-07-15
0.24616736,0.75383264,2022-07-18
0.003839506,0.9961605,2022-07-19
0.90360695,0.09639305,2022-07-20
0.10054224,0.89945775,2022-07-21
0.33455056,0.66544944,2022-07-22
0.0060275644,0.9939724,2022-07-25
0.03832866,0.96167135,2022-07-26
0.0046631284,0.9953369,2022-07-27
0.97297883,0.027021183,2022-07-28
0.13770771,0.8622923,2022-07-29
0.013744111,0.9862559,2022-08-01
0.0038570478,0.9961429,2022-08-02
0.024871698,0.9751283,2022-08-03
0.029905172,0.9700948,2022-08-04
0.4420727,0.5579273,2022-08-05
0.16977371,0.8302263,2022-08-08
0.0037976753,0.99620235,2022-08-09
0.0034012415,0.9965988,2022-08-10
0.96112925,0.038870767,2022-08-11
0.022146627,0.97785336,2022-08-12
0.19643329,0.8035667,2022-08-15
0.1219706,0.8780294,2022-08-16
0.0061758016,0.9938242,2022-08-17
0.009449612,0.9905504,2022-08-18
0.025209017,0.974791,2022-08-19
0.0038260117,0.996174,2022-08-22
0.0039932854,0.9960067,2022-08-23
0.048195206,0.9518048,2022-08-24
0.0061270874,0.99387294,2022-08-25
0.49361464,0.5063853,2022-08-26
0.00558723,0.9944128,2022-08-29
0.00443973,0.9955603,2022-08-30
0.011311357,0.98868865,2022-08-31
0.016823074,0.98317695,2022-09-01
0.005495589,0.9945044,2022-09-02
0.008224627,0.9917754,2022-09-06
0.0061258245,0.9938742,2022-09-07
0.023443038,0.97655696,2022-09-08
0.02614309,0.9738569,2022-09-09
0.11578467,0.88421535,2022-09-12
0.017429039,0.98257095,2022-09-13
0.003945892,0.9960541,2022-09-14
0.03318792,0.9668121,2022-09-15
0.0036912928,0.9963087,2022-09-16
0.009486905,0.9905131,2022-09-19
0.048469737,0.9515303,2022-09-20
0.006059051,0.99394095,2022-09-21
0.0046748263,0.99532515,2022-09-22
0.0035856157,0.99641436,2022-09-23
0.0038034073,0.99619657,2022-09-26
0.0049973647,0.9950026,2022-09-27
0.008373801,0.9916262,2022-09-28
0.0060057244,0.9939943,2022-09-29
0.004425937,0.99557406,2022-09-30
0.005969879,0.9940301,2022-10-03
0.017896669,0.98210335,2022-10-04
0.970308,0.029691976,2022-10-05
0.075700745,0.92429924,2022-10-06
0.005635803,0.9943642,2022-10-07
0.0030379363,0.9969621,2022-10-10
0.004705128,0.99529487,2022-10-11
0.0039361482,0.9960638,2022-10-12
0.060825165,0.93917483,2022-10-13
0.94648576,0.05351425,2022-10-14
0.007465304,0.9925347,2022-10-17
0.051991917,0.94800806,2022-10-18
0.009496236,0.9905038,2022-10-19
0.014207041,0.98579293,2022-10-20
0.009971192,0.9900288,2022-10-21
0.030573392,0.96942663,2022-10-24
0.0044177617,0.9955822,2022-10-25
0.03591562,0.9640844,2022-10-26
0.008056085,0.9919439,2022-10-27
0.010839518,0.9891605,2022-10-28
0.40357977,0.5964202,2022-10-31
0.006014645,0.99398535,2022-11-01
0.010658526,0.9893415,2022-11-02
0.007556152,0.99244386,2022-11-03
0.008426629,0.9915734,2022-11-04
0.9511093,0.048890732,2022-11-07
0.011443101,0.9885569,2022-11-08
0.89262205,0.10737793,2022-11-09
0.005495738,0.9945043,2022-11-10
0.9895193,0.010480674,2022-11-11
0.91143763,0.08856239,2022-11-14
0.009731694,0.9902683,2022-11-15
0.9879503,0.012049695,2022-11-16
0.022840448,0.97715956,2022-11-17
0.9474487,0.05255133,2022-11-18
0.4041142,0.5958858,2022-11-21
0.006656664,0.99334335,2022-11-22
0.9131875,0.08681247,2022-11-23
0.032110307,0.96788967,2022-11-25
0.01483506,0.98516494,2022-11-28
0.0042922758,0.99570775,2022-11-29
0.02460226,0.97539777,2022-11-30
0.9849866,0.015013385,2022-12-01
0.006141479,0.9938585,2022-12-02
0.004841422,0.99515855,2022-12-05
0.012130119,0.98786986,2022-12-06
0.0036858832,0.9963141,2022-12-07
0.0072291046,0.9927709,2022-12-08
0.5006426,0.49935737,2022-12-09
0.0071474235,0.99285257,2022-12-12
0.013003246,0.98699677,2022-12-13
0.013626856,0.9863731,2022-12-14
0.007224079,0.9927759,2022-12-15
0.0038066562,0.99619335,2022-12-16
0.005093348,0.99490666,2022-12-19
0.0070983456,0.9929017,2022-12-20
0.0062775514,0.99372244,2022-12-21
0.3815838,0.6184162,2022-12-22
0.0050203316,0.9949797,2022-12-23
0.0064443536,0.99355567,2022-12-27
0.0052384078,0.9947616,2022-12-28
0.00534698,0.99465305,2022-12-29
0.9737234,0.026276594,2022-12-30
0.0037505422,0.99624944,2023-01-03
0.0073242607,0.9926757,2023-01-04
0.7655521,0.23444791,2023-01-05
0.0036550714,0.9963449,2023-01-06
0.800621,0.19937906,2023-01-09
0.44913828,0.5508617,2023-01-10
0.07125654,0.9287435,2023-01-11
0.057021417,0.94297856,2023-01-12
0.9864799,0.013520146,2023-01-13
0.030230656,0.96976936,2023-01-17
0.91309816,0.08690186,2023-01-18
0.05355799,0.946442,2023-01-19
0.009971268,0.99002874,2023-01-20
0.925909,0.07409103,2023-01-23
0.98162574,0.018374274,2023-01-24
0.010714873,0.9892851,2023-01-25
0.0037353812,0.99626464,2023-01-26
0.07264086,0.92735916,2023-01-27
0.015589936,0.98441005,2023-01-30
0.01576803,0.98423195,2023-01-31
0.024183037,0.97581697,2023-02-01
0.78254455,0.21745543,2023-02-02
0.18134905,0.81865096,2023-02-03
0.002914962,0.99708503,2023-02-06
0.0030323048,0.9969677,2023-02-07
0.88103145,0.11896855,2023-02-08
0.0040442687,0.9959557,2023-02-09
0.49390298,0.506097,2023-02-10
0.0037657833,0.99623424,2023-02-13
0.02963482,0.97036517,2023-02-14
0.638097,0.36190298,2023-02-15
0.0025768622,0.9974231,2023-02-16
0.0034844638,0.9965155,2023-02-17
0.0052046156,0.9947954,2023-02-21
0.003991229,0.99600875,2023-02-22
0.0060882554,0.99391174,2023-02-23
0.88348997,0.116510056,2023-02-24
0.0041150344,0.99588495,2023-02-27
0.0053923875,0.9946076,2023-02-28
0.006647344,0.99335265,2023-03-01
0.030954769,0.9690452,2023-03-02
0.03327616,0.96672386,2023-03-03
0.033846498,0.9661535,2023-03-06
0.0052702893,0.9947297,2023-03-07
0.00375504,0.99624497,2023-03-08
0.6274692,0.37253082,2023-03-09
0.0036899499,0.99631006,2023-03-10
0.0038965684,0.9961034,2023-03-13
0.07406331,0.9259367,2023-03-14
0.30277804,0.697222,2023-03-15
0.0035354015,0.9964646,2023-03-16
0.93893296,0.061067022,2023-03-17
