cash,WMT,date
1.0,0.0,2023-03-16
0.4281335,0.5718665,2023-03-17
0.059763514,0.9402365,2023-03-20
0.016011281,0.9839887,2023-03-21
0.048640765,0.9513592,2023-03-22
0.285444,0.71455604,2023-03-23
0.29071772,0.7092823,2023-03-24
0.032308064,0.96769196,2023-03-27
0.015659483,0.9843405,2023-03-28
0.045438506,0.9545615,2023-03-29
0.017981358,0.98201865,2023-03-30
0.032276597,0.9677234,2023-03-31
0.020493079,0.9795069,2023-04-03
0.015117388,0.9848826,2023-04-04
0.030193748,0.96980625,2023-04-05
0.041430105,0.9585699,2023-04-06
0.031351417,0.9686486,2023-04-10
0.024634968,0.97536504,2023-04-11
0.12537746,0.8746225,2023-04-12
0.5167988,0.48320124,2023-04-13
0.770079,0.229921,2023-04-14
0.92475146,0.075248525,2023-04-17
0.25649107,0.74350893,2023-04-18
0.10133504,0.89866495,2023-04-19
0.04283927,0.9571607,2023-04-20
0.1221297,0.8778703,2023-04-21
0.058904488,0.94109553,2023-04-24
0.017149445,0.98285055,2023-04-25
0.57309127,0.42690873,2023-04-26
0.57519704,0.42480296,2023-04-27
0.31440574,0.68559426,2023-04-28
0.87140346,0.12859653,2023-05-01
0.53395313,0.46604687,2023-05-02
0.59070677,0.40929323,2023-05-03
0.53832835,0.46167165,2023-05-04
0.47678012,0.5232199,2023-05-05
0.058538474,0.9414615,2023-05-08
0.025826497,0.9741735,2023-05-09
0.018210327,0.98178965,2023-05-10
0.20181842,0.7981816,2023-05-11
0.07385234,0.92614764,2023-05-12
0.61309606,0.38690394,2023-05-15
0.96313155,0.03686844,2023-05-16
0.97436243,0.025637574,2023-05-17
0.97126985,0.02873014,2023-05-18
0.9390108,0.060989223,2023-05-19
0.86451584,0.13548413,2023-05-22
0.9368597,0.06314028,2023-05-23
0.9382301,0.06176993,2023-05-24
0.9389581,0.061041873,2023-05-25
0.9660182,0.033981774,2023-05-26
0.938216,0.061784007,2023-05-30
0.96309865,0.036901362,2023-05-31
0.82826304,0.17173694,2023-06-01
0.3649033,0.6350967,2023-06-02
0.03840971,0.9615903,2023-06-05
0.016316729,0.9836833,2023-06-06
0.0112137105,0.9887863,2023-06-07
0.022120504,0.9778795,2023-06-08
0.017566733,0.98243326,2023-06-09
0.016429687,0.98357034,2023-06-12
