cash,AMD,date
1.0,0.0,2022-12-07
0.7829362,0.21706378,2022-12-08
0.60112697,0.39887303,2022-12-09
0.8909223,0.1090777,2022-12-12
0.9455495,0.054450527,2022-12-13
0.8719351,0.12806487,2022-12-14
0.9112381,0.088761926,2022-12-15
0.9589749,0.04102513,2022-12-16
0.9475572,0.052442785,2022-12-19
0.94809157,0.051908445,2022-12-20
0.96685696,0.033143032,2022-12-21
0.9504557,0.04954425,2022-12-22
0.834047,0.16595298,2022-12-23
0.77667546,0.22332454,2022-12-27
0.74181026,0.25818974,2022-12-28
0.57306737,0.42693263,2022-12-29
0.48464933,0.5153507,2022-12-30
0.75249106,0.24750893,2023-01-03
0.60749483,0.39250517,2023-01-04
0.7761149,0.22388512,2023-01-05
0.6912597,0.30874035,2023-01-06
0.9368189,0.063181095,2023-01-09
0.56432617,0.43567386,2023-01-10
0.69765544,0.3023446,2023-01-11
0.5374503,0.46254972,2023-01-12
0.8256894,0.17431062,2023-01-13
0.898246,0.101753995,2023-01-17
0.88956535,0.11043466,2023-01-18
0.8570095,0.14299053,2023-01-19
0.82737195,0.17262807,2023-01-20
0.87652093,0.12347905,2023-01-23
0.40898496,0.59101504,2023-01-24
0.7530779,0.2469221,2023-01-25
0.8764027,0.12359732,2023-01-26
0.8831053,0.1168947,2023-01-27
0.9099926,0.0900074,2023-01-30
0.72962976,0.27037022,2023-01-31
0.91225064,0.08774936,2023-02-01
0.5356281,0.46437192,2023-02-02
0.57452923,0.42547074,2023-02-03
0.73374987,0.26625013,2023-02-06
0.7735077,0.22649227,2023-02-07
0.92925,0.070749976,2023-02-08
0.6721505,0.32784948,2023-02-09
0.43193376,0.56806624,2023-02-10
0.49454615,0.5054539,2023-02-13
0.38508925,0.6149108,2023-02-14
0.33965588,0.6603441,2023-02-15
0.16810071,0.8318993,2023-02-16
0.22171997,0.77828,2023-02-17
0.7038669,0.29613313,2023-02-21
0.53637797,0.463622,2023-02-22
0.5803881,0.41961184,2023-02-23
0.46569437,0.53430563,2023-02-24
0.15567927,0.8443207,2023-02-27
0.23049499,0.769505,2023-02-28
0.26194713,0.7380529,2023-03-01
0.17996505,0.820035,2023-03-02
0.46557134,0.53442866,2023-03-03
0.3824656,0.6175344,2023-03-06
0.26077598,0.739224,2023-03-07
0.50088614,0.49911386,2023-03-08
0.6347886,0.3652114,2023-03-09
0.5655934,0.43440655,2023-03-10
0.6684038,0.33159623,2023-03-13
0.63936806,0.36063197,2023-03-14
0.7646047,0.23539533,2023-03-15
0.4929742,0.5070258,2023-03-16
0.43673635,0.56326365,2023-03-17
0.27156568,0.7284343,2023-03-20
0.5505302,0.44946983,2023-03-21
0.5924086,0.40759143,2023-03-22
0.84879965,0.15120035,2023-03-23
0.6170134,0.3829866,2023-03-24
0.6063032,0.39369676,2023-03-27
0.88707,0.11292998,2023-03-28
0.95470256,0.045297414,2023-03-29
0.72813755,0.27186245,2023-03-30
0.8744898,0.12551022,2023-03-31
0.9594648,0.04053521,2023-04-03
0.9310458,0.06895425,2023-04-04
0.8985272,0.10147278,2023-04-05
0.57317066,0.4268293,2023-04-06
0.619447,0.38055298,2023-04-10
0.69312704,0.30687293,2023-04-11
0.7286628,0.2713372,2023-04-12
0.48023552,0.5197645,2023-04-13
0.7611236,0.2388764,2023-04-14
0.68582577,0.3141742,2023-04-17
0.8861191,0.11388085,2023-04-18
0.86891973,0.13108027,2023-04-19
0.9729734,0.027026612,2023-04-20
0.95298123,0.04701877,2023-04-21
0.94026166,0.059738316,2023-04-24
0.975068,0.024932005,2023-04-25
0.8655064,0.13449357,2023-04-26
0.9642872,0.03571277,2023-04-27
0.951278,0.048722014,2023-04-28
0.7808844,0.2191156,2023-05-01
0.9058263,0.09417375,2023-05-02
0.9382538,0.061746154,2023-05-03
0.8542106,0.14578938,2023-05-04
0.9151678,0.0848322,2023-05-05
0.96318835,0.03681163,2023-05-08
0.7563191,0.2436809,2023-05-09
0.83322215,0.16677786,2023-05-10
0.6270203,0.3729797,2023-05-11
0.87551403,0.12448599,2023-05-12
0.7706462,0.2293538,2023-05-15
0.8588546,0.14114541,2023-05-16
0.68984365,0.31015632,2023-05-17
0.8525995,0.14740053,2023-05-18
0.50487936,0.49512064,2023-05-19
0.38128087,0.61871916,2023-05-22
0.77118015,0.22881988,2023-05-23
0.9005108,0.09948919,2023-05-24
0.72837573,0.27162424,2023-05-25
