cash,GOOG,date
1.0,0.0,2023-03-27
0.31806716,0.6819328,2023-03-28
0.1718644,0.8281356,2023-03-29
0.10569691,0.8943031,2023-03-30
0.40299255,0.59700745,2023-03-31
0.5564982,0.44350174,2023-04-03
0.5767414,0.4232586,2023-04-04
0.71451503,0.285485,2023-04-05
0.4749932,0.52500683,2023-04-06
0.67963636,0.3203636,2023-04-10
0.7533107,0.24668933,2023-04-11
0.662092,0.33790803,2023-04-12
0.43330902,0.566691,2023-04-13
0.5908862,0.40911382,2023-04-14
0.62274754,0.37725246,2023-04-17
0.50743496,0.49256504,2023-04-18
0.53969324,0.46030676,2023-04-19
0.4328601,0.5671399,2023-04-20
0.51890117,0.48109883,2023-04-21
0.6129055,0.3870945,2023-04-24
0.5973679,0.40263212,2023-04-25
0.13570715,0.86429286,2023-04-26
0.19271013,0.8072899,2023-04-27
0.5082323,0.49176767,2023-04-28
0.8469802,0.1530198,2023-05-01
0.7510384,0.24896163,2023-05-02
0.44134462,0.5586554,2023-05-03
0.5650672,0.43493283,2023-05-04
0.15389572,0.84610426,2023-05-05
0.38943952,0.6105605,2023-05-08
0.74386346,0.25613654,2023-05-09
0.77717125,0.22282875,2023-05-10
0.74903077,0.25096923,2023-05-11
0.87991416,0.12008581,2023-05-12
0.61522883,0.3847712,2023-05-15
0.707,0.29299995,2023-05-16
0.3137148,0.6862852,2023-05-17
0.18685941,0.8131406,2023-05-18
0.23729636,0.76270366,2023-05-19
0.20748475,0.7925153,2023-05-22
0.20605248,0.7939475,2023-05-23
0.143302,0.856698,2023-05-24
0.15198721,0.8480128,2023-05-25
0.18260004,0.8174,2023-05-26
0.21581514,0.7841849,2023-05-30
0.3278391,0.6721609,2023-05-31
0.18174484,0.8182552,2023-06-01
0.20472874,0.7952713,2023-06-02
0.2768778,0.72312224,2023-06-05
0.35182777,0.6481722,2023-06-06
0.33215368,0.6678463,2023-06-07
0.27747396,0.7225261,2023-06-08
0.19428185,0.8057182,2023-06-09
0.16181362,0.8381864,2023-06-12
0.36692464,0.63307536,2023-06-13
0.4892082,0.5107918,2023-06-14
0.24422327,0.7557767,2023-06-15
0.2697368,0.7302632,2023-06-16
0.21464586,0.78535414,2023-06-20
0.4982653,0.5017347,2023-06-21
0.16176726,0.83823276,2023-06-22
0.18341528,0.8165847,2023-06-23
0.2196534,0.7803466,2023-06-26
0.38607073,0.6139293,2023-06-27
0.07932017,0.9206798,2023-06-28
0.14426592,0.8557341,2023-06-29
0.31217104,0.68782896,2023-06-30
0.3826255,0.61737454,2023-07-03
0.29463932,0.7053607,2023-07-05
0.30261126,0.6973887,2023-07-06
0.25574327,0.74425673,2023-07-07
0.3386857,0.6613143,2023-07-10
0.22250584,0.7774942,2023-07-11
0.23455478,0.76544523,2023-07-12
0.28599617,0.7140038,2023-07-13
0.64244145,0.35755855,2023-07-14
0.45876017,0.54123986,2023-07-17
0.46306622,0.5369338,2023-07-18
0.27472904,0.7252709,2023-07-19
0.27003798,0.72996205,2023-07-20
0.18946871,0.8105313,2023-07-21
0.19034208,0.80965793,2023-07-24
0.25394028,0.7460597,2023-07-25
0.27795443,0.7220456,2023-07-26
0.53247035,0.46752965,2023-07-27
0.6196612,0.3803388,2023-07-28
0.43281537,0.5671846,2023-07-31
0.36441958,0.6355804,2023-08-01
0.28388762,0.7161124,2023-08-02
0.15626597,0.843734,2023-08-03
0.14230429,0.8576957,2023-08-04
0.20470934,0.79529065,2023-08-07
0.25045025,0.74954975,2023-08-08
0.27001002,0.72998995,2023-08-09
0.40598345,0.59401655,2023-08-10
