cash,KO,date
1.0,0.0,2021-10-29
0.11824244,0.88175756,2021-11-01
0.1431827,0.8568173,2021-11-02
0.13981728,0.8601827,2021-11-03
0.14381547,0.85618454,2021-11-04
0.14758007,0.8524199,2021-11-05
0.12238441,0.8776156,2021-11-08
0.06203947,0.9379605,2021-11-09
0.08221992,0.9177801,2021-11-10
0.15068257,0.84931743,2021-11-11
0.11339301,0.886607,2021-11-12
0.074219264,0.9257807,2021-11-15
0.11357186,0.8864281,2021-11-16
0.04694765,0.95305234,2021-11-17
0.061532952,0.938467,2021-11-18
0.05376128,0.9462387,2021-11-19
0.05159926,0.94840074,2021-11-22
0.14076376,0.85923624,2021-11-23
0.071198754,0.92880124,2021-11-24
0.11042079,0.88957924,2021-11-26
0.39105332,0.6089467,2021-11-29
0.30562118,0.69437885,2021-11-30
0.17358163,0.82641834,2021-12-01
0.18711856,0.8128814,2021-12-02
0.16856824,0.83143175,2021-12-03
0.28239447,0.71760553,2021-12-06
0.2610802,0.7389198,2021-12-07
0.50361854,0.49638146,2021-12-08
0.49493515,0.50506485,2021-12-09
0.7392876,0.2607124,2021-12-10
0.88748425,0.11251577,2021-12-13
0.8173051,0.18269488,2021-12-14
0.7727518,0.2272482,2021-12-15
0.5620652,0.43793482,2021-12-16
0.35739365,0.6426064,2021-12-17
0.12314403,0.87685597,2021-12-20
0.07883531,0.9211647,2021-12-21
0.08456843,0.91543156,2021-12-22
0.11624496,0.883755,2021-12-23
0.100750044,0.89925,2021-12-27
0.19587761,0.8041224,2021-12-28
0.23318368,0.7668163,2021-12-29
0.14415097,0.855849,2021-12-30
0.11459722,0.8854028,2021-12-31
0.15549521,0.8445048,2022-01-03
0.15087365,0.84912634,2022-01-04
0.22942474,0.7705753,2022-01-05
0.23227327,0.7677267,2022-01-06
0.13833487,0.8616651,2022-01-07
0.14378718,0.85621285,2022-01-10
0.13765143,0.86234856,2022-01-11
0.098240465,0.9017595,2022-01-12
0.09543023,0.90456975,2022-01-13
0.1857153,0.8142847,2022-01-14
0.23254295,0.76745707,2022-01-18
0.09524549,0.9047545,2022-01-19
0.20544326,0.79455674,2022-01-20
0.12648879,0.8735112,2022-01-21
0.099154145,0.9008458,2022-01-24
0.30368268,0.6963173,2022-01-25
0.20115608,0.7988439,2022-01-26
0.11765354,0.88234645,2022-01-27
0.16279492,0.83720505,2022-01-28
0.28365588,0.7163441,2022-01-31
0.22073641,0.7792636,2022-02-01
0.09406481,0.90593517,2022-02-02
0.38208464,0.6179154,2022-02-03
0.6639924,0.33600762,2022-02-04
0.5117476,0.48825237,2022-02-07
0.53617495,0.46382505,2022-02-08
0.2879185,0.7120815,2022-02-09
0.083936304,0.9160637,2022-02-10
0.2900846,0.7099154,2022-02-11
0.13478282,0.8652172,2022-02-14
0.18997729,0.8100227,2022-02-15
0.32490277,0.6750972,2022-02-16
0.1283648,0.8716352,2022-02-17
0.3081104,0.6918896,2022-02-18
0.25497434,0.74502563,2022-02-22
0.12531862,0.87468135,2022-02-23
0.07669197,0.923308,2022-02-24
0.18187633,0.81812364,2022-02-25
0.5710484,0.42895165,2022-02-28
0.16170113,0.83829886,2022-03-01
0.31301257,0.68698746,2022-03-02
0.5248804,0.47511956,2022-03-03
0.42136937,0.5786306,2022-03-04
0.65135896,0.34864104,2022-03-07
0.4348485,0.5651515,2022-03-08
0.81777793,0.18222205,2022-03-09
0.6050971,0.39490286,2022-03-10
0.68897307,0.3110269,2022-03-11
0.38414398,0.61585605,2022-03-14
0.4851158,0.5148842,2022-03-15
0.6811442,0.31885585,2022-03-16
0.6454973,0.35450268,2022-03-17
0.85732436,0.14267564,2022-03-18
0.32350737,0.67649263,2022-03-21
0.5147043,0.4852957,2022-03-22
0.2751134,0.7248866,2022-03-23
0.10525894,0.89474106,2022-03-24
0.32084775,0.67915225,2022-03-25
0.4303192,0.5696808,2022-03-28
0.2753842,0.7246158,2022-03-29
0.18662015,0.8133798,2022-03-30
0.13875327,0.86124676,2022-03-31
0.105035126,0.8949649,2022-04-01
0.15513127,0.8448687,2022-04-04
0.13473433,0.86526567,2022-04-05
0.10712941,0.8928706,2022-04-06
0.16647817,0.83352184,2022-04-07
0.18570024,0.81429976,2022-04-08
0.2645704,0.73542964,2022-04-11
0.24443655,0.75556344,2022-04-12
0.19071105,0.8092889,2022-04-13
0.2360946,0.7639054,2022-04-14
0.17241636,0.8275836,2022-04-18
0.13523833,0.86476165,2022-04-19
0.30986467,0.6901353,2022-04-20
0.2656561,0.7343439,2022-04-21
0.30315462,0.6968454,2022-04-22
0.09059963,0.9094004,2022-04-25
0.18987305,0.81012696,2022-04-26
0.09334827,0.90665174,2022-04-27
0.16988955,0.83011043,2022-04-28
0.36211166,0.6378883,2022-04-29
0.09071994,0.90928006,2022-05-02
0.17298743,0.8270126,2022-05-03
0.1101515,0.8898485,2022-05-04
0.44895193,0.55104804,2022-05-05
0.0673303,0.9326697,2022-05-06
0.17384508,0.8261549,2022-05-09
0.176229,0.823771,2022-05-10
0.11041642,0.8895836,2022-05-11
0.10161124,0.89838874,2022-05-12
0.17479905,0.825201,2022-05-13
0.34942916,0.6505708,2022-05-16
0.3113594,0.6886406,2022-05-17
0.1536167,0.8463833,2022-05-18
0.7451137,0.25488636,2022-05-19
0.58192545,0.41807452,2022-05-20
0.38459027,0.61540973,2022-05-23
0.48228878,0.5177112,2022-05-24
0.56528234,0.43471768,2022-05-25
0.601655,0.398345,2022-05-26
0.76915514,0.23084489,2022-05-27
0.5381853,0.46181473,2022-05-31
0.17681976,0.82318026,2022-06-01
0.47832298,0.521677,2022-06-02
0.5947582,0.40524176,2022-06-03
0.11116208,0.88883793,2022-06-06
0.088491715,0.91150826,2022-06-07
0.33183324,0.66816676,2022-06-08
0.13443805,0.86556196,2022-06-09
0.21530178,0.7846982,2022-06-10
0.25087056,0.7491294,2022-06-13
0.31870857,0.68129146,2022-06-14
0.35905853,0.64094144,2022-06-15
0.2034273,0.7965727,2022-06-16
0.17527975,0.82472026,2022-06-17
0.088417694,0.9115823,2022-06-21
0.5615131,0.43848684,2022-06-22
0.61150986,0.38849014,2022-06-23
0.27187237,0.72812766,2022-06-24
0.58073366,0.41926634,2022-06-27
0.5092744,0.49072555,2022-06-28
0.22826844,0.77173156,2022-06-29
0.22321826,0.77678174,2022-06-30
0.20680226,0.79319775,2022-07-01
0.36283192,0.63716805,2022-07-05
0.19729964,0.80270034,2022-07-06
0.18417953,0.81582046,2022-07-07
0.10773226,0.89226776,2022-07-08
0.12792617,0.8720738,2022-07-11
0.07216255,0.92783743,2022-07-12
0.05118443,0.9488156,2022-07-13
0.08186203,0.91813797,2022-07-14
0.13297066,0.8670293,2022-07-15
0.0699903,0.9300097,2022-07-18
0.07722173,0.92277825,2022-07-19
0.31242758,0.6875724,2022-07-20
0.17789994,0.82210004,2022-07-21
0.14556801,0.854432,2022-07-22
0.18108691,0.8189131,2022-07-25
0.2586137,0.7413863,2022-07-26
0.20883925,0.79116076,2022-07-27
0.37333792,0.6266621,2022-07-28
0.5742741,0.42572585,2022-07-29
