cash,AMD,GOOG,KO,TSM,WMT,date
1.0,0.0,0.0,0.0,0.0,0.0,2023-03-27
0.4431268,0.14940953,0.007999738,0.034548223,0.2986675,0.066248216,2023-03-28
0.36535242,0.17242698,0.020755906,0.028834231,0.34649268,0.06613778,2023-03-29
0.31689125,0.27131447,0.06890448,0.05190883,0.18193567,0.10904529,2023-03-30
0.36994377,0.25610977,0.021394666,0.048427764,0.25350675,0.050617266,2023-03-31
0.2526552,0.06778878,0.18644658,0.09368846,0.15270457,0.24671642,2023-04-03
0.49719042,0.09550482,0.088142365,0.04899056,0.10816548,0.16200636,2023-04-04
0.2459733,0.08481629,0.14183395,0.06332607,0.12795416,0.33609626,2023-04-05
0.40852973,0.16539945,0.029758884,0.09604033,0.18900299,0.11126863,2023-04-06
0.39020643,0.08705787,0.14916863,0.07964764,0.16212156,0.13179785,2023-04-10
0.2992466,0.19264163,0.0078270305,0.07766776,0.38324994,0.03936702,2023-04-11
0.043213043,0.116510004,0.019853847,0.084791794,0.67149234,0.064138964,2023-04-12
0.32882893,0.2993575,0.008240643,0.029114174,0.3011736,0.03328517,2023-04-13
0.34209266,0.15157795,0.04379219,0.0700538,0.2779179,0.11456553,2023-04-14
0.2987649,0.20361583,0.091286615,0.0606065,0.23984997,0.10587618,2023-04-17
0.3206618,0.23464341,0.055492952,0.08766516,0.23965663,0.06188002,2023-04-18
0.2959152,0.25941288,0.056946997,0.06034859,0.2598708,0.06750554,2023-04-19
0.36821285,0.18252411,0.009992703,0.08251489,0.32142672,0.035328723,2023-04-20
0.22054806,0.13533169,0.023416705,0.16846174,0.38179815,0.07044366,2023-04-21
0.13129646,0.2616884,0.026443725,0.114776134,0.4238118,0.04198349,2023-04-24
0.23984355,0.14134446,0.033616774,0.10685726,0.36130047,0.117037475,2023-04-25
0.16277406,0.1842838,0.07527859,0.13513063,0.34936747,0.09316545,2023-04-26
0.15643732,0.11893968,0.052826017,0.14412378,0.4582483,0.06942492,2023-04-27
0.16443291,0.080428176,0.06417953,0.11568278,0.43599644,0.13928014,2023-04-28
0.0816634,0.31271204,0.05606005,0.0512073,0.4023479,0.09600932,2023-05-01
0.40849876,0.12370525,0.04138321,0.058344573,0.2723825,0.09568571,2023-05-02
0.42217338,0.19759162,0.019867571,0.03988793,0.23547874,0.08500074,2023-05-03
0.26314008,0.057484176,0.080112025,0.1027029,0.28709865,0.2094622,2023-05-04
0.19430457,0.13369305,0.026050128,0.0808611,0.47663918,0.08845197,2023-05-05
0.28028893,0.11671936,0.019906793,0.106197864,0.37116355,0.10572349,2023-05-08
0.33878753,0.15888803,0.054635603,0.07234835,0.23380443,0.14153606,2023-05-09
0.5380685,0.108121134,0.034649495,0.0533709,0.16195233,0.10383763,2023-05-10
0.22579935,0.08964735,0.24150637,0.066520765,0.0857639,0.29076228,2023-05-11
0.18990308,0.031914406,0.11521061,0.16437219,0.17592236,0.32267737,2023-05-12
0.12803394,0.03677151,0.1655754,0.08535174,0.20280868,0.38145876,2023-05-15
0.07968724,0.057286814,0.1257708,0.111423306,0.34159613,0.28423572,2023-05-16
0.13009034,0.12448412,0.20765676,0.068038896,0.24938785,0.22034204,2023-05-17
0.0679823,0.04492554,0.22361372,0.12617543,0.2625522,0.2747508,2023-05-18
0.046242908,0.13226324,0.26203805,0.10227161,0.20861861,0.2485656,2023-05-19
0.061059687,0.13248067,0.2953232,0.056398027,0.14707765,0.3076608,2023-05-22
0.059665337,0.086920395,0.22881654,0.071858436,0.31738845,0.23535083,2023-05-23
0.09078382,0.22091115,0.039832033,0.042363033,0.47940943,0.12670055,2023-05-24
0.0704123,0.3059489,0.025458429,0.044856448,0.43577403,0.11754988,2023-05-25
0.07346603,0.050515857,0.10785168,0.19539565,0.2440699,0.32870087,2023-05-26
0.18578407,0.08233491,0.08783482,0.083797246,0.26466918,0.2955798,2023-05-30
0.24975066,0.12631135,0.18113379,0.041661214,0.09078097,0.310362,2023-05-31
0.28667125,0.10946801,0.14324716,0.059730098,0.095201485,0.305682,2023-06-01
0.21814789,0.07874627,0.1681251,0.07411557,0.12945981,0.33140537,2023-06-02
0.20060888,0.112843774,0.097585455,0.06985086,0.119343825,0.39976722,2023-06-05
0.26786023,0.122129306,0.14023523,0.06690263,0.1544438,0.2484288,2023-06-06
0.14922903,0.18214911,0.079302974,0.0924616,0.2862905,0.21056676,2023-06-07
0.28384924,0.13414486,0.21297106,0.03676275,0.0683866,0.2638855,2023-06-08
0.396363,0.16712007,0.07158616,0.05960073,0.15628123,0.14904882,2023-06-09
0.4714595,0.11275987,0.04406136,0.06470096,0.112015374,0.19500291,2023-06-12
0.4770277,0.07424681,0.08731756,0.07330879,0.0796723,0.20842682,2023-06-13
0.49359572,0.19583283,0.02351197,0.03482188,0.16617419,0.08606342,2023-06-14
0.29305696,0.1312873,0.120154746,0.07094317,0.12067649,0.26388133,2023-06-15
0.45632535,0.06413968,0.039384022,0.046957534,0.16915122,0.2240422,2023-06-16
0.10643198,0.09411305,0.2643491,0.038355406,0.08830168,0.4084488,2023-06-20
0.213568,0.18798858,0.06574112,0.0482995,0.29560396,0.18879884,2023-06-21
0.4326734,0.1446418,0.049493726,0.039231185,0.20886683,0.12509307,2023-06-22
0.263843,0.0632051,0.13963449,0.0670012,0.1636619,0.30265433,2023-06-23
0.09495394,0.2243953,0.2864883,0.054822218,0.13083291,0.20850734,2023-06-26
0.56297964,0.08969426,0.024736406,0.051482953,0.18907513,0.08203164,2023-06-27
0.3520062,0.10961052,0.14990367,0.08885887,0.09560447,0.20401625,2023-06-28
0.47726786,0.059915274,0.10560228,0.060298726,0.09293366,0.20398219,2023-06-29
0.119468465,0.13510768,0.47530204,0.043403514,0.057231817,0.16948646,2023-06-30
0.23796722,0.1844873,0.23325564,0.1548979,0.058067556,0.1313244,2023-07-03
0.59304506,0.082157694,0.06530404,0.08604441,0.08748375,0.08596505,2023-07-05
0.31268477,0.08901794,0.260998,0.048110556,0.06936896,0.21981978,2023-07-06
0.30636552,0.13434684,0.100797094,0.06443669,0.25499484,0.13905899,2023-07-07
0.028305255,0.07209902,0.652973,0.046297345,0.07907132,0.121254064,2023-07-10
0.20659246,0.29728618,0.14174525,0.061002094,0.14761972,0.14575428,2023-07-11
0.22038123,0.121702105,0.20895132,0.044260573,0.20504887,0.19965589,2023-07-12
0.10997298,0.10729151,0.24110124,0.082278654,0.13252547,0.32683012,2023-07-13
0.116664514,0.02678153,0.3816322,0.07232253,0.050187767,0.35241145,2023-07-14
0.47589752,0.08181978,0.06243112,0.052999612,0.12431374,0.20253822,2023-07-17
0.43878388,0.08966463,0.046007287,0.08893809,0.23776758,0.09883852,2023-07-18
0.29148915,0.17708524,0.025535261,0.064701244,0.37017837,0.07101073,2023-07-19
0.27148393,0.24145412,0.07281589,0.04221735,0.16202241,0.21000628,2023-07-20
0.5470127,0.12037945,0.011287658,0.10230022,0.19040257,0.028617445,2023-07-21
0.34578142,0.15731914,0.03112653,0.15018427,0.27394953,0.04163911,2023-07-24
0.3049175,0.07950075,0.025901647,0.10869054,0.43150294,0.049486592,2023-07-25
0.0828052,0.07580102,0.12010804,0.10758924,0.4564641,0.15723239,2023-07-26
0.12650712,0.06356177,0.074819095,0.10017666,0.38459256,0.2503428,2023-07-27
0.13860089,0.07750259,0.1484699,0.0856699,0.36733845,0.1824183,2023-07-28
0.17553344,0.022570174,0.16184713,0.13537773,0.20287454,0.30179697,2023-07-31
0.13734584,0.06023878,0.10280027,0.10497051,0.3390776,0.255567,2023-08-01
0.32737264,0.10656093,0.035878237,0.059759162,0.35414076,0.11628828,2023-08-02
0.5534184,0.11683395,0.05093388,0.053961664,0.13760483,0.08724725,2023-08-03
0.3670097,0.082711965,0.017474212,0.07229437,0.37959522,0.08091452,2023-08-04
0.31084475,0.07813045,0.13005608,0.09345169,0.15311855,0.23439847,2023-08-07
0.39697087,0.12316662,0.08954278,0.06600307,0.14872633,0.17559035,2023-08-08
0.39626572,0.064183585,0.093612276,0.060990043,0.1483296,0.2366188,2023-08-09
0.5107356,0.056970138,0.057001546,0.053337283,0.11647244,0.20548303,2023-08-10
0.34483084,0.03863182,0.13314383,0.09253192,0.17975779,0.2111038,2023-08-11
0.47787738,0.059143767,0.02332463,0.077935226,0.27329218,0.088426836,2023-08-14
0.11676839,0.05184934,0.13532779,0.09735446,0.31472722,0.2839728,2023-08-15
0.37529987,0.052931596,0.06401244,0.07537027,0.20889586,0.22348998,2023-08-16
0.19724986,0.07774924,0.12557063,0.08489992,0.21907033,0.29546002,2023-08-17
0.07191357,0.060682572,0.42729434,0.10610801,0.17956904,0.15443249,2023-08-18
0.22489202,0.09958104,0.08383646,0.27966797,0.2289708,0.08305172,2023-08-21
0.17855175,0.03219204,0.1943568,0.21640423,0.18176721,0.19672798,2023-08-22
0.2863276,0.10678288,0.26239622,0.0647224,0.122833915,0.15693702,2023-08-23
0.09588331,0.05679699,0.30261993,0.20660405,0.17368686,0.16440886,2023-08-24
0.35269663,0.0896338,0.07638588,0.08996025,0.25286594,0.13845749,2023-08-25
0.4435231,0.02403835,0.015166867,0.11661073,0.32789978,0.07276117,2023-08-28
0.36146048,0.037091088,0.15140732,0.096740976,0.17676261,0.17653753,2023-08-29
0.12690073,0.04310915,0.28737834,0.13257259,0.20990384,0.20013535,2023-08-30
0.11608107,0.11586491,0.28019282,0.0632032,0.21558128,0.20907672,2023-08-31
0.12061176,0.05726777,0.2875683,0.109576344,0.18432333,0.24065247,2023-09-01
0.14826402,0.16614363,0.19432724,0.075200915,0.21710841,0.1989558,2023-09-05
0.21079531,0.19516076,0.10781735,0.05697553,0.25839347,0.17085756,2023-09-06
0.24780113,0.27919552,0.050321393,0.052836064,0.2914115,0.07843442,2023-09-07
0.091286756,0.16057299,0.13789715,0.1760541,0.36709464,0.06709434,2023-09-08
0.13032493,0.22167884,0.1245317,0.05545785,0.39657897,0.07142771,2023-09-11
0.1501957,0.25611526,0.05555243,0.05063334,0.40904891,0.07845434,2023-09-12
0.08136047,0.2856068,0.05774432,0.06208345,0.45354974,0.05965524,2023-09-13
0.0743375,0.16696775,0.2921053,0.04817506,0.29294828,0.12546614,2023-09-14
0.11877899,0.06334122,0.4120032,0.050386015,0.08983422,0.26565635,2023-09-15
0.14802533,0.15348956,0.120725475,0.14646739,0.29170728,0.13958497,2023-09-18
0.17463379,0.19778968,0.119023,0.080847785,0.3467276,0.080978125,2023-09-19
0.18615977,0.14228497,0.16470547,0.1342064,0.17787285,0.19477053,2023-09-20
0.3860137,0.18461834,0.105950885,0.056034286,0.15379931,0.11358352,2023-09-21
0.1120826,0.2573316,0.36073226,0.086165324,0.1225157,0.061172508,2023-09-22
0.24737798,0.26953012,0.09172349,0.10658478,0.24743097,0.03735267,2023-09-25
0.22827157,0.17760514,0.122519776,0.27521405,0.1444192,0.051970262,2023-09-26
0.16483812,0.15086646,0.41115555,0.096069545,0.04297354,0.13409677,2023-09-27
0.16836849,0.11937908,0.3646299,0.120476134,0.0934894,0.13365702,2023-09-28
0.28345826,0.22604124,0.09534999,0.07981994,0.17699654,0.13833402,2023-09-29
0.13366197,0.042580817,0.3801008,0.09727322,0.122676015,0.2237072,2023-10-02
0.10841082,0.024298616,0.49672234,0.05491594,0.029433135,0.28621915,2023-10-03
0.3059901,0.066270225,0.10330646,0.09121541,0.28281292,0.15040487,2023-10-04
0.12194767,0.045940287,0.23353818,0.13704577,0.27270895,0.18881916,2023-10-05
0.06348845,0.056360137,0.58673024,0.058957376,0.11298436,0.12147943,2023-10-06
0.044537462,0.084183745,0.30821005,0.08712595,0.2710854,0.2048574,2023-10-09
0.024196591,0.04595438,0.69553995,0.034786407,0.079871625,0.11965101,2023-10-10
0.12244862,0.08130188,0.22207996,0.09581392,0.25771767,0.22063793,2023-10-11
0.07109799,0.05197925,0.5646661,0.06181164,0.10872051,0.14172454,2023-10-12
0.113789394,0.12634441,0.36691648,0.07251949,0.21831067,0.10211954,2023-10-13
0.10166317,0.09805825,0.4120597,0.08506139,0.19763425,0.10552322,2023-10-16
0.10863696,0.06424361,0.20842737,0.21216702,0.27831236,0.12821268,2023-10-17
0.20428485,0.048895106,0.10907226,0.1834876,0.31367958,0.14058062,2023-10-18
0.24060214,0.08165118,0.1454023,0.22877058,0.15088595,0.15268783,2023-10-19
0.15141019,0.039669115,0.08305112,0.31230897,0.24080703,0.17275357,2023-10-20
0.23967165,0.07326052,0.15813406,0.17768356,0.20900485,0.14224535,2023-10-23
0.1468079,0.0454095,0.42149734,0.0922023,0.05506358,0.23901938,2023-10-24
0.1464946,0.09651668,0.19794378,0.11393541,0.08422596,0.36088356,2023-10-25
0.46492326,0.20767936,0.0554008,0.09661858,0.13568361,0.039694387,2023-10-26
0.29290307,0.3286401,0.12437432,0.079566434,0.084879,0.08963707,2023-10-27
0.38711995,0.27057427,0.017514775,0.12961565,0.15883172,0.036343634,2023-10-30
0.47790095,0.15749249,0.026019912,0.12778813,0.124689065,0.08610945,2023-10-31
0.4280571,0.12373503,0.0133686615,0.10937919,0.24195276,0.08350727,2023-11-01
0.20871189,0.19451635,0.029089276,0.10940954,0.32005188,0.13822106,2023-11-02
0.55061734,0.16120216,0.019169742,0.07120156,0.08160449,0.11620469,2023-11-03
0.3329688,0.09587607,0.053217664,0.09819763,0.23726536,0.18247448,2023-11-06
0.48774892,0.07560883,0.032244306,0.059372086,0.14155392,0.20347194,2023-11-07
0.38720894,0.11780398,0.07808883,0.065543756,0.17653894,0.17481557,2023-11-08
0.11063279,0.12867302,0.11806962,0.051786743,0.28753915,0.30329868,2023-11-09
0.23523676,0.14957348,0.0599679,0.04869786,0.20358174,0.30294228,2023-11-10
0.16446349,0.11452057,0.022393724,0.14970857,0.37299082,0.17592281,2023-11-13
0.39536703,0.092175245,0.029947897,0.04883051,0.17020231,0.263477,2023-11-14
0.110882655,0.13420007,0.100980744,0.07183288,0.1279147,0.45418894,2023-11-15
0.3858485,0.10942176,0.07543279,0.05663328,0.15107037,0.2215933,2023-11-16
0.051075008,0.05107523,0.37818012,0.03924772,0.07296451,0.4074574,2023-11-17
0.12799706,0.144712,0.18544504,0.05412756,0.10416621,0.38355213,2023-11-20
0.12414774,0.17716433,0.19179267,0.04237578,0.071346216,0.39317325,2023-11-21
0.040856846,0.29382148,0.12294653,0.07304896,0.22824277,0.24108343,2023-11-22
0.38522455,0.11816774,0.038155816,0.061130155,0.29686323,0.1004585,2023-11-24
0.3844446,0.20599346,0.08024712,0.05700732,0.09742444,0.17488307,2023-11-27
0.3040341,0.33585215,0.06659011,0.046706527,0.14741439,0.09940273,2023-11-28
0.17238268,0.39444044,0.09505669,0.048134167,0.13130376,0.15868227,2023-11-29
0.08169994,0.156593,0.3269521,0.04501976,0.06871172,0.3210235,2023-11-30
0.22570503,0.2961617,0.1020148,0.041647725,0.13057308,0.20389764,2023-12-01
0.07252319,0.26653427,0.36338547,0.04223415,0.048491724,0.2068312,2023-12-04
0.26745,0.20417005,0.22465827,0.05332409,0.054746818,0.19565079,2023-12-05
0.258435,0.114767,0.14060201,0.078656755,0.046602927,0.36093628,2023-12-06
0.27987102,0.117074676,0.17623721,0.048817288,0.07149972,0.3065001,2023-12-07
0.10567729,0.19411296,0.28540275,0.078187495,0.11002953,0.22658998,2023-12-08
0.1529062,0.13237773,0.1856437,0.05354854,0.05187501,0.42364883,2023-12-11
0.3811029,0.13991807,0.093054764,0.051014733,0.08665829,0.24825123,2023-12-12
0.48302191,0.2313975,0.029050652,0.028538365,0.14247508,0.08551649,2023-12-13
0.6106978,0.1393178,0.023209168,0.06572875,0.050847735,0.11019872,2023-12-14
