cash,TSM,date
1.0,0.0,2021-11-26
0.20579562,0.79420435,2021-11-29
0.24357724,0.75642276,2021-11-30
0.31467944,0.68532056,2021-12-01
0.8486143,0.15138571,2021-12-02
0.86349565,0.13650437,2021-12-03
0.78558165,0.21441837,2021-12-06
0.85159343,0.14840658,2021-12-07
0.93422157,0.06577843,2021-12-08
0.664906,0.33509395,2021-12-09
0.23827854,0.76172143,2021-12-10
0.33167,0.66833,2021-12-13
0.117142476,0.8828575,2021-12-14
0.14462884,0.8553712,2021-12-15
0.82253575,0.17746425,2021-12-16
0.16979983,0.8302002,2021-12-17
0.07733958,0.9226604,2021-12-20
0.101077236,0.89892274,2021-12-21
0.34394625,0.6560538,2021-12-22
0.9048277,0.09517228,2021-12-23
0.3382613,0.6617387,2021-12-27
0.56541365,0.43458635,2021-12-28
0.17808644,0.82191354,2021-12-29
0.19613583,0.8038642,2021-12-30
0.14118083,0.8588192,2021-12-31
0.1688884,0.8311116,2022-01-03
0.8705828,0.12941718,2022-01-04
0.6581164,0.34188363,2022-01-05
0.1845816,0.8154184,2022-01-06
0.35488454,0.64511544,2022-01-07
0.1122137,0.88778627,2022-01-10
0.06081887,0.93918115,2022-01-11
0.26201296,0.73798704,2022-01-12
0.16906802,0.83093196,2022-01-13
0.3138406,0.6861594,2022-01-14
0.7506852,0.24931481,2022-01-18
0.1793269,0.8206731,2022-01-19
0.1847277,0.8152723,2022-01-20
0.10403048,0.8959695,2022-01-21
0.07291056,0.92708945,2022-01-24
0.26731208,0.73268795,2022-01-25
0.07779106,0.92220896,2022-01-26
0.1086753,0.8913247,2022-01-27
0.09634344,0.90365654,2022-01-28
0.22464716,0.77535284,2022-01-31
0.5169207,0.4830793,2022-02-01
0.24899976,0.7510002,2022-02-02
0.24650511,0.75349486,2022-02-03
0.24068856,0.75931144,2022-02-04
0.3115822,0.6884178,2022-02-07
0.19137533,0.8086247,2022-02-08
0.2061981,0.7938019,2022-02-09
0.20925003,0.79074997,2022-02-10
0.43244496,0.567555,2022-02-11
0.2123934,0.7876066,2022-02-14
0.25305313,0.7469469,2022-02-15
0.47459912,0.5254009,2022-02-16
0.2663852,0.7336148,2022-02-17
0.10850664,0.8914934,2022-02-18
0.111010216,0.8889898,2022-02-22
0.21270621,0.7872938,2022-02-23
0.13211648,0.8678835,2022-02-24
0.35865137,0.6413486,2022-02-25
0.109110616,0.8908894,2022-02-28
0.08147689,0.91852313,2022-03-01
0.11242396,0.88757604,2022-03-02
0.15359943,0.84640056,2022-03-03
0.09800856,0.9019914,2022-03-04
0.100859106,0.8991409,2022-03-07
0.10156406,0.89843595,2022-03-08
0.20388874,0.7961113,2022-03-09
0.3724928,0.6275072,2022-03-10
0.14656033,0.8534397,2022-03-11
0.08572345,0.91427654,2022-03-14
0.11487415,0.8851259,2022-03-15
0.94891155,0.051088475,2022-03-16
0.87243766,0.12756234,2022-03-17
0.5261888,0.47381124,2022-03-18
0.7004001,0.2995999,2022-03-21
0.77925146,0.22074856,2022-03-22
0.61401814,0.38598183,2022-03-23
0.31981626,0.68018377,2022-03-24
0.6745412,0.32545882,2022-03-25
0.28772718,0.7122728,2022-03-28
0.38542286,0.6145772,2022-03-29
0.67657954,0.32342046,2022-03-30
0.19905187,0.80094814,2022-03-31
0.10872256,0.89127743,2022-04-01
0.13561305,0.8643869,2022-04-04
0.5182338,0.4817662,2022-04-05
0.14806455,0.85193545,2022-04-06
0.26622397,0.73377603,2022-04-07
0.30733508,0.6926649,2022-04-08
0.13714033,0.86285967,2022-04-11
0.085669115,0.9143309,2022-04-12
0.119261764,0.88073826,2022-04-13
0.73906994,0.2609301,2022-04-14
0.20908512,0.7909149,2022-04-18
0.35061255,0.6493874,2022-04-19
0.38387045,0.6161296,2022-04-20
0.29901356,0.70098644,2022-04-21
0.15405451,0.8459455,2022-04-22
0.14704192,0.8529581,2022-04-25
0.19341089,0.8065891,2022-04-26
0.089354925,0.91064507,2022-04-27
0.0722435,0.9277565,2022-04-28
0.8490724,0.15092757,2022-04-29
0.16298807,0.83701193,2022-05-02
0.370979,0.629021,2022-05-03
0.19359206,0.8064079,2022-05-04
0.8928839,0.10711613,2022-05-05
0.13363352,0.8663665,2022-05-06
0.21291609,0.7870839,2022-05-09
0.12565407,0.8743459,2022-05-10
0.081416465,0.9185835,2022-05-11
0.08701154,0.9129885,2022-05-12
0.25337857,0.74662143,2022-05-13
0.815235,0.18476495,2022-05-16
0.42707112,0.57292885,2022-05-17
0.32488304,0.67511696,2022-05-18
0.22233547,0.77766454,2022-05-19
0.37323928,0.6267607,2022-05-20
0.29650363,0.7034964,2022-05-23
0.15870555,0.84129447,2022-05-24
0.040540893,0.9594591,2022-05-25
0.20190774,0.79809225,2022-05-26
0.4047298,0.59527016,2022-05-27
0.50427777,0.4957222,2022-05-31
0.3282112,0.6717888,2022-06-01
0.43586418,0.56413585,2022-06-02
0.8530626,0.14693739,2022-06-03
0.15842964,0.8415704,2022-06-06
0.10073095,0.89926904,2022-06-07
0.30265445,0.69734555,2022-06-08
0.11563931,0.8843607,2022-06-09
0.07539639,0.92460364,2022-06-10
0.0802606,0.9197394,2022-06-13
0.08807121,0.9119288,2022-06-14
0.20112239,0.7988776,2022-06-15
0.63046795,0.36953205,2022-06-16
0.0837873,0.9162127,2022-06-17
0.08802409,0.9119759,2022-06-21
0.34329417,0.65670586,2022-06-22
0.16470551,0.8352945,2022-06-23
0.09831695,0.90168303,2022-06-24
0.50440073,0.49559927,2022-06-27
0.07017647,0.9298235,2022-06-28
0.08878611,0.9112139,2022-06-29
0.07073859,0.9292614,2022-06-30
0.101118416,0.89888155,2022-07-01
0.078820884,0.9211791,2022-07-05
0.18356223,0.8164378,2022-07-06
0.30785224,0.6921478,2022-07-07
0.7681083,0.23189169,2022-07-08
0.55145043,0.4485496,2022-07-11
0.06320125,0.93679875,2022-07-12
0.17935109,0.8206489,2022-07-13
0.86020166,0.13979837,2022-07-14
0.69180596,0.30819404,2022-07-15
0.30418897,0.69581103,2022-07-18
0.17171226,0.8282877,2022-07-19
0.38510075,0.6148992,2022-07-20
0.26219746,0.73780257,2022-07-21
0.34861505,0.65138495,2022-07-22
0.14217164,0.8578284,2022-07-25
0.13992032,0.86007965,2022-07-26
0.08183495,0.918165,2022-07-27
0.4644647,0.53553534,2022-07-28
0.29808217,0.7019178,2022-07-29
0.19853857,0.80146146,2022-08-01
0.17943464,0.82056534,2022-08-02
0.80731565,0.19268434,2022-08-03
0.4153464,0.5846536,2022-08-04
0.4610631,0.5389369,2022-08-05
0.6723277,0.32767227,2022-08-08
0.2146824,0.7853176,2022-08-09
0.105345376,0.89465463,2022-08-10
0.66412634,0.3358737,2022-08-11
0.19846329,0.8015367,2022-08-12
0.2621026,0.7378974,2022-08-15
0.29581648,0.7041835,2022-08-16
0.25884545,0.74115455,2022-08-17
0.062461626,0.9375384,2022-08-18
0.07471251,0.9252875,2022-08-19
0.0659127,0.9340873,2022-08-22
0.061978858,0.9380211,2022-08-23
0.1973054,0.8026946,2022-08-24
0.18709537,0.81290466,2022-08-25
0.36683804,0.63316196,2022-08-26
0.17882687,0.82117313,2022-08-29
0.13961466,0.86038536,2022-08-30
0.21289428,0.78710574,2022-08-31
0.1999028,0.8000972,2022-09-01
0.14345525,0.85654473,2022-09-02
0.18019034,0.8198097,2022-09-06
0.09094611,0.90905386,2022-09-07
0.23927365,0.76072633,2022-09-08
0.31442714,0.68557286,2022-09-09
0.2738472,0.72615284,2022-09-12
0.2741779,0.7258221,2022-09-13
0.15625678,0.8437432,2022-09-14
0.113785736,0.88621426,2022-09-15
0.07781645,0.9221836,2022-09-16
0.103820756,0.89617926,2022-09-19
0.24231823,0.7576818,2022-09-20
0.09981679,0.9001832,2022-09-21
0.108533226,0.8914668,2022-09-22
0.06567937,0.9343206,2022-09-23
0.07484306,0.92515695,2022-09-26
0.08286895,0.91713107,2022-09-27
0.15249772,0.8475023,2022-09-28
0.3205552,0.6794448,2022-09-29
0.24790688,0.75209314,2022-09-30
0.70852643,0.29147357,2022-10-03
0.8278145,0.17218545,2022-10-04
0.9320843,0.067915656,2022-10-05
0.90480375,0.09519627,2022-10-06
0.65039396,0.34960604,2022-10-07
0.15840392,0.84159607,2022-10-10
0.12439392,0.87560606,2022-10-11
0.10695016,0.89304984,2022-10-12
0.09771389,0.9022861,2022-10-13
0.9604681,0.0395319,2022-10-14
0.06867153,0.9313285,2022-10-17
0.054323647,0.9456763,2022-10-18
0.14940831,0.85059166,2022-10-19
0.35696325,0.6430367,2022-10-20
0.15275924,0.84724075,2022-10-21
0.5028327,0.4971673,2022-10-24
0.17348585,0.8265141,2022-10-25
0.20000291,0.7999971,2022-10-26
