cash,WMT,date
1.0,0.0,2023-03-16
0.26429656,0.7357034,2023-03-17
0.4182121,0.5817879,2023-03-20
0.10572402,0.89427596,2023-03-21
0.05777219,0.94222784,2023-03-22
0.2719035,0.7280965,2023-03-23
0.6842427,0.31575727,2023-03-24
0.75453573,0.24546428,2023-03-27
0.54248065,0.45751932,2023-03-28
0.48182088,0.5181791,2023-03-29
0.51116395,0.48883605,2023-03-30
0.8881866,0.11181344,2023-03-31
0.85408944,0.14591053,2023-04-03
0.732537,0.26746303,2023-04-04
0.6324622,0.36753777,2023-04-05
0.7646549,0.23534514,2023-04-06
0.709011,0.29098898,2023-04-10
0.7191499,0.28085014,2023-04-11
0.72246474,0.2775353,2023-04-12
0.69979054,0.3002095,2023-04-13
0.84444857,0.15555145,2023-04-14
0.77871084,0.22128914,2023-04-17
0.8557775,0.1442225,2023-04-18
0.87033975,0.12966023,2023-04-19
0.6909258,0.30907425,2023-04-20
0.3867686,0.6132314,2023-04-21
0.38143075,0.61856925,2023-04-24
0.50476164,0.49523836,2023-04-25
0.30569527,0.69430476,2023-04-26
0.71013874,0.28986126,2023-04-27
0.82512987,0.17487012,2023-04-28
0.7451092,0.2548908,2023-05-01
0.87313074,0.12686925,2023-05-02
0.8685296,0.13147037,2023-05-03
0.9759526,0.024047371,2023-05-04
0.91288966,0.087110355,2023-05-05
0.8309209,0.1690791,2023-05-08
0.7793909,0.2206091,2023-05-09
0.77947325,0.22052675,2023-05-10
0.60519606,0.3948039,2023-05-11
0.8360894,0.16391063,2023-05-12
0.3241561,0.6758439,2023-05-15
0.18600328,0.81399673,2023-05-16
0.38107404,0.6189259,2023-05-17
0.6888367,0.31116328,2023-05-18
0.67763543,0.32236454,2023-05-19
0.17441507,0.82558495,2023-05-22
0.10475379,0.8952462,2023-05-23
0.13679509,0.8632049,2023-05-24
0.10086748,0.89913255,2023-05-25
0.07760704,0.92239296,2023-05-26
0.123199135,0.8768009,2023-05-30
0.06666647,0.9333335,2023-05-31
0.19274281,0.8072572,2023-06-01
0.3461985,0.6538015,2023-06-02
0.2919043,0.70809567,2023-06-05
0.69505924,0.30494076,2023-06-06
