cash,AMD,date
1.0,0.0,2022-12-07
0.46617955,0.53382045,2022-12-08
0.41015676,0.5898433,2022-12-09
0.4095573,0.5904427,2022-12-12
0.41033205,0.589668,2022-12-13
0.38848487,0.61151516,2022-12-14
0.40118778,0.5988122,2022-12-15
0.48025435,0.51974565,2022-12-16
0.527715,0.47228497,2022-12-19
0.39054358,0.6094564,2022-12-20
0.37026086,0.6297391,2022-12-21
0.38087022,0.6191298,2022-12-22
0.3909628,0.6090372,2022-12-23
0.35449755,0.64550245,2022-12-27
0.2982068,0.7017932,2022-12-28
0.31812367,0.6818763,2022-12-29
0.3635395,0.63646054,2022-12-30
0.3350135,0.6649865,2023-01-03
0.27629825,0.7237017,2023-01-04
0.38092968,0.61907035,2023-01-05
0.4107241,0.5892759,2023-01-06
0.54160756,0.4583924,2023-01-09
0.64508134,0.35491866,2023-01-10
0.45221192,0.5477881,2023-01-11
0.44188812,0.55811185,2023-01-12
0.6045155,0.3954845,2023-01-13
0.53225076,0.46774927,2023-01-17
0.4592773,0.54072267,2023-01-18
0.37879932,0.6212007,2023-01-19
0.4789586,0.5210414,2023-01-20
0.47648242,0.5235176,2023-01-23
0.63458,0.36541998,2023-01-24
0.6503804,0.3496196,2023-01-25
0.4891527,0.51084733,2023-01-26
0.5971128,0.40288723,2023-01-27
0.64340377,0.35659626,2023-01-30
0.47388875,0.52611125,2023-01-31
0.696701,0.303299,2023-02-01
0.6643179,0.33568212,2023-02-02
0.53490955,0.46509042,2023-02-03
0.56603175,0.43396825,2023-02-06
0.5422792,0.45772085,2023-02-07
0.6231032,0.3768968,2023-02-08
0.46380782,0.5361922,2023-02-09
0.27955896,0.72044104,2023-02-10
0.38754305,0.6124569,2023-02-13
0.3151957,0.6848043,2023-02-14
0.32128304,0.67871696,2023-02-15
0.33128187,0.6687181,2023-02-16
0.4046555,0.59534454,2023-02-17
0.40568468,0.5943153,2023-02-21
0.3700482,0.62995183,2023-02-22
0.41424763,0.58575237,2023-02-23
0.5411845,0.4588155,2023-02-24
0.4036147,0.5963853,2023-02-27
0.4620978,0.53790224,2023-02-28
0.37579313,0.62420684,2023-03-01
0.41528535,0.58471465,2023-03-02
0.52862614,0.4713739,2023-03-03
0.65597147,0.3440285,2023-03-06
0.652553,0.34744698,2023-03-07
0.69622123,0.3037788,2023-03-08
0.7528834,0.24711664,2023-03-09
0.674995,0.325005,2023-03-10
0.59555376,0.40444627,2023-03-13
0.4754536,0.5245464,2023-03-14
0.55365837,0.44634163,2023-03-15
0.6810926,0.3189074,2023-03-16
0.582417,0.41758302,2023-03-17
0.72365344,0.27634653,2023-03-20
0.67654526,0.32345474,2023-03-21
0.5915998,0.40840018,2023-03-22
0.65789205,0.34210798,2023-03-23
0.64223236,0.3577676,2023-03-24
0.47875214,0.52124786,2023-03-27
0.32012242,0.6798776,2023-03-28
0.2736346,0.7263654,2023-03-29
0.36123037,0.6387696,2023-03-30
0.42433125,0.57566875,2023-03-31
0.32213172,0.6778683,2023-04-03
0.310957,0.689043,2023-04-04
0.28952876,0.7104713,2023-04-05
0.29569262,0.7043074,2023-04-06
0.3492367,0.65076333,2023-04-10
0.33258575,0.66741425,2023-04-11
0.30300653,0.69699347,2023-04-12
0.32670856,0.67329144,2023-04-13
0.39847803,0.60152197,2023-04-14
0.31948975,0.6805102,2023-04-17
0.3781202,0.6218798,2023-04-18
0.39490762,0.60509235,2023-04-19
0.34715995,0.65284,2023-04-20
0.40630227,0.5936977,2023-04-21
0.35706952,0.6429305,2023-04-24
0.34071228,0.6592877,2023-04-25
0.5110175,0.48898247,2023-04-26
0.5755354,0.4244646,2023-04-27
0.61047447,0.38952553,2023-04-28
0.61546,0.38454002,2023-05-01
0.7701154,0.22988464,2023-05-02
0.83700985,0.16299017,2023-05-03
0.62712616,0.37287384,2023-05-04
0.51594114,0.48405886,2023-05-05
0.55932057,0.44067943,2023-05-08
0.5666407,0.43335935,2023-05-09
0.63875866,0.36124134,2023-05-10
0.7425594,0.2574406,2023-05-11
0.6309667,0.36903328,2023-05-12
0.48984548,0.51015455,2023-05-15
0.44684768,0.5531523,2023-05-16
0.5742243,0.42577574,2023-05-17
0.5255631,0.47443688,2023-05-18
0.5066098,0.49339017,2023-05-19
0.57682055,0.42317948,2023-05-22
0.41387472,0.58612525,2023-05-23
0.55019933,0.44980067,2023-05-24
0.46942008,0.5305799,2023-05-25
0.7167142,0.2832858,2023-05-26
0.572809,0.42719102,2023-05-30
0.5833093,0.4166907,2023-05-31
0.5164043,0.48359573,2023-06-01
0.466407,0.533593,2023-06-02
0.28441194,0.71558803,2023-06-05
0.27124953,0.72875047,2023-06-06
0.37497678,0.6250232,2023-06-07
0.3226365,0.6773635,2023-06-08
0.35587245,0.64412755,2023-06-09
0.6459851,0.35401487,2023-06-12
0.73487294,0.2651271,2023-06-13
0.3971173,0.60288274,2023-06-14
0.7457675,0.2542325,2023-06-15
0.6995423,0.30045772,2023-06-16
0.43855476,0.56144524,2023-06-20
0.27231663,0.72768337,2023-06-21
0.34529483,0.65470517,2023-06-22
0.35428864,0.64571136,2023-06-23
0.3877447,0.61225533,2023-06-26
0.31360924,0.68639076,2023-06-27
0.3370048,0.66299516,2023-06-28
0.38170373,0.61829627,2023-06-29
0.41682813,0.58317184,2023-06-30
0.48682287,0.5131771,2023-07-03
0.3362241,0.66377586,2023-07-05
0.31059393,0.6894061,2023-07-06
0.28645664,0.71354336,2023-07-07
0.3246691,0.6753309,2023-07-10
0.3401107,0.65988934,2023-07-11
0.39363804,0.6063619,2023-07-12
0.53346586,0.46653414,2023-07-13
0.4768228,0.5231772,2023-07-14
0.53933555,0.46066445,2023-07-17
0.5324037,0.46759632,2023-07-18
0.5980265,0.40197352,2023-07-19
0.4937253,0.5062747,2023-07-20
0.47665292,0.5233471,2023-07-21
0.6837814,0.31621858,2023-07-24
0.4161911,0.5838089,2023-07-25
0.40244693,0.5975531,2023-07-26
0.43790025,0.56209975,2023-07-27
0.6106952,0.38930482,2023-07-28
0.6643506,0.3356494,2023-07-31
0.6580592,0.34194082,2023-08-01
0.75624424,0.24375573,2023-08-02
0.32681763,0.67318237,2023-08-03
0.5684816,0.43151838,2023-08-04
0.67180383,0.3281962,2023-08-07
0.53315526,0.46684474,2023-08-08
0.3247986,0.6752014,2023-08-09
0.33780986,0.66219014,2023-08-10
0.34074482,0.65925515,2023-08-11
0.4081095,0.5918905,2023-08-14
0.3312681,0.66873187,2023-08-15
0.41949636,0.58050364,2023-08-16
0.360298,0.639702,2023-08-17
0.43520612,0.5647939,2023-08-18
0.42461476,0.5753853,2023-08-21
0.44711983,0.55288017,2023-08-22
0.2701739,0.7298261,2023-08-23
0.3722098,0.6277902,2023-08-24
0.2806126,0.7193874,2023-08-25
0.45877704,0.541223,2023-08-28
0.44574475,0.55425525,2023-08-29
0.37879127,0.6212087,2023-08-30
0.4331365,0.5668635,2023-08-31
0.5252562,0.47474375,2023-09-01
0.5446826,0.45531735,2023-09-05
0.6265332,0.37346682,2023-09-06
0.3692682,0.6307318,2023-09-07
0.4052764,0.5947236,2023-09-08
0.28333068,0.7166693,2023-09-11
0.30687824,0.6931218,2023-09-12
0.26574206,0.73425794,2023-09-13
0.32997897,0.670021,2023-09-14
0.35584962,0.6441504,2023-09-15
0.4425203,0.5574797,2023-09-18
0.41356513,0.5864349,2023-09-19
0.39004216,0.6099579,2023-09-20
0.45141813,0.5485819,2023-09-21
0.5110929,0.4889071,2023-09-22
0.49620086,0.50379914,2023-09-25
0.34342062,0.6565794,2023-09-26
0.32350495,0.6764951,2023-09-27
0.53285223,0.46714774,2023-09-28
0.67581975,0.32418028,2023-09-29
0.7164047,0.28359532,2023-10-02
0.5456368,0.4543632,2023-10-03
0.45755428,0.5424457,2023-10-04
0.5549549,0.4450451,2023-10-05
0.55014914,0.4498509,2023-10-06
0.6050409,0.39495912,2023-10-09
0.3520904,0.64790964,2023-10-10
0.60087085,0.39912915,2023-10-11
0.555518,0.44448203,2023-10-12
0.7071955,0.29280445,2023-10-13
0.50886464,0.4911354,2023-10-16
0.41667965,0.5833203,2023-10-17
0.32108375,0.6789163,2023-10-18
0.4212552,0.5787448,2023-10-19
0.4849687,0.51503134,2023-10-20
0.6458903,0.3541097,2023-10-23
0.4648458,0.53515416,2023-10-24
0.55121344,0.44878656,2023-10-25
0.37381288,0.62618715,2023-10-26
0.36275414,0.6372459,2023-10-27
0.53704244,0.46295756,2023-10-30
0.35717493,0.64282507,2023-10-31
0.6808054,0.31919464,2023-11-01
0.66727394,0.3327261,2023-11-02
0.71636134,0.28363866,2023-11-03
0.5985253,0.40147468,2023-11-06
0.5755873,0.42441273,2023-11-07
0.553479,0.44652098,2023-11-08
0.44702905,0.55297095,2023-11-09
0.60911363,0.3908864,2023-11-10
0.59277445,0.40722555,2023-11-13
0.45395505,0.54604495,2023-11-14
0.56419295,0.43580705,2023-11-15
0.56988376,0.43011624,2023-11-16
0.39392883,0.6060712,2023-11-17
0.35547322,0.6445268,2023-11-20
0.4517592,0.5482408,2023-11-21
0.35391352,0.64608645,2023-11-22
0.48327816,0.51672184,2023-11-24
0.27970353,0.7202965,2023-11-27
0.39574346,0.6042566,2023-11-28
0.41653207,0.58346796,2023-11-29
0.5216943,0.4783057,2023-11-30
0.44707215,0.55292785,2023-12-01
0.4521946,0.54780537,2023-12-04
0.43715698,0.562843,2023-12-05
0.51894736,0.4810526,2023-12-06
0.4571432,0.5428568,2023-12-07
0.65469825,0.34530178,2023-12-08
0.76813656,0.23186344,2023-12-11
0.71144843,0.28855157,2023-12-12
0.6891196,0.31088042,2023-12-13
0.7402299,0.2597701,2023-12-14
0.666538,0.33346197,2023-12-15
0.7271797,0.27282026,2023-12-18
0.5999019,0.4000981,2023-12-19
0.5661975,0.43380252,2023-12-20
0.48288348,0.5171165,2023-12-21
0.58754545,0.41245455,2023-12-22
0.42141983,0.57858014,2023-12-26
0.4742635,0.5257365,2023-12-27
