cash,GOOG,date
1.0,0.0,2023-03-27
0.7897689,0.21023111,2023-03-28
0.7492136,0.25078645,2023-03-29
0.696542,0.303458,2023-03-30
0.7183465,0.28165355,2023-03-31
0.16693959,0.83306044,2023-04-03
0.40441582,0.59558415,2023-04-04
0.7228003,0.2771997,2023-04-05
0.80049205,0.19950794,2023-04-06
0.08595535,0.9140447,2023-04-10
0.7501471,0.2498529,2023-04-11
0.7855543,0.21444571,2023-04-12
0.8068008,0.19319923,2023-04-13
0.3206484,0.6793516,2023-04-14
0.4187356,0.58126444,2023-04-17
0.2599281,0.7400719,2023-04-18
0.8287377,0.17126231,2023-04-19
0.6115396,0.38846043,2023-04-20
0.2873876,0.7126124,2023-04-21
0.71414447,0.2858555,2023-04-24
0.4958625,0.5041375,2023-04-25
0.4901791,0.5098209,2023-04-26
0.2653083,0.73469174,2023-04-27
0.08636876,0.91363126,2023-04-28
0.5442573,0.4557427,2023-05-01
0.70512,0.29487997,2023-05-02
0.77701426,0.22298574,2023-05-03
0.67662954,0.3233705,2023-05-04
0.7782163,0.22178367,2023-05-05
0.45979965,0.54020035,2023-05-08
0.32271856,0.67728144,2023-05-09
0.61125296,0.38874704,2023-05-10
0.08506064,0.91493934,2023-05-11
0.17598596,0.82401407,2023-05-12
0.37454998,0.62545,2023-05-15
0.4777267,0.5222733,2023-05-16
0.091613404,0.9083866,2023-05-17
0.30499443,0.69500554,2023-05-18
0.27499995,0.7250001,2023-05-19
0.4607473,0.5392527,2023-05-22
0.14969908,0.8503009,2023-05-23
0.70098674,0.29901326,2023-05-24
0.586671,0.413329,2023-05-25
0.37813574,0.62186426,2023-05-26
0.3256448,0.6743552,2023-05-30
0.7405152,0.25948483,2023-05-31
0.3006185,0.69938153,2023-06-01
0.50643504,0.493565,2023-06-02
0.6414046,0.3585954,2023-06-05
0.3081344,0.69186556,2023-06-06
0.58779424,0.41220576,2023-06-07
0.7006643,0.29933575,2023-06-08
0.6021533,0.39784667,2023-06-09
