cash,KO,date
1.0,0.0,2021-10-29
0.7451633,0.25483665,2021-11-01
0.63636243,0.3636376,2021-11-02
0.508188,0.49181196,2021-11-03
0.48705542,0.5129446,2021-11-04
0.5169208,0.4830792,2021-11-05
0.47802883,0.52197117,2021-11-08
0.15019424,0.8498058,2021-11-09
0.186747,0.813253,2021-11-10
0.23033412,0.7696659,2021-11-11
0.27114445,0.72885555,2021-11-12
0.12685317,0.87314683,2021-11-15
0.103735,0.89626503,2021-11-16
0.07915539,0.9208446,2021-11-17
0.060290117,0.9397099,2021-11-18
0.09401715,0.90598285,2021-11-19
0.09890017,0.90109986,2021-11-22
0.14543109,0.8545689,2021-11-23
0.1388368,0.8611632,2021-11-24
0.10451084,0.89548916,2021-11-26
0.12029588,0.8797041,2021-11-29
0.27124208,0.7287579,2021-11-30
0.1882544,0.8117456,2021-12-01
0.25217694,0.74782306,2021-12-02
0.21339825,0.7866017,2021-12-03
0.34074947,0.65925056,2021-12-06
0.7717279,0.2282721,2021-12-07
0.64877105,0.35122898,2021-12-08
0.5855985,0.4144015,2021-12-09
0.5484641,0.4515359,2021-12-10
0.7631583,0.23684166,2021-12-13
0.850337,0.14966294,2021-12-14
0.8205042,0.17949581,2021-12-15
0.7504832,0.24951676,2021-12-16
0.6998455,0.3001545,2021-12-17
0.33442548,0.6655745,2021-12-20
0.20713408,0.79286593,2021-12-21
0.24085027,0.75914973,2021-12-22
0.4618988,0.5381012,2021-12-23
0.41838363,0.5816164,2021-12-27
0.6112908,0.3887092,2021-12-28
0.6315352,0.36846483,2021-12-29
0.5669036,0.43309644,2021-12-30
0.40248546,0.5975145,2021-12-31
0.49583513,0.5041649,2022-01-03
0.3093437,0.6906563,2022-01-04
0.5558218,0.4441782,2022-01-05
0.63606423,0.36393574,2022-01-06
0.5158619,0.48413807,2022-01-07
0.35807413,0.6419259,2022-01-10
0.20157726,0.79842275,2022-01-11
0.13832116,0.86167884,2022-01-12
0.1327603,0.8672397,2022-01-13
0.20633629,0.79366374,2022-01-14
0.31245744,0.68754256,2022-01-18
0.14851022,0.8514898,2022-01-19
0.1284475,0.8715525,2022-01-20
0.11916682,0.88083315,2022-01-21
0.1316865,0.8683135,2022-01-24
0.18383493,0.8161651,2022-01-25
0.123955116,0.87604487,2022-01-26
0.10809153,0.89190847,2022-01-27
0.1393913,0.8606087,2022-01-28
0.31800556,0.68199444,2022-01-31
0.39161307,0.60838693,2022-02-01
0.22287077,0.77712923,2022-02-02
0.33861223,0.66138774,2022-02-03
0.48277512,0.51722485,2022-02-04
0.22869419,0.7713058,2022-02-07
0.3962596,0.6037404,2022-02-08
0.4749113,0.5250887,2022-02-09
0.18558256,0.8144174,2022-02-10
0.20705187,0.7929481,2022-02-11
0.13967408,0.86032593,2022-02-14
0.1788402,0.8211598,2022-02-15
0.19026643,0.80973357,2022-02-16
0.17962469,0.8203753,2022-02-17
0.48965356,0.5103464,2022-02-18
0.6237748,0.37622514,2022-02-22
0.5080132,0.49198678,2022-02-23
0.18684265,0.8131573,2022-02-24
0.16591254,0.8340875,2022-02-25
0.5229725,0.47702748,2022-02-28
0.31368792,0.6863121,2022-03-01
0.35338268,0.64661735,2022-03-02
0.38222027,0.61777973,2022-03-03
0.32306787,0.67693216,2022-03-04
0.36519414,0.63480586,2022-03-07
0.20577437,0.79422563,2022-03-08
0.22233589,0.7776641,2022-03-09
0.21656013,0.7834399,2022-03-10
0.180263,0.819737,2022-03-11
0.19791481,0.80208516,2022-03-14
0.1504854,0.8495146,2022-03-15
0.425071,0.574929,2022-03-16
0.3635366,0.6364634,2022-03-17
0.696319,0.30368105,2022-03-18
0.5210472,0.47895285,2022-03-21
0.72358495,0.27641505,2022-03-22
0.70216066,0.29783934,2022-03-23
0.5362421,0.46375784,2022-03-24
0.5975015,0.40249848,2022-03-25
0.64299375,0.35700625,2022-03-28
0.6942464,0.30575356,2022-03-29
0.64718676,0.35281324,2022-03-30
0.5632605,0.43673947,2022-03-31
0.3012385,0.69876146,2022-04-01
0.53481185,0.46518815,2022-04-04
0.3932593,0.6067407,2022-04-05
0.22825393,0.7717461,2022-04-06
0.2659648,0.7340352,2022-04-07
0.398411,0.60158896,2022-04-08
0.5474474,0.45255265,2022-04-11
0.4854795,0.51452047,2022-04-12
0.54890186,0.45109814,2022-04-13
0.6101947,0.3898053,2022-04-14
0.5515724,0.4484276,2022-04-18
0.27758393,0.7224161,2022-04-19
0.4175407,0.58245933,2022-04-20
0.52021617,0.47978383,2022-04-21
0.58447045,0.41552952,2022-04-22
0.1898393,0.8101607,2022-04-25
0.37073955,0.6292604,2022-04-26
0.15984128,0.8401587,2022-04-27
0.17441504,0.82558495,2022-04-28
0.28325418,0.7167458,2022-04-29
0.14605536,0.85394466,2022-05-02
0.19415106,0.80584896,2022-05-03
0.13476664,0.86523336,2022-05-04
0.26795167,0.73204833,2022-05-05
0.28449985,0.7155002,2022-05-06
0.34643394,0.65356606,2022-05-09
0.23281959,0.76718044,2022-05-10
0.15917674,0.84082323,2022-05-11
0.19659232,0.80340767,2022-05-12
0.2785115,0.72148854,2022-05-13
0.7154961,0.28450385,2022-05-16
0.7781258,0.22187416,2022-05-17
0.55832934,0.4416707,2022-05-18
0.27825364,0.7217463,2022-05-19
0.22371508,0.77628493,2022-05-20
0.25534683,0.74465317,2022-05-23
0.34135234,0.65864766,2022-05-24
0.66666067,0.3333393,2022-05-25
0.72339463,0.27660537,2022-05-26
0.70540196,0.294598,2022-05-27
0.66556734,0.3344327,2022-05-31
0.45984834,0.54015166,2022-06-01
0.33881533,0.66118467,2022-06-02
0.28232545,0.71767455,2022-06-03
0.107271835,0.89272815,2022-06-06
0.093488336,0.90651166,2022-06-07
0.09840971,0.9015903,2022-06-08
0.09496078,0.90503925,2022-06-09
0.121043414,0.8789566,2022-06-10
0.08855525,0.9114448,2022-06-13
0.15958166,0.84041834,2022-06-14
0.18745014,0.8125498,2022-06-15
0.17817457,0.82182544,2022-06-16
0.1133241,0.8866759,2022-06-17
0.2379964,0.7620036,2022-06-21
0.34380883,0.6561912,2022-06-22
0.6115155,0.38848448,2022-06-23
0.7511661,0.24883386,2022-06-24
0.8282478,0.1717522,2022-06-27
0.805602,0.19439799,2022-06-28
0.6130362,0.38696378,2022-06-29
0.6130076,0.38699237,2022-06-30
0.5168212,0.4831788,2022-07-01
0.72936136,0.2706386,2022-07-05
0.34555086,0.65444916,2022-07-06
0.37252712,0.6274729,2022-07-07
0.09251698,0.90748304,2022-07-08
0.1955326,0.8044674,2022-07-11
0.101887874,0.8981121,2022-07-12
0.076811194,0.9231888,2022-07-13
0.0625006,0.9374994,2022-07-14
0.070815854,0.92918414,2022-07-15
0.15781142,0.8421886,2022-07-18
0.08685789,0.9131421,2022-07-19
0.21651135,0.78348863,2022-07-20
0.0920433,0.9079567,2022-07-21
0.07629381,0.9237062,2022-07-22
0.07241128,0.9275887,2022-07-25
0.19843678,0.8015632,2022-07-26
0.6206337,0.37936628,2022-07-27
0.6140783,0.38592172,2022-07-28
0.82357395,0.17642607,2022-07-29
0.7232861,0.27671388,2022-08-01
0.754096,0.24590403,2022-08-02
0.30860892,0.69139105,2022-08-03
0.32095617,0.6790438,2022-08-04
0.11764337,0.88235664,2022-08-05
0.08955656,0.9104434,2022-08-08
0.07255333,0.92744666,2022-08-09
0.094918266,0.90508175,2022-08-10
0.17526081,0.8247392,2022-08-11
0.09507504,0.904925,2022-08-12
0.19024608,0.8097539,2022-08-15
0.47872636,0.5212737,2022-08-16
0.68029875,0.31970128,2022-08-17
0.62789744,0.37210256,2022-08-18
0.67768186,0.32231814,2022-08-19
0.50519484,0.49480516,2022-08-22
0.09844994,0.90155005,2022-08-23
0.08618987,0.91381013,2022-08-24
0.11226968,0.8877303,2022-08-25
0.14448981,0.8555102,2022-08-26
0.140484,0.85951596,2022-08-29
0.059778694,0.9402213,2022-08-30
0.0813758,0.9186242,2022-08-31
0.1536586,0.84634143,2022-09-01
0.20685317,0.79314685,2022-09-02
0.1951891,0.8048109,2022-09-06
0.16857515,0.83142483,2022-09-07
0.33506072,0.6649393,2022-09-08
0.35314268,0.6468573,2022-09-09
0.4220553,0.5779447,2022-09-12
0.29202887,0.70797116,2022-09-13
0.16855736,0.83144265,2022-09-14
0.11589631,0.8841037,2022-09-15
0.10567561,0.8943244,2022-09-16
0.20119852,0.7988015,2022-09-19
0.1266079,0.8733921,2022-09-20
0.10897618,0.8910238,2022-09-21
0.19862753,0.80137247,2022-09-22
0.107122995,0.892877,2022-09-23
0.15141332,0.8485867,2022-09-26
0.19927692,0.8007231,2022-09-27
0.16940597,0.830594,2022-09-28
0.20041703,0.79958296,2022-09-29
0.15766063,0.8423394,2022-09-30
0.18880832,0.8111917,2022-10-03
0.17532842,0.82467157,2022-10-04
0.26264223,0.73735774,2022-10-05
0.18430589,0.8156941,2022-10-06
0.17372228,0.82627773,2022-10-07
0.09282131,0.9071787,2022-10-10
0.09831713,0.90168285,2022-10-11
0.12068636,0.87931365,2022-10-12
0.26437524,0.73562473,2022-10-13
0.45115378,0.5488462,2022-10-14
0.25271043,0.7472896,2022-10-17
0.43556592,0.5644341,2022-10-18
0.700621,0.299379,2022-10-19
0.599729,0.400271,2022-10-20
0.18244888,0.81755114,2022-10-21
0.26322752,0.7367725,2022-10-24
0.7254281,0.27457193,2022-10-25
0.8659674,0.13403258,2022-10-26
0.8591159,0.14088412,2022-10-27
0.800472,0.199528,2022-10-28
0.8163642,0.18363579,2022-10-31
0.69855475,0.30144522,2022-11-01
0.65874666,0.34125334,2022-11-02
0.18735869,0.8126413,2022-11-03
0.18221262,0.8177874,2022-11-04
0.18687896,0.813121,2022-11-07
