cash,AMD,GOOG,KO,TSM,WMT,date
1.0,0.0,0.0,0.0,0.0,0.0,2023-03-27
0.07640049,0.33015627,0.043664318,0.12113093,0.204589,0.224059,2023-03-28
0.1794827,0.30930793,0.08057357,0.120816454,0.12694468,0.18287466,2023-03-29
0.13943619,0.37509003,0.080737665,0.13450369,0.06563546,0.20459697,2023-03-30
0.31540003,0.22464976,0.13132703,0.117702365,0.09199903,0.118921794,2023-03-31
0.50623596,0.20309193,0.06824969,0.037526038,0.059211377,0.12568498,2023-04-03
0.24971767,0.18740913,0.09015869,0.048193686,0.12958461,0.2949362,2023-04-04
0.13858502,0.072324686,0.17521496,0.060962297,0.18535124,0.3675618,2023-04-05
0.16164254,0.11301324,0.08823469,0.1296008,0.14723046,0.36027828,2023-04-06
0.18796673,0.10962297,0.092037074,0.07487801,0.06904946,0.46644574,2023-04-10
0.30700913,0.06171266,0.06522031,0.02518972,0.09828503,0.44258314,2023-04-11
0.3369684,0.042910207,0.17187746,0.07527836,0.091679715,0.28128588,2023-04-12
0.32606673,0.050351776,0.15940225,0.09896874,0.13786721,0.2273433,2023-04-13
0.19630079,0.029373467,0.1559019,0.15575506,0.09624052,0.36642826,2023-04-14
0.25218374,0.043155424,0.22550566,0.11468446,0.16310756,0.20136315,2023-04-17
0.19828758,0.21342953,0.18522222,0.23213165,0.04306059,0.12786844,2023-04-18
0.2250737,0.123208545,0.12693077,0.077613935,0.060725715,0.38644734,2023-04-19
0.43341127,0.07797066,0.09978664,0.047347482,0.059744496,0.28173944,2023-04-20
0.609383,0.042606324,0.08185595,0.08819891,0.037653547,0.14030226,2023-04-21
0.2299487,0.06432165,0.26906055,0.2066857,0.13253164,0.097451754,2023-04-24
0.25061157,0.035480477,0.20238377,0.13640578,0.06930365,0.30581474,2023-04-25
0.26509506,0.055221897,0.22703038,0.2318968,0.07658444,0.14417143,2023-04-26
0.20494786,0.084145635,0.15756564,0.35005552,0.035875745,0.1674096,2023-04-27
0.501346,0.088922806,0.118180566,0.15880637,0.052209806,0.08053446,2023-04-28
0.37461802,0.21995744,0.15491305,0.06156643,0.088963464,0.09998157,2023-05-01
0.21980363,0.22622558,0.18577985,0.120957874,0.16540547,0.0818276,2023-05-02
0.19568482,0.271395,0.12548491,0.0965806,0.24485086,0.06600382,2023-05-03
0.38101164,0.17249446,0.11904328,0.07932066,0.14190334,0.106226616,2023-05-04
0.47988224,0.30144113,0.059181515,0.024304204,0.05978887,0.07540203,2023-05-05
0.21508434,0.5880383,0.04884991,0.03914176,0.048656262,0.06022939,2023-05-08
0.3056804,0.44979098,0.06943806,0.024280483,0.090181746,0.06062831,2023-05-09
0.16759108,0.4907815,0.10663773,0.093839504,0.07960487,0.06154534,2023-05-10
0.3108602,0.31171027,0.07846922,0.13477279,0.12296008,0.041227445,2023-05-11
0.24119098,0.09848188,0.116607524,0.18812609,0.12462747,0.23096606,2023-05-12
0.13850407,0.15239193,0.12988427,0.17895043,0.1607157,0.2395536,2023-05-15
0.120312124,0.30093625,0.11532605,0.124094725,0.1061541,0.23317677,2023-05-16
0.2253795,0.30492267,0.12596425,0.090407334,0.17415573,0.079170525,2023-05-17
0.24579611,0.21412101,0.17167157,0.09482625,0.16271596,0.11086909,2023-05-18
0.1792896,0.2982869,0.16336405,0.09002817,0.19492812,0.07410314,2023-05-19
0.10727883,0.37897718,0.16698983,0.13851206,0.13864629,0.069595814,2023-05-22
0.20155221,0.19436504,0.1993547,0.06034006,0.19438496,0.15000303,2023-05-23
0.12813607,0.32675707,0.13429298,0.09580545,0.14426507,0.17074336,2023-05-24
0.12470008,0.41757464,0.15654776,0.1210176,0.11602699,0.06413292,2023-05-25
0.30177897,0.1769941,0.17374226,0.10017561,0.08689935,0.16040969,2023-05-26
0.25556824,0.3798267,0.106408805,0.04555318,0.15353128,0.059111804,2023-05-30
0.2854732,0.33288166,0.12022641,0.060351327,0.13089347,0.07017394,2023-05-31
0.20114738,0.36622316,0.1293076,0.12412743,0.10539007,0.07380438,2023-06-01
0.18168078,0.41672948,0.07991133,0.051491953,0.058440898,0.21174556,2023-06-02
0.15991601,0.13604602,0.08472813,0.10339612,0.096959874,0.41895387,2023-06-05
0.13833237,0.21164073,0.12549093,0.10387908,0.1346891,0.2859678,2023-06-06
