cash,TSM,date
1.0,0.0,2021-11-26
0.1957152,0.8042848,2021-11-29
0.10988308,0.89011693,2021-11-30
0.12970015,0.8702998,2021-12-01
0.57794994,0.42205003,2021-12-02
0.48795852,0.51204145,2021-12-03
0.20796022,0.79203975,2021-12-06
0.22980691,0.7701931,2021-12-07
0.66246164,0.33753836,2021-12-08
0.09128456,0.9087154,2021-12-09
0.034330603,0.9656694,2021-12-10
0.22734366,0.7726563,2021-12-13
0.16237737,0.83762264,2021-12-14
0.053662565,0.94633746,2021-12-15
0.8549353,0.1450647,2021-12-16
0.16550602,0.834494,2021-12-17
0.017170342,0.98282963,2021-12-20
0.15265526,0.84734476,2021-12-21
0.33606806,0.66393197,2021-12-22
0.7805216,0.21947843,2021-12-23
0.09031738,0.90968263,2021-12-27
0.45579287,0.5442071,2021-12-28
0.4111349,0.5888651,2021-12-29
0.25293756,0.74706244,2021-12-30
0.0972324,0.9027676,2021-12-31
0.18363446,0.81636554,2022-01-03
0.5722819,0.42771813,2022-01-04
0.47749436,0.52250564,2022-01-05
0.0514095,0.9485905,2022-01-06
0.68887633,0.31112364,2022-01-07
0.17469485,0.82530516,2022-01-10
0.03569508,0.9643049,2022-01-11
0.36485702,0.635143,2022-01-12
0.23886995,0.76113003,2022-01-13
0.3738677,0.6261323,2022-01-14
0.76921266,0.23078735,2022-01-18
0.0697776,0.9302224,2022-01-19
0.19871281,0.8012872,2022-01-20
0.19663897,0.80336106,2022-01-21
0.029297456,0.9707025,2022-01-24
0.25923187,0.74076813,2022-01-25
0.041814256,0.95818573,2022-01-26
0.053510204,0.9464898,2022-01-27
0.16032696,0.83967304,2022-01-28
0.20071231,0.7992877,2022-01-31
0.31659624,0.6834038,2022-02-01
0.04936728,0.95063275,2022-02-02
0.07634171,0.9236583,2022-02-03
0.29876915,0.7012309,2022-02-04
0.17825301,0.821747,2022-02-07
0.06961096,0.93038905,2022-02-08
0.08723622,0.9127638,2022-02-09
0.15908407,0.8409159,2022-02-10
0.8458797,0.15412031,2022-02-11
0.45878693,0.5412131,2022-02-14
0.46797663,0.5320234,2022-02-15
0.7846984,0.21530156,2022-02-16
0.073902324,0.9260977,2022-02-17
0.042289652,0.9577103,2022-02-18
0.07726631,0.92273366,2022-02-22
0.20210296,0.79789704,2022-02-23
0.075989015,0.924011,2022-02-24
0.383542,0.616458,2022-02-25
0.06530095,0.93469906,2022-02-28
0.0844108,0.9155892,2022-03-01
0.07075092,0.92924905,2022-03-02
0.043213557,0.95678645,2022-03-03
0.025092332,0.9749077,2022-03-04
0.10575698,0.894243,2022-03-07
0.13971534,0.8602846,2022-03-08
0.2066451,0.79335487,2022-03-09
0.15700729,0.8429927,2022-03-10
0.014513782,0.9854862,2022-03-11
0.047554407,0.95244557,2022-03-14
0.078174554,0.92182547,2022-03-15
0.8712973,0.12870269,2022-03-16
0.4459768,0.5540232,2022-03-17
0.051092193,0.9489078,2022-03-18
0.1511899,0.8488101,2022-03-21
0.76453257,0.23546742,2022-03-22
0.6056363,0.3943637,2022-03-23
0.2738921,0.7261079,2022-03-24
0.63499737,0.36500263,2022-03-25
0.23684889,0.7631511,2022-03-28
0.2807799,0.7192201,2022-03-29
0.8632839,0.13671611,2022-03-30
0.3762394,0.6237606,2022-03-31
0.12336785,0.87663215,2022-04-01
0.3218916,0.6781084,2022-04-04
0.35310027,0.6468997,2022-04-05
0.032951195,0.9670488,2022-04-06
0.032314453,0.9676855,2022-04-07
0.058094084,0.9419059,2022-04-08
0.036514785,0.96348524,2022-04-11
0.025664736,0.97433525,2022-04-12
0.11559147,0.88440853,2022-04-13
0.5482214,0.4517786,2022-04-14
0.28224212,0.7177579,2022-04-18
0.093694575,0.90630543,2022-04-19
0.27256006,0.72743994,2022-04-20
0.11724549,0.8827545,2022-04-21
0.11071639,0.8892836,2022-04-22
0.100682154,0.89931786,2022-04-25
0.1326777,0.86732227,2022-04-26
0.04325159,0.9567484,2022-04-27
0.03417078,0.9658292,2022-04-28
0.8824214,0.11757863,2022-04-29
