cash,WMT,date
1.0,0.0,2023-03-16
0.28872636,0.7112736,2023-03-17
0.22447303,0.775527,2023-03-20
0.34283066,0.65716934,2023-03-21
0.34543008,0.6545699,2023-03-22
0.5310948,0.4689052,2023-03-23
0.7727801,0.22721985,2023-03-24
0.7705507,0.22944929,2023-03-27
0.7077504,0.29224965,2023-03-28
0.50730926,0.49269077,2023-03-29
0.5748645,0.42513552,2023-03-30
0.84150326,0.15849671,2023-03-31
0.79877925,0.20122075,2023-04-03
0.7448574,0.25514263,2023-04-04
0.7399079,0.26009205,2023-04-05
0.7928924,0.20710757,2023-04-06
0.8049039,0.19509606,2023-04-10
0.78880537,0.2111946,2023-04-11
0.85816056,0.14183946,2023-04-12
0.8752001,0.12479991,2023-04-13
0.9042428,0.09575718,2023-04-14
0.83686036,0.16313966,2023-04-17
0.7701839,0.22981611,2023-04-18
0.719314,0.28068602,2023-04-19
0.7821272,0.21787277,2023-04-20
0.70230997,0.29769003,2023-04-21
0.5582322,0.4417678,2023-04-24
0.5511919,0.44880807,2023-04-25
0.57010895,0.42989105,2023-04-26
0.655061,0.344939,2023-04-27
0.7951166,0.20488338,2023-04-28
0.8166987,0.1833013,2023-05-01
0.8189989,0.18100114,2023-05-02
0.7793218,0.22067823,2023-05-03
0.73995185,0.26004815,2023-05-04
0.6736422,0.3263578,2023-05-05
0.5630157,0.43698427,2023-05-08
0.3821603,0.6178397,2023-05-09
0.4100096,0.58999044,2023-05-10
0.55289173,0.44710824,2023-05-11
0.67084944,0.32915056,2023-05-12
0.71232736,0.28767264,2023-05-15
0.66647416,0.33352584,2023-05-16
0.56503975,0.43496025,2023-05-17
0.69255286,0.30744714,2023-05-18
0.64921886,0.3507811,2023-05-19
0.32374492,0.6762551,2023-05-22
0.2742104,0.7257896,2023-05-23
0.31593058,0.6840694,2023-05-24
0.3077842,0.6922158,2023-05-25
0.23052336,0.76947665,2023-05-26
0.2761533,0.72384673,2023-05-30
0.27453524,0.72546476,2023-05-31
0.22527987,0.77472013,2023-06-01
0.2222289,0.7777711,2023-06-02
0.19175798,0.808242,2023-06-05
0.3104026,0.68959737,2023-06-06
0.33502606,0.664974,2023-06-07
0.37426284,0.62573713,2023-06-08
0.6206885,0.37931153,2023-06-09
0.74811596,0.251884,2023-06-12
0.7980072,0.2019928,2023-06-13
0.8599466,0.14005338,2023-06-14
0.8351924,0.16480765,2023-06-15
0.8457532,0.15424682,2023-06-16
0.6522837,0.3477163,2023-06-20
0.7562343,0.2437657,2023-06-21
0.88225496,0.11774505,2023-06-22
0.90717036,0.09282963,2023-06-23
0.7486729,0.2513271,2023-06-26
0.7036978,0.2963022,2023-06-27
0.6082799,0.39172012,2023-06-28
0.5531068,0.44689322,2023-06-29
0.32515615,0.67484385,2023-06-30
0.3430601,0.65693986,2023-07-03
0.50761336,0.49238664,2023-07-05
0.36897644,0.6310235,2023-07-06
0.52696013,0.4730399,2023-07-07
0.3269068,0.6730932,2023-07-10
0.687104,0.312896,2023-07-11
0.67473173,0.32526827,2023-07-12
0.5247091,0.4752909,2023-07-13
0.48391336,0.51608664,2023-07-14
0.452261,0.547739,2023-07-17
0.37326708,0.6267329,2023-07-18
0.23522861,0.7647714,2023-07-19
0.29480466,0.70519537,2023-07-20
0.29571307,0.70428693,2023-07-21
0.4518769,0.5481231,2023-07-24
0.43330428,0.56669575,2023-07-25
0.6375285,0.3624715,2023-07-26
0.654263,0.34573698,2023-07-27
0.81497955,0.18502043,2023-07-28
0.8603202,0.13967977,2023-07-31
0.8480441,0.15195593,2023-08-01
0.8471391,0.15286088,2023-08-02
0.8367188,0.1632812,2023-08-03
0.77095085,0.22904918,2023-08-04
0.71465755,0.28534243,2023-08-07
0.7119108,0.28808925,2023-08-08
0.7058486,0.29415143,2023-08-09
0.5019111,0.4980889,2023-08-10
0.50337905,0.49662095,2023-08-11
0.55544,0.44456002,2023-08-14
0.4608979,0.5391021,2023-08-15
0.51731604,0.48268396,2023-08-16
0.5482906,0.45170936,2023-08-17
0.3701838,0.6298162,2023-08-18
0.40015215,0.59984785,2023-08-21
0.34822866,0.6517713,2023-08-22
0.21584155,0.78415847,2023-08-23
0.2622311,0.7377689,2023-08-24
0.1924477,0.8075523,2023-08-25
0.2687533,0.7312467,2023-08-28
0.33801854,0.66198146,2023-08-29
0.30763566,0.69236434,2023-08-30
