cash,AMD,date
1.0,0.0,2022-12-07
0.5231962,0.4768038,2022-12-08
0.26523107,0.7347689,2022-12-09
0.6483746,0.35162538,2022-12-12
0.7315563,0.2684437,2022-12-13
0.29261905,0.70738095,2022-12-14
0.55813193,0.44186804,2022-12-15
0.76174825,0.23825178,2022-12-16
0.87378925,0.12621078,2022-12-19
0.79870623,0.20129374,2022-12-20
0.7445236,0.25547642,2022-12-21
0.7394,0.26059997,2022-12-22
0.77651113,0.22348885,2022-12-23
0.9350389,0.06496105,2022-12-27
0.61266273,0.38733727,2022-12-28
0.9233113,0.07668872,2022-12-29
0.45734668,0.5426533,2022-12-30
0.8940419,0.10595813,2023-01-03
0.3167292,0.6832708,2023-01-04
0.9346678,0.06533216,2023-01-05
0.5272655,0.47273448,2023-01-06
0.8037566,0.19624342,2023-01-09
0.27821594,0.72178406,2023-01-10
0.6602265,0.33977348,2023-01-11
0.47187892,0.5281211,2023-01-12
0.6830429,0.31695712,2023-01-13
0.9595319,0.040468086,2023-01-17
0.9518333,0.048166685,2023-01-18
0.64093274,0.35906726,2023-01-19
0.9080389,0.09196107,2023-01-20
0.826342,0.173658,2023-01-23
0.40762246,0.59237754,2023-01-24
0.91835535,0.081644624,2023-01-25
0.9496033,0.050396666,2023-01-26
0.88105637,0.11894362,2023-01-27
0.95103854,0.048961487,2023-01-30
0.82328504,0.17671497,2023-01-31
0.8839802,0.11601978,2023-02-01
0.49763972,0.5023603,2023-02-02
0.6200457,0.37995425,2023-02-03
0.78514785,0.21485217,2023-02-06
0.21550351,0.7844965,2023-02-07
0.8434443,0.15655573,2023-02-08
0.12130406,0.87869596,2023-02-09
0.07087863,0.9291214,2023-02-10
0.106921956,0.893078,2023-02-13
0.09689962,0.9031004,2023-02-14
0.11709003,0.88290995,2023-02-15
0.13423857,0.86576146,2023-02-16
0.09988599,0.900114,2023-02-17
0.7328593,0.2671407,2023-02-21
0.49618778,0.5038122,2023-02-22
0.2926157,0.7073843,2023-02-23
0.10364434,0.8963556,2023-02-24
0.07005521,0.9299448,2023-02-27
0.31820127,0.6817987,2023-02-28
0.12941086,0.87058914,2023-03-01
0.08617552,0.9138245,2023-03-02
0.47126186,0.52873814,2023-03-03
0.4595155,0.5404845,2023-03-06
0.17207292,0.8279271,2023-03-07
0.31749758,0.68250245,2023-03-08
0.5859519,0.4140481,2023-03-09
0.44450337,0.55549663,2023-03-10
0.30855545,0.6914445,2023-03-13
0.11742649,0.8825735,2023-03-14
0.6746991,0.32530087,2023-03-15
0.18260321,0.8173968,2023-03-16
0.43594855,0.56405145,2023-03-17
0.35361847,0.6463815,2023-03-20
0.6852649,0.31473508,2023-03-21
0.23608029,0.7639197,2023-03-22
0.72196037,0.2780396,2023-03-23
0.30860013,0.6913999,2023-03-24
0.33873314,0.66126686,2023-03-27
0.62483376,0.37516624,2023-03-28
0.4620933,0.5379067,2023-03-29
0.12936273,0.8706373,2023-03-30
0.45404762,0.5459524,2023-03-31
0.84045386,0.15954617,2023-04-03
0.55239266,0.44760737,2023-04-04
0.34700164,0.6529983,2023-04-05
0.21474908,0.7852509,2023-04-06
0.16830982,0.8316902,2023-04-10
0.29568002,0.70431995,2023-04-11
0.42830694,0.57169306,2023-04-12
0.11743886,0.88256115,2023-04-13
