cash,GOOG,date
1.0,0.0,2023-03-27
0.25044182,0.7495582,2023-03-28
0.11407921,0.8859208,2023-03-29
0.10852166,0.89147836,2023-03-30
0.23522082,0.7647792,2023-03-31
0.38843971,0.6115603,2023-04-03
0.42142043,0.57857955,2023-04-04
0.70472,0.29527998,2023-04-05
0.592429,0.40757102,2023-04-06
0.5259378,0.47406217,2023-04-10
0.5348089,0.4651911,2023-04-11
0.43948632,0.5605137,2023-04-12
0.25675607,0.74324393,2023-04-13
0.2863838,0.7136162,2023-04-14
0.28272069,0.7172793,2023-04-17
0.21461353,0.78538644,2023-04-18
0.33326513,0.6667349,2023-04-19
0.25506866,0.74493134,2023-04-20
0.3010914,0.69890857,2023-04-21
0.44583517,0.5541648,2023-04-24
0.44562545,0.5543746,2023-04-25
0.22123846,0.77876157,2023-04-26
0.19166075,0.80833924,2023-04-27
0.303791,0.696209,2023-04-28
0.6534146,0.3465854,2023-05-01
0.59175456,0.4082454,2023-05-02
0.32774925,0.67225075,2023-05-03
0.28961986,0.71038014,2023-05-04
0.2137235,0.7862765,2023-05-05
0.27488714,0.72511286,2023-05-08
0.4455899,0.5544101,2023-05-09
0.4995017,0.5004983,2023-05-10
0.37117633,0.62882364,2023-05-11
0.697267,0.30273297,2023-05-12
0.62127703,0.378723,2023-05-15
0.40894243,0.5910576,2023-05-16
0.13076,0.86924,2023-05-17
0.12954934,0.8704507,2023-05-18
0.14335503,0.856645,2023-05-19
0.15813273,0.84186727,2023-05-22
0.10723536,0.8927646,2023-05-23
0.104494,0.895506,2023-05-24
0.11162221,0.8883778,2023-05-25
0.15114884,0.84885114,2023-05-26
0.18017946,0.8198205,2023-05-30
0.3454453,0.6545547,2023-05-31
0.17573465,0.82426536,2023-06-01
0.19990337,0.80009663,2023-06-02
0.3405878,0.6594122,2023-06-05
0.4571255,0.54287446,2023-06-06
0.5661468,0.43385318,2023-06-07
0.4444344,0.5555656,2023-06-08
0.21468173,0.78531826,2023-06-09
0.19414105,0.80585897,2023-06-12
0.45852444,0.54147553,2023-06-13
0.61466694,0.38533303,2023-06-14
0.44035727,0.55964273,2023-06-15
0.34601995,0.65398,2023-06-16
0.25527024,0.74472976,2023-06-20
0.40474612,0.5952539,2023-06-21
0.32086927,0.67913073,2023-06-22
0.25577512,0.74422485,2023-06-23
0.18750538,0.81249464,2023-06-26
0.37190264,0.62809736,2023-06-27
0.17797804,0.82202196,2023-06-28
0.2310401,0.7689599,2023-06-29
0.5026516,0.49734846,2023-06-30
0.6725516,0.32744843,2023-07-03
0.57064664,0.42935336,2023-07-05
0.5836518,0.4163482,2023-07-06
0.42593336,0.57406664,2023-07-07
0.5275095,0.4724905,2023-07-10
0.2945643,0.7054357,2023-07-11
0.25383896,0.74616104,2023-07-12
0.33995616,0.66004384,2023-07-13
0.6812631,0.3187369,2023-07-14
0.7299833,0.27001667,2023-07-17
0.67671674,0.32328328,2023-07-18
0.3437608,0.6562392,2023-07-19
0.34410977,0.6558902,2023-07-20
0.28136656,0.7186334,2023-07-21
0.20402758,0.7959724,2023-07-24
0.230348,0.769652,2023-07-25
0.3091433,0.6908567,2023-07-26
0.6351201,0.36487988,2023-07-27
0.6686375,0.3313625,2023-07-28
0.6761287,0.32387128,2023-07-31
