cash,KO,date
1.0,0.0,2021-10-29
0.7768093,0.22319071,2021-11-01
0.87699604,0.12300396,2021-11-02
0.8179875,0.18201248,2021-11-03
0.8752228,0.124777175,2021-11-04
0.9083585,0.091641486,2021-11-05
0.8751501,0.12484994,2021-11-08
0.7026616,0.29733846,2021-11-09
0.81761634,0.18238364,2021-11-10
0.8810495,0.1189505,2021-11-11
0.92072827,0.079271756,2021-11-12
0.91176426,0.08823573,2021-11-15
0.9063971,0.09360289,2021-11-16
0.64406025,0.35593975,2021-11-17
0.61409605,0.38590392,2021-11-18
0.34351546,0.65648454,2021-11-19
0.32442477,0.6755752,2021-11-22
0.37856904,0.62143093,2021-11-23
0.6312874,0.3687126,2021-11-24
0.6375195,0.36248055,2021-11-26
0.14792567,0.8520743,2021-11-29
0.095099576,0.90490043,2021-11-30
0.05782863,0.9421714,2021-12-01
0.06295174,0.93704826,2021-12-02
0.06675666,0.93324333,2021-12-03
0.1676599,0.8323401,2021-12-06
0.29862323,0.7013768,2021-12-07
0.34015822,0.6598418,2021-12-08
0.24871734,0.7512827,2021-12-09
0.30106142,0.69893855,2021-12-10
0.28354242,0.71645755,2021-12-13
0.4380644,0.5619356,2021-12-14
0.6804495,0.31955048,2021-12-15
0.6335719,0.36642808,2021-12-16
0.39781433,0.60218567,2021-12-17
0.11845008,0.8815499,2021-12-20
0.14715774,0.8528423,2021-12-21
0.23134631,0.7686537,2021-12-22
0.4309622,0.5690378,2021-12-23
0.5407078,0.4592922,2021-12-27
0.77253443,0.22746557,2021-12-28
0.89420855,0.10579148,2021-12-29
0.89693826,0.103061706,2021-12-30
0.86147004,0.13852994,2021-12-31
0.88806266,0.111937344,2022-01-03
0.8581755,0.14182445,2022-01-04
0.7577759,0.2422241,2022-01-05
0.7270889,0.27291107,2022-01-06
0.8710624,0.12893759,2022-01-07
0.8688399,0.13116011,2022-01-10
0.70667195,0.29332808,2022-01-11
0.7593236,0.24067639,2022-01-12
0.85801893,0.14198107,2022-01-13
0.88508487,0.11491515,2022-01-14
0.7223541,0.27764592,2022-01-18
0.6315208,0.3684792,2022-01-19
0.7565474,0.24345262,2022-01-20
0.585116,0.41488397,2022-01-21
0.37663305,0.62336695,2022-01-24
0.16158564,0.8384144,2022-01-25
0.15649714,0.8435029,2022-01-26
0.18921204,0.810788,2022-01-27
0.15951629,0.8404837,2022-01-28
0.20614052,0.7938595,2022-01-31
0.47657716,0.52342284,2022-02-01
0.48690996,0.51309,2022-02-02
0.5231072,0.47689286,2022-02-03
0.49357203,0.50642794,2022-02-04
0.4496912,0.55030876,2022-02-07
0.4959582,0.5040418,2022-02-08
0.6140532,0.3859468,2022-02-09
0.15006922,0.84993076,2022-02-10
0.13006952,0.86993045,2022-02-11
0.052407436,0.94759256,2022-02-14
0.10139252,0.8986075,2022-02-15
0.23974466,0.76025534,2022-02-16
0.4089785,0.5910215,2022-02-17
0.26814538,0.7318546,2022-02-18
0.4520389,0.5479611,2022-02-22
0.45160258,0.5483974,2022-02-23
0.19256307,0.80743694,2022-02-24
0.089792125,0.91020787,2022-02-25
0.18304208,0.8169579,2022-02-28
0.21886164,0.78113836,2022-03-01
0.21102512,0.7889749,2022-03-02
0.13474971,0.8652503,2022-03-03
0.14390385,0.85609615,2022-03-04
0.24028316,0.75971687,2022-03-07
0.053753883,0.94624615,2022-03-08
0.042227253,0.95777273,2022-03-09
0.03003589,0.9699641,2022-03-10
0.047656182,0.9523438,2022-03-11
0.10389595,0.89610404,2022-03-14
0.07379435,0.92620564,2022-03-15
0.22543097,0.77456903,2022-03-16
0.15762994,0.8423701,2022-03-17
0.36202267,0.6379773,2022-03-18
0.22548544,0.77451456,2022-03-21
0.34207186,0.65792817,2022-03-22
0.5473155,0.45268452,2022-03-23
0.55605626,0.44394377,2022-03-24
0.81583154,0.18416843,2022-03-25
0.8820215,0.11797848,2022-03-28
0.91519433,0.08480565,2022-03-29
0.89874107,0.10125895,2022-03-30
0.9100002,0.089999795,2022-03-31
0.8691333,0.13086668,2022-04-01
0.85234034,0.14765966,2022-04-04
0.8359152,0.16408478,2022-04-05
0.80034286,0.19965714,2022-04-06
0.60728407,0.39271593,2022-04-07
0.762822,0.23717803,2022-04-08
0.8679227,0.13207725,2022-04-11
0.91680145,0.08319854,2022-04-12
0.7527401,0.24725993,2022-04-13
0.86936337,0.13063662,2022-04-14
0.8666495,0.13335048,2022-04-18
0.8075574,0.19244258,2022-04-19
0.82480997,0.17519003,2022-04-20
0.7454065,0.2545935,2022-04-21
0.7219517,0.27804828,2022-04-22
0.37337077,0.62662923,2022-04-25
0.126747,0.873253,2022-04-26
0.065153316,0.9348467,2022-04-27
0.15015675,0.84984326,2022-04-28
0.20600429,0.79399574,2022-04-29
0.065850094,0.9341499,2022-05-02
0.049065348,0.95093465,2022-05-03
0.04131843,0.9586816,2022-05-04
0.1369129,0.8630871,2022-05-05
0.17636393,0.82363605,2022-05-06
0.17724966,0.82275033,2022-05-09
0.069825664,0.93017435,2022-05-10
0.04357736,0.9564226,2022-05-11
0.083161384,0.91683865,2022-05-12
0.10976453,0.8902355,2022-05-13
0.2597745,0.7402255,2022-05-16
0.62654334,0.37345666,2022-05-17
0.3857429,0.6142571,2022-05-18
0.04710903,0.952891,2022-05-19
0.036924917,0.9630751,2022-05-20
0.03137207,0.9686279,2022-05-23
0.16336127,0.83663875,2022-05-24
0.31747827,0.6825217,2022-05-25
0.2943594,0.7056406,2022-05-26
0.22023806,0.7797619,2022-05-27
0.22577146,0.7742286,2022-05-31
0.080609374,0.9193906,2022-06-01
0.05588571,0.94411427,2022-06-02
0.108716846,0.89128315,2022-06-03
0.15180331,0.8481967,2022-06-06
0.08076306,0.91923696,2022-06-07
0.119202405,0.8807976,2022-06-08
0.37841338,0.6215866,2022-06-09
0.14961821,0.8503818,2022-06-10
0.080719374,0.91928065,2022-06-13
0.09271425,0.90728575,2022-06-14
0.06083794,0.9391621,2022-06-15
0.049699306,0.9503007,2022-06-16
0.074395336,0.92560464,2022-06-17
0.12730767,0.87269235,2022-06-21
0.24332349,0.7566765,2022-06-22
0.30155793,0.69844204,2022-06-23
0.42261434,0.57738566,2022-06-24
0.5033772,0.49662283,2022-06-27
0.65100276,0.34899727,2022-06-28
0.20481114,0.79518884,2022-06-29
0.4272929,0.57270706,2022-06-30
0.3617413,0.6382587,2022-07-01
0.33730024,0.66269976,2022-07-05
0.13077748,0.8692225,2022-07-06
0.20003968,0.7999603,2022-07-07
0.083226725,0.91677326,2022-07-08
0.2711432,0.7288568,2022-07-11
0.2648215,0.73517853,2022-07-12
0.19181314,0.8081868,2022-07-13
0.12438158,0.8756184,2022-07-14
0.16624384,0.83375615,2022-07-15
0.13345082,0.8665492,2022-07-18
0.3060699,0.6939301,2022-07-19
0.5859509,0.41404906,2022-07-20
0.22168954,0.7783105,2022-07-21
0.17753159,0.8224684,2022-07-22
0.30410123,0.6958988,2022-07-25
0.2727891,0.7272109,2022-07-26
0.31406584,0.6859341,2022-07-27
0.39683753,0.60316247,2022-07-28
0.46216646,0.5378336,2022-07-29
0.63182664,0.3681734,2022-08-01
0.62662685,0.37337315,2022-08-02
0.21332526,0.78667474,2022-08-03
0.36097896,0.63902104,2022-08-04
0.3083139,0.6916861,2022-08-05
