cash,AMD,GOOG,KO,TSM,WMT,date
1.0,0.0,0.0,0.0,0.0,0.0,2023-03-27
0.11426731,0.121794514,0.034337886,0.3068896,0.21665144,0.20605925,2023-03-28
0.21977368,0.2125096,0.08937841,0.07212163,0.21913333,0.18708335,2023-03-29
0.0694471,0.41527525,0.08624249,0.040038288,0.22179516,0.16720173,2023-03-30
0.08536076,0.388325,0.12438093,0.054387946,0.275992,0.071553364,2023-03-31
0.09498583,0.34626028,0.13138026,0.029203521,0.27002054,0.12814954,2023-04-03
0.059609156,0.2647703,0.11065733,0.07884136,0.33031857,0.15580328,2023-04-04
0.07692238,0.23071663,0.11059125,0.1212427,0.3276638,0.13286324,2023-04-05
0.2041098,0.043133527,0.05641245,0.12017947,0.082777776,0.49338698,2023-04-06
0.08286567,0.12849586,0.12950517,0.14372307,0.16615544,0.3492548,2023-04-10
0.110690944,0.2249461,0.09958627,0.10312087,0.083212286,0.37844354,2023-04-11
0.16728604,0.1204626,0.14983496,0.25921786,0.09025119,0.21294735,2023-04-12
0.14093953,0.06747308,0.094682336,0.15787175,0.053693786,0.48533952,2023-04-13
0.118595146,0.15033782,0.13658595,0.11481398,0.17042282,0.30924428,2023-04-14
0.14100842,0.12145697,0.15879598,0.06542,0.19958971,0.3137289,2023-04-17
0.12310314,0.3572524,0.1585936,0.05569826,0.17972223,0.12563038,2023-04-18
0.3340668,0.20768142,0.09297532,0.032328576,0.11721504,0.21573284,2023-04-19
0.12291789,0.4714357,0.09742617,0.07195734,0.12492179,0.11134112,2023-04-20
0.2605014,0.12325931,0.23864219,0.069344126,0.060230695,0.24802227,2023-04-21
0.1611547,0.10022921,0.26439136,0.19223288,0.14621875,0.1357731,2023-04-24
0.14545149,0.06940958,0.1848382,0.1761655,0.07558017,0.34855506,2023-04-25
0.18311991,0.02566956,0.21169814,0.27078933,0.030098246,0.27862483,2023-04-26
0.16414745,0.07272551,0.3330897,0.2421635,0.04118968,0.14668415,2023-04-27
0.1074046,0.09905833,0.22836743,0.16535781,0.044302236,0.35550958,2023-04-28
0.19770852,0.33653712,0.14530545,0.04614902,0.15116818,0.1231317,2023-05-01
0.2229636,0.25834283,0.12170089,0.040090606,0.2606669,0.09623517,2023-05-02
0.29918045,0.21269324,0.124129616,0.112439595,0.1167705,0.13478659,2023-05-03
0.46474582,0.06426287,0.1654105,0.04479123,0.07859411,0.18219547,2023-05-04
