cash,TSM,date
1.0,0.0,2021-11-26
0.04459761,0.9554024,2021-11-29
0.39517418,0.60482585,2021-11-30
0.20036697,0.799633,2021-12-01
0.72264826,0.27735174,2021-12-02
0.45492342,0.5450766,2021-12-03
0.1846434,0.8153566,2021-12-06
0.20486014,0.79513985,2021-12-07
0.68305856,0.31694147,2021-12-08
0.10842303,0.89157695,2021-12-09
0.050355144,0.94964486,2021-12-10
0.20200479,0.7979952,2021-12-13
0.057419423,0.9425806,2021-12-14
0.09708649,0.9029135,2021-12-15
0.8033279,0.19667205,2021-12-16
0.09222928,0.90777075,2021-12-17
0.06159902,0.938401,2021-12-20
0.08423671,0.91576326,2021-12-21
0.51846457,0.48153546,2021-12-22
0.85348815,0.14651188,2021-12-23
0.12542066,0.8745793,2021-12-27
0.62055534,0.37944466,2021-12-28
0.28870904,0.71129096,2021-12-29
0.2694205,0.7305795,2021-12-30
0.11678919,0.8832108,2021-12-31
0.22188678,0.7781132,2022-01-03
0.84818405,0.15181594,2022-01-04
0.7695076,0.2304924,2022-01-05
0.09331753,0.9066825,2022-01-06
0.6191246,0.3808754,2022-01-07
0.109120876,0.8908791,2022-01-10
0.15402141,0.8459786,2022-01-11
0.63196284,0.36803716,2022-01-12
0.34129322,0.6587068,2022-01-13
0.7157464,0.2842536,2022-01-14
0.86625457,0.13374545,2022-01-18
0.07846647,0.9215335,2022-01-19
0.10650467,0.8934953,2022-01-20
0.10712779,0.8928722,2022-01-21
0.03809168,0.96190834,2022-01-24
0.43461362,0.56538635,2022-01-25
0.03683489,0.9631651,2022-01-26
0.101147376,0.89885265,2022-01-27
0.082793534,0.91720647,2022-01-28
0.1680939,0.8319061,2022-01-31
0.51528823,0.4847118,2022-02-01
0.17108959,0.8289104,2022-02-02
0.2557069,0.7442931,2022-02-03
0.0905989,0.9094011,2022-02-04
0.2465467,0.7534533,2022-02-07
0.22087985,0.77912015,2022-02-08
0.3216422,0.6783578,2022-02-09
0.37019047,0.6298095,2022-02-10
0.5669515,0.4330485,2022-02-11
0.24139406,0.75860596,2022-02-14
0.23825985,0.76174015,2022-02-15
0.74994934,0.25005066,2022-02-16
0.23140775,0.76859224,2022-02-17
0.08633521,0.91366476,2022-02-18
0.12270095,0.8772991,2022-02-22
0.12565655,0.87434345,2022-02-23
0.13298045,0.86701953,2022-02-24
0.27141404,0.72858596,2022-02-25
0.09850083,0.90149915,2022-02-28
0.06763177,0.9323682,2022-03-01
0.11537081,0.8846292,2022-03-02
0.11508487,0.8849151,2022-03-03
0.07019334,0.92980665,2022-03-04
0.07764683,0.92235315,2022-03-07
