cash,WMT,date
1.0,0.0,2023-03-16
0.82340086,0.17659912,2023-03-17
0.79962915,0.20037083,2023-03-20
0.888564,0.11143603,2023-03-21
0.8783018,0.12169822,2023-03-22
0.9173092,0.08269076,2023-03-23
0.9147923,0.08520768,2023-03-24
0.92759675,0.07240326,2023-03-27
0.91287965,0.08712034,2023-03-28
0.8034377,0.19656228,2023-03-29
0.86796415,0.13203584,2023-03-30
0.8937093,0.10629071,2023-03-31
0.8513605,0.14863952,2023-04-03
0.80747235,0.19252764,2023-04-04
0.84749824,0.15250173,2023-04-05
0.8791133,0.120886706,2023-04-06
0.77658075,0.22341925,2023-04-10
0.78184813,0.21815184,2023-04-11
0.9075964,0.092403606,2023-04-12
0.81738067,0.18261933,2023-04-13
0.8797946,0.12020541,2023-04-14
0.7861066,0.21389344,2023-04-17
0.86907065,0.13092934,2023-04-18
0.82817006,0.17182992,2023-04-19
0.911574,0.08842597,2023-04-20
0.88515,0.11484996,2023-04-21
0.93055964,0.069440365,2023-04-24
0.8782078,0.121792205,2023-04-25
0.92544425,0.074555725,2023-04-26
0.84242886,0.15757114,2023-04-27
0.8991968,0.10080321,2023-04-28
0.92604643,0.073953584,2023-05-01
0.9108877,0.0891123,2023-05-02
0.8889523,0.11104771,2023-05-03
0.8811682,0.1188318,2023-05-04
0.90081745,0.09918256,2023-05-05
0.9230922,0.07690782,2023-05-08
0.90530777,0.09469224,2023-05-09
0.91437566,0.08562434,2023-05-10
0.9554206,0.04457936,2023-05-11
0.9064749,0.093525134,2023-05-12
0.94556683,0.05443318,2023-05-15
0.9254705,0.074529506,2023-05-16
0.80259365,0.19740635,2023-05-17
0.88787276,0.112127244,2023-05-18
0.95040685,0.049593166,2023-05-19
0.90329844,0.09670159,2023-05-22
0.6987199,0.30128008,2023-05-23
0.5739951,0.42600486,2023-05-24
0.64822847,0.35177153,2023-05-25
0.507741,0.49225903,2023-05-26
0.3791503,0.6208497,2023-05-30
0.37638566,0.6236143,2023-05-31
0.648403,0.351597,2023-06-01
0.7339414,0.26605862,2023-06-02
0.65757257,0.3424274,2023-06-05
0.7923226,0.20767742,2023-06-06
0.8404638,0.1595362,2023-06-07
0.880792,0.119208,2023-06-08
0.88729054,0.112709455,2023-06-09
0.8762882,0.12371185,2023-06-12
0.8404981,0.15950194,2023-06-13
0.8736492,0.1263508,2023-06-14
0.8875548,0.11244516,2023-06-15
0.8616288,0.13837124,2023-06-16
0.9163233,0.08367668,2023-06-20
0.8866994,0.11330062,2023-06-21
0.92359954,0.076400444,2023-06-22
0.9034025,0.09659749,2023-06-23
0.9154884,0.08451158,2023-06-26
0.88798714,0.112012856,2023-06-27
0.78186196,0.21813807,2023-06-28
0.8340631,0.16593686,2023-06-29
0.73936546,0.26063454,2023-06-30
0.8354529,0.16454707,2023-07-03
0.758915,0.24108498,2023-07-05
0.87684065,0.123159334,2023-07-06
0.8774096,0.12259043,2023-07-07
0.6278665,0.3721335,2023-07-10
0.7947067,0.20529328,2023-07-11
0.6450507,0.3549493,2023-07-12
0.7606653,0.23933469,2023-07-13
0.70924366,0.29075634,2023-07-14
0.580042,0.419958,2023-07-17
0.525161,0.474839,2023-07-18
0.526044,0.473956,2023-07-19
0.5122441,0.48775586,2023-07-20
0.720861,0.27913895,2023-07-21
0.88844323,0.111556776,2023-07-24
0.83688056,0.1631194,2023-07-25
0.93307114,0.06692884,2023-07-26
0.9024898,0.09751021,2023-07-27
0.9371277,0.06287229,2023-07-28
0.90956104,0.09043898,2023-07-31
0.9097268,0.090273224,2023-08-01
0.92741644,0.072583534,2023-08-02
0.9222691,0.07773087,2023-08-03
0.9236176,0.076382376,2023-08-04
